position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:33.796,1:33.068,1:32.248
2,6,Nico Rosberg,Mercedes,1:33.475,1:32.737,1:32.361
3,19,Felipe Massa,Williams,1:34.542,1:33.707,1:33.085
4,77,Valtteri Bottas,Williams,1:34.171,1:33.020,1:33.149
5,7,Kimi Räikkönen,Ferrari,1:33.426,1:33.911,1:33.379
6,5,Sebastian Vettel,Ferrari,1:33.562,1:33.641,1:33.547
7,26,Daniil Kvyat,Red Bull,1:34.422,1:33.520,1:33.636
8,55,Carlos Sainz,Toro Rosso,1:34.641,1:34.071,1:33.649
9,27,Nico Hülkenberg,Force India,1:34.594,1:33.693,1:33.673
10,3,Daniel Ricciardo,Red Bull,1:34.272,1:33.749,1:33.943
11,11,Sergio Pérez,Force India,1:34.250,1:34.268,
12,8,Romain Grosjean,Lotus F1,1:34.646,1:34.430,
13,33,Max Verstappen,Toro Rosso,1:34.819,1:34.502,
14,13,Pastor Maldonado,Lotus F1,1:34.877,1:34.511,
15,9,Marcus Ericsson,Sauber,1:34.643,1:34.868,
16,12,Felipe Nasr,Sauber,1:34.888,,
17,14,Fernando Alonso,McLaren,1:34.959,,
18,22,Jenson Button,McLaren,1:35.207,,
19,28,Will Stevens,Manor Marussia,1:37.364,,
20,98,Roberto Merhi,Manor Marussia,1:39.377,,
