position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:31.605,1:30.977,1:30.076
2,7,Kimi Räikkönen,Ferrari,1:32.259,1:30.926,1:30.121
3,33,Max Verstappen,Red Bull,1:31.920,1:30.931,1:30.541
4,3,Daniel Ricciardo,Red Bull,1:32.416,1:31.061,1:30.595
5,77,Valtteri Bottas,Mercedes,1:32.254,1:30.803,1:30.758
6,31,Esteban Ocon,Force India,1:32.527,1:31.651,1:31.478
7,2,Stoffel Vandoorne,McLaren,1:32.838,1:31.848,1:31.582
8,27,Nico Hülkenberg,Renault,1:32.586,1:31.778,1:31.607
9,11,Sergio Pérez,Force India,1:32.768,1:31.484,1:31.658
10,14,Fernando Alonso,McLaren,1:33.049,1:32.010,1:31.704
11,19,Felipe Massa,Williams,1:32.267,1:32.034,
12,30,Jolyon Palmer,Renault,1:32.576,1:32.100,
13,18,Lance Stroll,Williams,1:33.000,1:32.307,
14,55,Carlos Sainz,Toro Rosso,1:32.650,1:32.402,
15,10,Pierre Gasly,Toro Rosso,1:32.547,1:32.558,
16,8,Romain Grosjean,Haas F1 Team,1:33.308,,
17,20,Kevin Magnussen,Haas F1 Team,1:33.434,,
18,94,Pascal Wehrlein,Sauber,1:33.483,,
19,9,Marcus Ericsson,Sauber,1:33.970,,
20,5,Sebastian Vettel,Ferrari,,,
