Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,345,9
2,Sebastian Vettel,Ferrari,302,5
3,Valtteri Bottas,Mercedes,280,2
4,Daniel Ricciardo,Red Bull,200,1
5,Kimi Räikkönen,Ferrari,193,0
6,Max Verstappen,Red Bull,158,2
7,Sergio Pérez,Force India,94,0
8,Esteban Ocon,Force India,83,0
9,Carlos Sainz,Toro Rosso,54,0
10,Felipe Massa,Williams,42,0
11,Lance Stroll,Williams,40,0
12,Nico Hülkenberg,Renault,35,0
13,Romain Grosjean,Haas F1 Team,28,0
14,Kevin Magnussen,Haas F1 Team,19,0
15,Fernando Alonso,McLaren,15,0
16,Stoffel Vandoorne,McLaren,13,0
17,Jolyon Palmer,Renault,8,0
18,Pascal Wehrlein,Sauber,5,0
19,Daniil Kvyat,Toro Rosso,5,0
20,Marcus Ericsson,Sauber,0,0
21,Pierre Gasly,Toro Rosso,0,0
22,Antonio Giovinazzi,Sauber,0,0
23,Brendon Hartley,Toro Rosso,0,0
24,Jenson Button,McLaren,0,0
25,Paul di Resta,Williams,0,0
