lap,position,driver,time
1,1,hamilton,1:34.404
1,2,vettel,1:35.078
1,3,bottas,1:36.009
1,4,raikkonen,1:37.493
1,5,max_verstappen,1:38.375
1,6,massa,1:39.674
1,7,grosjean,1:40.716
1,8,sainz,1:41.891
1,9,perez,1:42.868
1,10,kvyat,1:43.910
1,11,alonso,1:44.745
1,12,hulkenberg,1:45.237
1,13,ocon,1:45.554
1,14,stroll,1:46.011
1,15,jolyon_palmer,1:46.279
1,16,vandoorne,1:46.762
1,17,giovinazzi,1:47.489
1,18,ericsson,1:59.379
1,19,kevin_magnussen,2:47.633
1,20,ricciardo,4:56.773
2,1,hamilton,1:29.638
2,2,vettel,1:29.727
2,3,bottas,1:30.141
2,4,raikkonen,1:30.567
2,5,max_verstappen,1:30.829
2,6,massa,1:31.151
2,7,grosjean,1:31.242
2,8,sainz,1:31.386
2,9,perez,1:31.589
2,10,kvyat,1:31.786
2,11,alonso,1:31.942
2,12,hulkenberg,1:32.223
2,13,ocon,1:32.699
2,14,stroll,1:33.362
2,15,jolyon_palmer,1:34.240
2,16,vandoorne,1:34.509
2,17,giovinazzi,1:34.891
2,18,ericsson,1:32.683
2,19,kevin_magnussen,1:37.645
2,20,ricciardo,1:32.510
3,1,hamilton,1:29.119
3,2,vettel,1:29.043
3,3,bottas,1:29.635
3,4,raikkonen,1:30.163
3,5,max_verstappen,1:30.490
3,6,massa,1:30.623
3,7,grosjean,1:31.050
3,8,sainz,1:31.658
3,9,perez,1:31.539
3,10,kvyat,1:31.610
3,11,alonso,1:31.709
3,12,hulkenberg,1:32.092
3,13,ocon,1:32.268
3,14,stroll,1:32.233
3,15,jolyon_palmer,1:33.249
3,16,vandoorne,1:33.571
3,17,giovinazzi,1:33.874
3,18,ericsson,1:32.814
3,19,kevin_magnussen,1:30.558
3,20,ricciardo,1:31.619
4,1,hamilton,1:29.044
4,2,vettel,1:29.128
4,3,bottas,1:29.301
4,4,raikkonen,1:29.950
4,5,max_verstappen,1:29.988
4,6,massa,1:30.613
4,7,grosjean,1:30.763
4,8,sainz,1:30.646
4,9,perez,1:31.043
4,10,kvyat,1:31.005
4,11,alonso,1:31.524
4,12,hulkenberg,1:31.653
4,13,ocon,1:31.560
4,14,stroll,1:31.766
4,15,jolyon_palmer,1:32.311
4,16,vandoorne,1:33.110
4,17,giovinazzi,1:34.121
4,18,ericsson,1:33.655
4,19,kevin_magnussen,1:30.394
4,20,ricciardo,1:32.111
5,1,hamilton,1:28.786
5,2,vettel,1:29.127
5,3,bottas,1:29.460
5,4,raikkonen,1:29.598
5,5,max_verstappen,1:29.904
5,6,massa,1:30.530
5,7,grosjean,1:30.574
5,8,sainz,1:30.745
5,9,perez,1:30.748
5,10,kvyat,1:31.076
5,11,alonso,1:31.760
5,12,hulkenberg,1:31.580
5,13,ocon,1:31.784
5,14,jolyon_palmer,1:32.630
5,15,vandoorne,1:32.245
5,16,giovinazzi,1:33.345
5,17,ericsson,1:33.097
5,18,stroll,1:50.632
5,19,kevin_magnussen,1:30.636
5,20,ricciardo,1:31.961
6,1,hamilton,1:28.919
6,2,vettel,1:29.083
6,3,bottas,1:29.135
6,4,raikkonen,1:29.226
6,5,max_verstappen,1:29.636
6,6,massa,1:30.508
6,7,grosjean,1:30.571
6,8,sainz,1:30.665
6,9,perez,1:31.014
6,10,kvyat,1:30.854
6,11,alonso,1:31.109
6,12,hulkenberg,1:31.247
6,13,ocon,1:31.532
6,14,jolyon_palmer,1:32.195
6,15,vandoorne,1:32.061
6,16,giovinazzi,1:33.125
6,17,ericsson,1:32.857
6,18,stroll,1:35.707
6,19,kevin_magnussen,1:30.564
6,20,ricciardo,1:31.339
7,1,hamilton,1:28.797
7,2,vettel,1:28.865
7,3,bottas,1:29.164
7,4,raikkonen,1:29.311
7,5,max_verstappen,1:29.539
7,6,massa,1:30.144
7,7,grosjean,1:30.288
7,8,sainz,1:30.624
7,9,perez,1:30.620
7,10,kvyat,1:30.852
7,11,alonso,1:31.280
7,12,hulkenberg,1:31.474
7,13,ocon,1:32.242
7,14,jolyon_palmer,1:32.364
7,15,vandoorne,1:34.107
7,16,giovinazzi,1:32.664
7,17,ericsson,1:32.605
7,18,stroll,1:29.825
7,19,kevin_magnussen,1:33.910
7,20,ricciardo,1:32.309
8,1,hamilton,1:28.379
8,2,vettel,1:28.753
8,3,bottas,1:29.488
8,4,raikkonen,1:29.324
8,5,max_verstappen,1:29.548
8,6,massa,1:30.075
8,7,grosjean,1:30.361
8,8,sainz,1:30.783
8,9,perez,1:30.629
8,10,kvyat,1:30.789
8,11,alonso,1:31.138
8,12,hulkenberg,1:31.259
8,13,ocon,1:31.074
8,14,jolyon_palmer,1:32.323
8,15,vandoorne,1:33.833
8,16,giovinazzi,1:33.765
8,17,ericsson,1:32.565
8,18,stroll,1:30.433
8,19,kevin_magnussen,1:33.065
8,20,ricciardo,1:32.695
9,1,hamilton,1:28.391
9,2,vettel,1:28.234
9,3,bottas,1:29.191
9,4,raikkonen,1:29.628
9,5,max_verstappen,1:29.359
9,6,massa,1:30.076
9,7,grosjean,1:30.470
9,8,sainz,1:30.930
9,9,perez,1:30.503
9,10,kvyat,1:30.821
9,11,alonso,1:31.256
9,12,hulkenberg,1:31.131
9,13,ocon,1:31.046
9,14,jolyon_palmer,1:32.559
9,15,giovinazzi,1:33.044
9,16,stroll,1:31.083
9,17,ericsson,1:33.831
9,18,vandoorne,2:08.894
9,19,kevin_magnussen,1:34.740
9,20,ricciardo,1:32.687
10,1,hamilton,1:28.326
10,2,vettel,1:28.657
10,3,bottas,1:28.875
10,4,raikkonen,1:29.612
10,5,max_verstappen,1:29.553
10,6,massa,1:30.110
10,7,grosjean,1:30.296
10,8,sainz,1:30.779
10,9,perez,1:30.491
10,10,kvyat,1:30.477
10,11,alonso,1:30.887
10,12,hulkenberg,1:31.222
10,13,ocon,1:30.919
10,14,jolyon_palmer,1:32.716
10,15,giovinazzi,1:32.662
10,16,stroll,1:30.444
10,17,ericsson,1:32.999
10,18,vandoorne,1:42.673
10,19,kevin_magnussen,1:31.572
10,20,ricciardo,1:30.274
11,1,hamilton,1:28.464
11,2,vettel,1:28.393
11,3,bottas,1:29.092
11,4,raikkonen,1:29.466
11,5,max_verstappen,1:29.409
11,6,massa,1:30.329
11,7,grosjean,1:30.337
11,8,sainz,1:30.393
11,9,perez,1:30.759
11,10,kvyat,1:30.351
11,11,alonso,1:31.138
11,12,hulkenberg,1:31.159
11,13,ocon,1:31.150
11,14,giovinazzi,1:32.977
11,15,stroll,1:31.358
11,16,ericsson,1:34.226
11,17,jolyon_palmer,1:50.997
11,18,vandoorne,1:33.069
11,19,kevin_magnussen,1:31.215
11,20,ricciardo,1:30.039
12,1,hamilton,1:28.424
12,2,vettel,1:28.221
12,3,bottas,1:28.789
12,4,raikkonen,1:29.501
12,5,max_verstappen,1:29.529
12,6,massa,1:30.423
12,7,grosjean,1:30.183
12,8,sainz,1:30.302
12,9,perez,1:30.379
12,10,kvyat,1:30.447
12,11,alonso,1:31.165
12,12,hulkenberg,1:30.859
12,13,ocon,1:31.223
12,14,giovinazzi,1:32.258
12,15,stroll,1:31.795
12,16,ericsson,1:32.825
12,17,jolyon_palmer,1:33.847
12,18,vandoorne,1:33.272
12,19,kevin_magnussen,1:31.113
12,20,ricciardo,1:30.038
13,1,hamilton,1:28.117
13,2,vettel,1:28.372
13,3,bottas,1:28.377
13,4,raikkonen,1:28.941
13,5,max_verstappen,1:29.236
13,6,massa,1:30.642
13,7,grosjean,1:30.492
13,8,sainz,1:30.207
13,9,perez,1:30.511
13,10,kvyat,1:30.363
13,11,alonso,1:31.182
13,12,hulkenberg,1:31.154
13,13,ocon,1:30.866
13,14,giovinazzi,1:32.090
13,15,stroll,1:32.290
13,16,ericsson,1:32.489
13,17,jolyon_palmer,1:42.136
13,18,vandoorne,1:32.034
13,19,kevin_magnussen,1:30.677
13,20,ricciardo,1:29.939
14,1,hamilton,1:29.037
14,2,vettel,1:28.690
14,3,bottas,1:29.214
14,4,raikkonen,1:29.529
14,5,max_verstappen,1:29.559
14,6,massa,1:30.367
14,7,sainz,1:30.489
14,8,perez,1:30.529
14,9,kvyat,1:30.548
14,10,alonso,1:31.018
14,11,hulkenberg,1:31.088
14,12,ocon,1:31.192
14,13,giovinazzi,1:31.872
14,14,stroll,1:31.666
14,15,ericsson,1:32.290
14,16,jolyon_palmer,1:35.432
14,17,vandoorne,1:31.677
14,18,kevin_magnussen,1:30.943
14,19,ricciardo,1:29.945
15,1,hamilton,1:28.494
15,2,vettel,1:28.507
15,3,bottas,1:28.755
15,4,raikkonen,1:29.418
15,5,max_verstappen,1:29.310
15,6,massa,1:30.658
15,7,sainz,1:30.167
15,8,perez,1:30.223
15,9,kvyat,1:30.297
15,10,alonso,1:30.996
15,11,hulkenberg,1:31.004
15,12,ocon,1:48.477
15,13,stroll,1:32.464
15,14,ericsson,1:32.368
15,15,giovinazzi,1:56.702
15,16,jolyon_palmer,1:44.405
15,17,vandoorne,1:31.490
15,18,kevin_magnussen,1:33.469
15,19,ricciardo,1:29.813
16,1,hamilton,1:28.438
