lap,position,driver,time
1,1,bottas,1:45.087
1,2,hamilton,1:46.379
1,3,vettel,1:47.471
1,4,ricciardo,1:48.493
1,5,raikkonen,1:49.340
1,6,max_verstappen,1:50.038
1,7,hulkenberg,1:51.156
1,8,perez,1:52.161
1,9,ocon,1:52.913
1,10,massa,1:53.450
1,11,alonso,1:53.969
1,12,sainz,1:54.443
1,13,stroll,1:55.043
1,14,grosjean,1:55.433
1,15,vandoorne,1:55.938
1,16,gasly,1:56.701
1,17,wehrlein,1:57.676
1,18,brendon_hartley,1:58.569
1,19,ericsson,1:59.223
1,20,kevin_magnussen,2:00.490
2,1,bottas,1:43.166
2,2,hamilton,1:43.405
2,3,vettel,1:43.632
2,4,ricciardo,1:44.414
2,5,raikkonen,1:44.505
2,6,max_verstappen,1:44.764
2,7,hulkenberg,1:45.112
2,8,perez,1:46.008
2,9,ocon,1:46.445
2,10,massa,1:46.972
2,11,alonso,1:47.148
2,12,sainz,1:47.292
2,13,stroll,1:47.563
2,14,grosjean,1:47.792
2,15,vandoorne,1:48.599
2,16,gasly,1:48.349
2,17,wehrlein,1:48.260
2,18,brendon_hartley,1:48.460
2,19,ericsson,1:49.292
2,20,kevin_magnussen,1:48.699
3,1,bottas,1:43.353
3,2,hamilton,1:43.246
3,3,vettel,1:43.689
3,4,ricciardo,1:43.736
3,5,raikkonen,1:43.998
3,6,max_verstappen,1:44.019
3,7,hulkenberg,1:44.602
3,8,perez,1:45.468
3,9,ocon,1:45.546
3,10,massa,1:45.588
3,11,alonso,1:45.895
3,12,sainz,1:45.970
3,13,stroll,1:46.383
3,14,grosjean,1:46.431
3,15,vandoorne,1:47.277
3,16,gasly,1:47.680
3,17,wehrlein,1:47.645
3,18,brendon_hartley,1:47.396
3,19,ericsson,1:47.167
3,20,kevin_magnussen,1:47.403
4,1,bottas,1:43.360
4,2,hamilton,1:43.137
4,3,vettel,1:43.422
4,4,ricciardo,1:43.442
4,5,raikkonen,1:43.935
4,6,max_verstappen,1:43.926
4,7,hulkenberg,1:44.510
4,8,perez,1:44.822
4,9,ocon,1:45.017
4,10,massa,1:45.561
4,11,alonso,1:45.576
4,12,sainz,1:45.613
4,13,stroll,1:45.713
4,14,grosjean,1:45.777
4,15,vandoorne,1:46.186
4,16,gasly,1:46.337
4,17,wehrlein,1:46.837
4,18,brendon_hartley,1:47.003
4,19,ericsson,1:47.085
4,20,kevin_magnussen,1:46.760
5,1,bottas,1:43.011
5,2,hamilton,1:43.127
5,3,vettel,1:43.319
5,4,ricciardo,1:43.432
5,5,raikkonen,1:44.023
5,6,max_verstappen,1:43.974
5,7,hulkenberg,1:44.769
5,8,perez,1:44.730
5,9,ocon,1:45.020
5,10,massa,1:45.595
5,11,alonso,1:45.504
5,12,sainz,1:45.639
5,13,stroll,1:45.831
5,14,grosjean,1:45.726
5,15,vandoorne,1:46.579
5,16,gasly,1:46.497
5,17,wehrlein,1:46.765
5,18,brendon_hartley,1:47.117
5,19,ericsson,1:47.029
5,20,kevin_magnussen,1:47.197
6,1,bottas,1:42.826
6,2,hamilton,1:43.142
6,3,vettel,1:43.156
6,4,ricciardo,1:43.216
6,5,raikkonen,1:43.402
6,6,max_verstappen,1:43.537
6,7,hulkenberg,1:44.513
6,8,perez,1:44.685
6,9,ocon,1:44.800
6,10,massa,1:45.420
6,11,alonso,1:45.598
6,12,sainz,1:45.507
6,13,stroll,1:46.800
6,14,grosjean,1:46.921
6,15,vandoorne,1:46.319
6,16,gasly,1:46.507
6,17,wehrlein,1:46.643
6,18,brendon_hartley,1:46.764
6,19,ericsson,1:46.905
6,20,kevin_magnussen,1:46.957
7,1,bottas,1:42.825
7,2,hamilton,1:43.050
7,3,vettel,1:43.198
7,4,ricciardo,1:43.242
7,5,raikkonen,1:43.465
7,6,max_verstappen,1:43.970
7,7,hulkenberg,1:44.375
7,8,perez,1:44.329
7,9,ocon,1:44.811
7,10,massa,1:45.106
7,11,alonso,1:45.636
7,12,sainz,1:45.605
7,13,stroll,1:46.300
7,14,grosjean,1:46.225
7,15,vandoorne,1:46.266
7,16,gasly,1:46.565
7,17,wehrlein,1:46.384
7,18,brendon_hartley,1:46.772
7,19,kevin_magnussen,1:46.344
7,20,ericsson,1:48.109
8,1,bottas,1:42.861
8,2,hamilton,1:42.942
8,3,vettel,1:43.019
8,4,ricciardo,1:43.176
8,5,raikkonen,1:43.883
8,6,max_verstappen,1:43.814
8,7,hulkenberg,1:44.269
8,8,perez,1:44.372
8,9,ocon,1:44.761
8,10,massa,1:45.147
8,11,alonso,1:45.197
8,12,sainz,1:45.460
8,13,stroll,1:46.085
8,14,grosjean,1:46.034
8,15,vandoorne,1:46.200
8,16,gasly,1:46.379
8,17,wehrlein,1:46.493
8,18,brendon_hartley,1:46.614
8,19,kevin_magnussen,1:46.324
8,20,ericsson,1:46.987
9,1,bottas,1:42.988
9,2,hamilton,1:42.980
9,3,vettel,1:43.288
9,4,ricciardo,1:43.091
9,5,raikkonen,1:43.591
9,6,max_verstappen,1:43.616
9,7,hulkenberg,1:44.014
9,8,perez,1:44.663
9,9,ocon,1:44.692
9,10,massa,1:45.219
9,11,alonso,1:45.193
9,12,sainz,1:45.451
9,13,stroll,1:46.879
9,14,grosjean,1:46.935
9,15,vandoorne,1:46.113
9,16,gasly,1:46.073
9,17,wehrlein,1:46.260
9,18,brendon_hartley,1:46.398
9,19,kevin_magnussen,1:46.243
9,20,ericsson,1:46.357
10,1,bottas,1:42.770
10,2,hamilton,1:42.698
10,3,vettel,1:43.045
10,4,ricciardo,1:43.362
10,5,raikkonen,1:43.196
10,6,max_verstappen,1:43.302
10,7,hulkenberg,1:44.097
10,8,perez,1:44.676
10,9,ocon,1:44.679
10,10,massa,1:45.315
10,11,alonso,1:44.984
10,12,sainz,1:45.088
10,13,stroll,1:45.592
10,14,grosjean,1:45.783
10,15,vandoorne,1:46.008
10,16,gasly,1:45.769
10,17,wehrlein,1:46.078
10,18,brendon_hartley,1:46.982
10,19,kevin_magnussen,1:46.421
10,20,ericsson,1:46.589
11,1,bottas,1:42.522
11,2,hamilton,1:42.741
11,3,vettel,1:42.757
11,4,ricciardo,1:43.245
11,5,raikkonen,1:43.317
11,6,max_verstappen,1:43.251
11,7,hulkenberg,1:43.977
11,8,perez,1:44.799
11,9,ocon,1:44.790
11,10,massa,1:45.165
11,11,alonso,1:44.943
11,12,sainz,1:45.013
11,13,grosjean,1:45.339
11,14,stroll,1:49.517
11,15,vandoorne,1:46.484
11,16,gasly,1:46.614
11,17,wehrlein,1:46.331
11,18,kevin_magnussen,1:46.297
11,19,brendon_hartley,1:48.157
11,20,ericsson,1:46.595
12,1,bottas,1:42.634
12,2,hamilton,1:42.532
12,3,vettel,1:43.002
12,4,ricciardo,1:43.337
12,5,raikkonen,1:43.370
12,6,max_verstappen,1:43.540
12,7,hulkenberg,1:44.107
12,8,perez,1:44.517
12,9,ocon,1:44.936
12,10,massa,1:45.131
12,11,alonso,1:44.864
12,12,sainz,1:44.929
12,13,grosjean,1:45.453
12,14,gasly,1:45.828
12,15,vandoorne,1:47.899
12,16,wehrlein,1:46.042
12,17,kevin_magnussen,1:45.420
12,18,brendon_hartley,1:46.568
12,19,ericsson,1:46.827
12,20,stroll,2:05.466
13,1,bottas,1:42.947
13,2,hamilton,1:43.237
13,3,vettel,1:43.293
13,4,ricciardo,1:42.757
13,5,raikkonen,1:43.344
13,6,max_verstappen,1:43.236
13,7,hulkenberg,1:43.922
13,8,perez,1:44.620
13,9,ocon,1:44.711
13,10,massa,1:45.079
13,11,alonso,1:45.061
13,12,sainz,1:45.125
13,13,grosjean,1:45.043
13,14,gasly,1:45.332
13,15,wehrlein,1:46.007
13,16,kevin_magnussen,1:45.653
13,17,brendon_hartley,1:46.404
13,18,ericsson,1:46.436
13,19,stroll,1:45.524
13,20,vandoorne,2:06.676
14,1,bottas,1:42.706
14,2,hamilton,1:42.789
14,3,vettel,1:42.932
14,4,ricciardo,1:42.984
14,5,raikkonen,1:43.262
14,6,max_verstappen,1:44.929
14,7,hulkenberg,1:44.141
14,8,perez,1:44.766
14,9,ocon,1:44.573
14,10,massa,1:45.262
14,11,alonso,1:45.317
14,12,sainz,1:45.087
14,13,grosjean,1:45.107
14,14,gasly,1:45.174
14,15,wehrlein,1:45.912
14,16,kevin_magnussen,1:45.314
14,17,brendon_hartley,1:46.216
14,18,ericsson,1:46.114
14,19,stroll,1:45.401
14,20,vandoorne,1:45.792
15,1,bottas,1:42.822
15,2,hamilton,1:42.615
15,3,vettel,1:42.995
15,4,ricciardo,1:42.975
15,5,raikkonen,1:44.938
15,6,hulkenberg,1:44.121
15,7,perez,1:44.930
15,8,ocon,1:44.690
15,9,max_verstappen,2:03.238
15,10,massa,1:45.519
15,11,alonso,1:45.329
15,12,sainz,1:44.960
15,13,grosjean,1:44.958
15,14,gasly,1:45.273
15,15,wehrlein,1:45.734
15,16,kevin_magnussen,1:46.773
15,17,brendon_hartley,1:46.848
15,18,ericsson,1:46.449
15,19,stroll,1:45.291
15,20,vandoorne,1:45.730
16,1,bottas,1:42.457
16,2,hamilton,1:42.505
16,3,vettel,1:42.945
16,4,ricciardo,1:42.839
16,5,hulkenberg,1:43.945
16,6,raikkonen,2:03.422
16,7,perez,1:46.612
16,8,max_verstappen,1:43.259
16,9,ocon,1:45.981
16,10,massa,1:45.289
16,11,alonso,1:45.474
16,12,sainz,1:45.312
16,13,grosjean,1:44.734
16,14,wehrlein,1:46.487
16,15,kevin_magnussen,1:45.818
16,16,brendon_hartley,1:46.385
16,17,gasly,1:58.688
16,18,ericsson,1:47.134
16,19,stroll,1:46.009
16,20,vandoorne,1:45.930
17,1,bottas,1:42.547
17,2,hamilton,1:42.519
17,3,vettel,1:43.008
17,4,ricciardo,1:43.204
17,5,hulkenberg,1:45.707
17,6,raikkonen,1:42.779
17,7,max_verstappen,1:43.465
17,8,ocon,1:44.841
17,9,massa,1:45.361
17,10,alonso,1:45.268
17,11,sainz,1:45.208
17,12,grosjean,1:44.630
17,13,perez,2:03.897
17,14,wehrlein,1:45.880
17,15,kevin_magnussen,1:45.491
17,16,brendon_hartley,1:46.159
17,17,gasly,1:47.041
17,18,ericsson,1:47.493
17,19,stroll,1:45.735
17,20,vandoorne,1:45.720
18,1,bottas,1:42.475
18,2,hamilton,1:42.797
18,3,vettel,1:42.888
18,4,ricciardo,1:43.096
18,5,raikkonen,1:43.457
18,6,max_verstappen,1:43.427
18,7,ocon,1:44.812
18,8,massa,1:45.132
18,9,alonso,1:45.178
18,10,sainz,1:45.305
18,11,grosjean,1:44.596
18,12,hulkenberg,2:12.210
18,13,perez,1:44.388
18,14,wehrlein,1:45.679
18,15,kevin_magnussen,1:45.370
18,16,brendon_hartley,1:46.105
18,17,gasly,1:45.840
18,18,ericsson,1:46.330
18,19,stroll,1:45.380
18,20,vandoorne,1:46.041
19,1,bottas,1:42.439
19,2,hamilton,1:42.537
19,3,vettel,1:42.923
19,4,ricciardo,1:45.339
19,5,raikkonen,1:43.479
19,6,max_verstappen,1:43.285
19,7,ocon,1:44.510
19,8,massa,1:45.028
19,9,alonso,1:44.982
19,10,sainz,1:44.859
19,11,hulkenberg,1:44.925
19,12,grosjean,1:46.145
19,13,perez,1:45.179
19,14,wehrlein,1:45.543
19,15,kevin_magnussen,1:45.296
19,16,brendon_hartley,1:45.640
19,17,gasly,1:45.661
19,18,ericsson,1:46.536
19,19,stroll,1:45.747
19,20,vandoorne,1:45.839
20,1,bottas,1:42.559
20,2,hamilton,1:42.604
20,3,vettel,1:45.045
20,4,ricciardo,2:04.766
20,5,raikkonen,1:43.182
20,6,max_verstappen,1:42.830
20,7,ocon,1:44.590
20,8,massa,1:45.066
20,9,alonso,1:45.037
20,10,sainz,1:45.127
20,11,hulkenberg,1:44.614
20,12,grosjean,1:45.961
20,13,perez,1:46.042
20,14,wehrlein,1:45.387
20,15,kevin_magnussen,1:45.502
20,16,brendon_hartley,1:46.080
20,17,gasly,1:45.714
20,18,ericsson,1:46.062
20,19,stroll,1:45.949
20,20,vandoorne,1:45.994
21,1,bottas,1:44.816
21,2,hamilton,1:42.421
21,3,vettel,2:02.648
21,4,raikkonen,1:43.395
21,5,max_verstappen,1:43.482
21,6,ocon,1:44.606
21,7,massa,1:44.978
21,8,sainz,1:44.849
21,9,alonso,1:46.907
21,10,hulkenberg,1:43.790
21,11,grosjean,1:45.047
21,12,perez,1:45.107
21,13,wehrlein,1:45.676
21,14,kevin_magnussen,1:45.653
21,15,brendon_hartley,1:45.661
21,16,gasly,1:45.677
21,17,ericsson,1:46.219
21,18,stroll,1:45.875
21,19,vandoorne,1:45.849
22,1,hamilton,1:42.753
22,2,bottas,2:02.180
22,3,vettel,1:43.806
22,4,raikkonen,1:43.381
22,5,max_verstappen,1:43.480
22,6,ocon,1:44.939
22,7,sainz,1:44.508
22,8,massa,1:46.653
22,9,hulkenberg,1:44.173
22,10,perez,1:44.579
22,11,grosjean,1:46.473
22,12,alonso,2:03.859
22,13,wehrlein,1:46.384
22,14,kevin_magnussen,1:48.427
22,15,brendon_hartley,1:45.623
22,16,gasly,1:46.393
22,17,ericsson,1:45.953
22,18,stroll,1:45.776
22,19,vandoorne,1:47.870
23,1,hamilton,1:42.625
23,2,bottas,1:43.054
23,3,vettel,1:43.191
23,4,raikkonen,1:43.215
23,5,max_verstappen,1:42.851
23,6,ocon,1:44.233
23,7,sainz,1:43.897
23,8,hulkenberg,1:43.824
23,9,perez,1:44.142
23,10,grosjean,1:44.821
23,11,alonso,1:43.913
23,12,massa,2:05.838
23,13,wehrlein,1:45.644
23,14,brendon_hartley,1:45.801
23,15,gasly,1:45.340
23,16,ericsson,1:45.647
23,17,stroll,1:45.576
23,18,vandoorne,1:45.588
23,19,kevin_magnussen,2:04.783
24,1,hamilton,1:44.265
24,2,bottas,1:42.204
24,3,vettel,1:43.229
24,4,raikkonen,1:43.113
24,5,max_verstappen,1:43.091
24,6,ocon,1:44.433
24,7,sainz,1:43.554
24,8,hulkenberg,1:43.627
24,9,perez,1:44.167
24,10,grosjean,1:44.391
24,11,alonso,1:44.379
24,12,massa,1:44.400
24,13,wehrlein,1:45.488
24,14,brendon_hartley,1:46.296
24,15,gasly,1:45.942
24,16,ericsson,1:45.571
24,17,stroll,1:45.393
24,18,vandoorne,1:45.013
24,19,kevin_magnussen,1:44.938
25,1,bottas,1:42.296
25,2,hamilton,2:01.683
25,3,vettel,1:42.945
25,4,raikkonen,1:43.189
25,5,max_verstappen,1:43.173
25,6,ocon,1:44.437
25,7,sainz,1:43.643
25,8,hulkenberg,1:43.769
25,9,perez,1:43.819
25,10,grosjean,1:44.751
25,11,alonso,1:44.324
25,12,massa,1:44.521
25,13,wehrlein,1:45.403
25,14,brendon_hartley,1:45.899
25,15,gasly,1:45.900
25,16,ericsson,1:45.633
25,17,stroll,1:45.662
25,18,vandoorne,1:44.797
25,19,kevin_magnussen,1:44.785
26,1,bottas,1:42.448
26,2,hamilton,1:41.734
26,3,vettel,1:43.037
26,4,raikkonen,1:42.728
