Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,306,8
2,Sebastian Vettel,Ferrari,256,5
3,Valtteri Bottas,Mercedes,189,0
4,Kimi Räikkönen,Ferrari,186,0
5,Max Verstappen,Red Bull,158,1
6,Daniel Ricciardo,Red Bull,134,2
7,Kevin Magnussen,Haas F1 Team,53,0
8,Nico Hülkenberg,Renault,53,0
9,Fernando Alonso,McLaren,50,0
10,Sergio Pérez,Force India,47,0
11,Esteban Ocon,Force India,47,0
12,Carlos Sainz,Renault,38,0
13,Pierre Gasly,Toro Rosso,28,0
14,Romain Grosjean,Haas F1 Team,27,0
15,Charles Leclerc,Sauber,21,0
16,Stoffel Vandoorne,McLaren,8,0
17,Lance Stroll,Williams,6,0
18,Marcus Ericsson,Sauber,6,0
19,Brendon Hartley,Toro Rosso,2,0
20,Sergey Sirotkin,Williams,1,0
