lap,position,driver,time
1,1,bottas,1:40.335
1,2,hamilton,1:41.711
1,3,vettel,1:42.879
1,4,raikkonen,1:44.094
1,5,kevin_magnussen,1:45.923
1,6,leclerc,1:46.649
1,7,ocon,1:47.304
1,8,perez,1:47.890
1,9,grosjean,1:48.369
1,10,ericsson,1:49.037
1,11,sainz,1:50.022
1,12,hulkenberg,1:50.656
1,13,max_verstappen,1:51.135
1,14,stroll,1:52.244
1,15,sirotkin,1:53.321
1,16,alonso,1:53.670
1,17,vandoorne,1:54.333
1,18,ricciardo,1:54.891
1,19,brendon_hartley,1:55.199
1,20,gasly,1:55.680
2,1,bottas,1:40.109
2,2,hamilton,1:40.132
2,3,vettel,1:40.317
2,4,raikkonen,1:40.972
2,5,leclerc,1:42.210
2,6,kevin_magnussen,1:44.252
2,7,ocon,1:43.928
2,8,perez,1:44.146
2,9,grosjean,1:44.614
2,10,ericsson,1:44.518
2,11,max_verstappen,1:42.825
2,12,sainz,1:44.804
2,13,hulkenberg,1:44.783
2,14,stroll,1:44.323
2,15,sirotkin,1:44.593
2,16,ricciardo,1:43.473
2,17,alonso,1:45.694
2,18,vandoorne,1:45.885
2,19,brendon_hartley,1:45.852
2,20,gasly,1:45.883
3,1,bottas,1:39.849
3,2,hamilton,1:39.916
3,3,vettel,1:40.119
3,4,raikkonen,1:40.357
3,5,leclerc,1:41.845
3,6,kevin_magnussen,1:41.658
3,7,ocon,1:42.179
3,8,perez,1:42.362
3,9,max_verstappen,1:41.713
3,10,grosjean,1:43.912
3,11,ericsson,1:43.938
3,12,sainz,1:43.522
3,13,hulkenberg,1:43.588
3,14,ricciardo,1:41.298
3,15,stroll,1:44.741
3,16,sirotkin,1:45.160
3,17,alonso,1:44.562
3,18,vandoorne,1:44.493
3,19,gasly,1:44.071
3,20,brendon_hartley,1:48.294
4,1,bottas,1:39.941
4,2,hamilton,1:39.770
4,3,vettel,1:40.122
4,4,raikkonen,1:40.210
4,5,leclerc,1:41.777
4,6,kevin_magnussen,1:42.183
4,7,ocon,1:42.458
4,8,max_verstappen,1:41.156
4,9,perez,1:43.494
4,10,grosjean,1:42.659
4,11,ericsson,1:42.663
4,12,sainz,1:43.098
4,13,ricciardo,1:42.514
4,14,hulkenberg,1:44.085
4,15,stroll,1:44.505
4,16,sirotkin,1:44.247
4,17,alonso,1:44.369
4,18,vandoorne,1:44.659
4,19,gasly,2:15.482
4,20,brendon_hartley,2:52.468
5,1,bottas,1:40.009
5,2,hamilton,1:40.126
5,3,vettel,1:40.096
5,4,raikkonen,1:40.244
5,5,leclerc,1:41.502
5,6,kevin_magnussen,1:42.540
5,7,max_verstappen,1:40.795
5,8,ocon,1:43.066
5,9,perez,1:42.552
5,10,grosjean,1:42.889
5,11,ericsson,1:43.039
5,12,ricciardo,1:42.594
5,13,sainz,1:44.666
5,14,hulkenberg,1:43.570
5,15,stroll,1:44.786
5,16,sirotkin,1:44.576
5,17,vandoorne,1:44.620
5,18,alonso,1:49.256
6,1,bottas,1:39.517
6,2,hamilton,1:39.744
6,3,vettel,1:40.005
6,4,raikkonen,1:40.148
6,5,leclerc,1:42.553
6,6,max_verstappen,1:41.017
6,7,kevin_magnussen,1:44.028
6,8,ocon,1:42.529
6,9,perez,1:42.657
6,10,grosjean,1:42.777
6,11,ericsson,1:42.653
6,12,ricciardo,1:42.105
6,13,hulkenberg,1:42.089
6,14,sainz,1:44.703
6,15,stroll,1:46.054
6,16,sirotkin,1:45.775
6,17,vandoorne,1:44.525
6,18,alonso,2:02.090
7,1,bottas,1:39.924
7,2,hamilton,1:39.656
7,3,vettel,1:40.035
7,4,raikkonen,1:40.009
7,5,leclerc,1:42.789
7,6,max_verstappen,1:41.160
7,7,kevin_magnussen,1:42.790
7,8,ocon,1:42.894
7,9,perez,1:42.987
7,10,grosjean,1:43.871
7,11,ericsson,1:43.764
7,12,ricciardo,1:43.127
7,13,hulkenberg,1:42.841
7,14,sainz,1:43.279
7,15,vandoorne,1:45.241
7,16,sirotkin,1:48.276
7,17,stroll,1:52.775
7,18,alonso,1:41.819
8,1,bottas,1:39.962
8,2,hamilton,1:39.829
8,3,vettel,1:39.546
8,4,raikkonen,1:40.246
8,5,max_verstappen,1:39.598
8,6,leclerc,1:43.187
8,7,kevin_magnussen,1:43.070
8,8,ocon,1:42.832
8,9,perez,1:42.700
8,10,ericsson,1:43.465
8,11,ricciardo,1:43.587
8,12,hulkenberg,1:44.199
8,13,sainz,1:43.521
8,14,grosjean,1:52.436
8,15,vandoorne,1:46.392
8,16,sirotkin,1:47.737
8,17,alonso,1:42.533
8,18,stroll,2:01.404
9,1,bottas,1:40.416
9,2,hamilton,1:40.226
9,3,vettel,1:39.907
9,4,raikkonen,1:40.252
9,5,max_verstappen,1:40.384
9,6,leclerc,1:42.204
9,7,ocon,1:43.290
9,8,perez,1:42.712
9,9,kevin_magnussen,1:47.526
9,10,ricciardo,1:40.984
9,11,ericsson,1:44.748
9,12,hulkenberg,1:42.549
9,13,sainz,1:43.237
9,14,vandoorne,1:45.428
9,15,sirotkin,1:47.205
9,16,grosjean,2:02.300
9,17,alonso,1:42.311
9,18,stroll,1:41.984
10,1,bottas,1:40.085
10,2,hamilton,1:40.349
10,3,vettel,1:40.349
10,4,raikkonen,1:40.243
10,5,max_verstappen,1:40.010
10,6,leclerc,1:45.660
10,7,perez,1:41.509
10,8,ocon,1:44.816
10,9,ricciardo,1:40.773
10,10,hulkenberg,1:41.645
10,11,ericsson,1:44.273
10,12,sainz,1:43.064
10,13,kevin_magnussen,1:59.929
10,14,vandoorne,1:45.271
