position,number,driver,constructor,Q1,Q2,Q3
1,77,Valtteri Bottas,Mercedes,1:32.964,1:32.744,1:31.387
2,44,Lewis Hamilton,Mercedes,1:32.410,1:32.595,1:31.532
3,5,Sebastian Vettel,Ferrari,1:33.476,1:33.045,1:31.943
4,7,Kimi Räikkönen,Ferrari,1:33.341,1:33.065,1:32.237
5,20,Kevin Magnussen,Haas F1 Team,1:34.078,1:33.747,1:33.181
6,31,Esteban Ocon,Force India,1:34.290,1:33.596,1:33.413
7,16,Charles Leclerc,Sauber,1:33.924,1:33.488,1:33.419
8,11,Sergio Pérez,Force India,1:34.084,1:33.923,1:33.563
9,8,Romain Grosjean,Haas F1 Team,1:34.022,1:33.517,1:33.704
10,9,Marcus Ericsson,Sauber,1:34.170,1:33.995,1:35.196
11,33,Max Verstappen,Red Bull,1:33.048,,
12,3,Daniel Ricciardo,Red Bull,1:33.247,,
13,10,Pierre Gasly,Toro Rosso,1:34.383,,
14,55,Carlos Sainz,Renault,1:34.626,,
15,27,Nico Hülkenberg,Renault,1:34.655,,
16,28,Brendon Hartley,Toro Rosso,1:35.037,,
17,14,Fernando Alonso,McLaren,1:35.504,,
18,35,Sergey Sirotkin,Williams,1:35.612,,
19,2,Stoffel Vandoorne,McLaren,1:35.977,,
20,18,Lance Stroll,Williams,1:36.437,,
