Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,346,9
2,Sebastian Vettel,Ferrari,276,5
3,Kimi Räikkönen,Ferrari,221,1
4,Valtteri Bottas,Mercedes,217,0
5,Max Verstappen,Red Bull,191,1
6,Daniel Ricciardo,Red Bull,146,2
7,Nico Hülkenberg,Renault,61,0
8,Sergio Pérez,Force India,57,0
9,Kevin Magnussen,Haas F1 Team,53,0
10,Fernando Alonso,McLaren,50,0
11,Esteban Ocon,Force India,49,0
12,Carlos Sainz,Renault,45,0
13,Romain Grosjean,Haas F1 Team,31,0
14,Pierre Gasly,Toro Rosso,28,0
15,Charles Leclerc,Sauber,21,0
16,Stoffel Vandoorne,McLaren,8,0
17,Marcus Ericsson,Sauber,7,0
18,Lance Stroll,Williams,6,0
19,Brendon Hartley,Toro Rosso,4,0
20,Sergey Sirotkin,Williams,1,0
