position,number,driver,constructor,Q1,Q2,Q3
1,3,Daniel Ricciardo,Red Bull,1:15.866,1:15.845,1:14.759
2,33,Max Verstappen,Red Bull,1:15.756,1:15.640,1:14.785
3,44,Lewis Hamilton,Mercedes,1:15.673,1:15.644,1:14.894
4,5,Sebastian Vettel,Ferrari,1:16.089,1:15.715,1:14.970
5,77,Valtteri Bottas,Mercedes,1:15.580,1:15.923,1:15.160
6,7,Kimi Räikkönen,Ferrari,1:16.446,1:15.996,1:15.330
7,27,Nico Hülkenberg,Renault,1:16.498,1:16.126,1:15.827
8,55,Carlos Sainz,Renault,1:16.813,1:16.188,1:16.084
9,16,Charles Leclerc,Sauber,1:16.862,1:16.320,1:16.189
10,9,Marcus Ericsson,Sauber,1:16.701,1:16.633,1:16.513
11,31,Esteban Ocon,Force India,1:16.252,1:16.844,
12,14,Fernando Alonso,McLaren,1:16.857,1:16.871,
13,11,Sergio Pérez,Force India,1:16.242,1:17.167,
14,28,Brendon Hartley,Toro Rosso,1:16.682,1:17.184,
15,10,Pierre Gasly,Toro Rosso,1:16.828,,
16,8,Romain Grosjean,Haas F1 Team,1:16.911,,
17,2,Stoffel Vandoorne,McLaren,1:16.966,,
18,20,Kevin Magnussen,Haas F1 Team,1:17.599,,
19,18,Lance Stroll,Williams,1:17.689,,
20,35,Sergey Sirotkin,Williams,1:17.886,,
