position,number,driver,constructor,Q1,Q2,Q3
1,5,Sebastian Vettel,Ferrari,1:42.762,1:43.015,1:41.498
2,44,Lewis Hamilton,Mercedes,1:42.693,1:42.676,1:41.677
3,77,Valtteri Bottas,Mercedes,1:43.355,1:42.679,1:41.837
4,3,Daniel Ricciardo,Red Bull,1:42.857,1:43.482,1:41.911
5,33,Max Verstappen,Red Bull,1:42.642,1:42.901,1:41.994
6,7,Kimi Räikkönen,Ferrari,1:42.538,1:42.510,1:42.490
7,31,Esteban Ocon,Force India,1:43.021,1:42.967,1:42.523
8,11,Sergio Pérez,Force India,1:43.992,1:43.366,1:42.547
9,27,Nico Hülkenberg,Renault,1:43.746,1:43.232,1:43.066
10,55,Carlos Sainz,Renault,1:43.426,1:43.464,1:43.351
11,18,Lance Stroll,Williams,1:44.359,1:43.585,
12,35,Sergey Sirotkin,Williams,1:44.261,1:43.886,
13,14,Fernando Alonso,McLaren,1:44.010,1:44.019,
14,16,Charles Leclerc,Sauber,1:43.752,1:44.074,
15,20,Kevin Magnussen,Haas F1 Team,1:43.674,1:44.759,
16,2,Stoffel Vandoorne,McLaren,1:44.489,,
17,10,Pierre Gasly,Toro Rosso,1:44.496,,
18,9,Marcus Ericsson,Sauber,1:45.541,,
19,28,Brendon Hartley,Toro Rosso,1:57.354,,
20,8,Romain Grosjean,Haas F1 Team,,,
