lap,position,driver,time
1,1,max_verstappen,1:25.604
1,2,hamilton,1:27.403
1,3,leclerc,1:28.951
1,4,bottas,1:30.816
1,5,vettel,1:31.081
1,6,sainz,1:31.966
1,7,norris,1:32.654
1,8,raikkonen,1:33.222
1,9,gasly,1:33.874
1,10,grosjean,1:34.484
1,11,hulkenberg,1:34.904
1,12,perez,1:35.373
1,13,albon,1:35.930
1,14,russell,1:36.267
1,15,kvyat,1:36.733
1,16,kevin_magnussen,1:37.219
1,17,stroll,1:37.634
1,18,giovinazzi,1:38.113
1,19,ricciardo,1:38.522
1,20,kubica,1:39.312
2,1,max_verstappen,1:21.854
2,2,hamilton,1:22.335
2,3,leclerc,1:22.767
2,4,vettel,1:22.320
2,5,bottas,1:24.628
2,6,sainz,1:24.830
2,7,norris,1:24.976
2,8,raikkonen,1:25.000
2,9,gasly,1:25.097
2,10,grosjean,1:25.542
2,11,hulkenberg,1:25.671
2,12,perez,1:25.940
2,13,albon,1:26.224
2,14,russell,1:26.464
2,15,kvyat,1:26.681
2,16,kevin_magnussen,1:26.850
2,17,stroll,1:27.351
2,18,giovinazzi,1:27.351
2,19,ricciardo,1:27.406
2,20,kubica,1:27.767
3,1,max_verstappen,1:21.863
3,2,hamilton,1:21.946
3,3,leclerc,1:22.880
3,4,vettel,1:22.481
3,5,bottas,1:24.767
3,6,sainz,1:24.682
3,7,norris,1:24.602
3,8,raikkonen,1:24.664
3,9,gasly,1:24.717
3,10,grosjean,1:24.559
3,11,hulkenberg,1:25.046
3,12,perez,1:25.160
3,13,albon,1:25.251
3,14,russell,1:25.630
3,15,kvyat,1:25.609
3,16,kevin_magnussen,1:25.877
3,17,stroll,1:25.988
3,18,giovinazzi,1:25.952
3,19,ricciardo,1:26.084
3,20,kubica,1:26.678
4,1,max_verstappen,1:21.763
4,2,hamilton,1:21.646
4,3,leclerc,1:22.269
4,4,vettel,1:22.416
4,5,bottas,1:24.627
4,6,sainz,1:24.665
4,7,norris,1:24.910
4,8,raikkonen,1:24.877
4,9,gasly,1:24.832
4,10,grosjean,1:24.883
4,11,hulkenberg,1:24.783
4,12,perez,1:24.829
4,13,albon,1:24.823
4,14,russell,1:24.793
4,15,kvyat,1:24.944
4,16,kevin_magnussen,1:24.766
4,17,stroll,1:25.065
4,18,giovinazzi,1:25.411
4,19,ricciardo,1:25.216
4,20,kubica,1:25.683
5,1,max_verstappen,1:21.542
5,2,hamilton,1:21.767
5,3,leclerc,1:22.603
5,4,vettel,1:22.575
5,5,sainz,1:24.488
5,6,bottas,1:26.664
5,7,norris,1:24.636
5,8,raikkonen,1:24.731
5,9,gasly,1:24.731
5,10,grosjean,1:24.920
5,11,hulkenberg,1:24.780
5,12,perez,1:24.971
5,13,albon,1:24.540
5,14,russell,1:24.834
5,15,kvyat,1:24.552
5,16,kevin_magnussen,1:24.748
5,17,stroll,1:24.967
5,18,giovinazzi,1:24.827
5,19,ricciardo,1:24.918
5,20,kubica,1:25.333
6,1,max_verstappen,1:21.686
6,2,hamilton,1:21.602
6,3,leclerc,1:22.344
6,4,vettel,1:22.432
6,5,sainz,1:23.920
