Position,Driver,Constructor,Points,Wins
1,Valtteri Bottas,Mercedes,44,1
2,Lewis Hamilton,Mercedes,43,1
3,Max Verstappen,Red Bull,27,0
4,Charles Leclerc,Ferrari,26,0
5,Sebastian Vettel,Ferrari,22,0
6,Kimi Räikkönen,Alfa Romeo,10,0
7,Lando Norris,McLaren,8,0
8,Kevin Magnussen,Haas F1 Team,8,0
9,Nico Hülkenberg,Renault,6,0
10,Pierre Gasly,Red Bull,4,0
11,Alexander Albon,Toro Rosso,2,0
12,Lance Stroll,Racing Point,2,0
13,Daniil Kvyat,Toro Rosso,1,0
14,Sergio Pérez,Racing Point,1,0
15,Antonio Giovinazzi,Alfa Romeo,0,0
16,George Russell,Williams,0,0
17,Robert Kubica,Williams,0,0
18,Daniel Ricciardo,Renault,0,0
19,Romain Grosjean,Haas F1 Team,0,0
20,Carlos Sainz,McLaren,0,0
