Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,230,7
2,Valtteri Bottas,Mercedes,161,2
3,Max Verstappen,Red Bull,147,1
4,Daniel Ricciardo,Renault,78,0
5,Sergio Pérez,Racing Point,68,0
6,Lando Norris,McLaren,65,0
7,Alexander Albon,Red Bull,64,0
8,Charles Leclerc,Ferrari,63,0
9,Lance Stroll,Racing Point,57,0
10,Pierre Gasly,AlphaTauri,53,1
11,Carlos Sainz,McLaren,51,0
12,Esteban Ocon,Renault,36,0
13,Sebastian Vettel,Ferrari,17,0
14,Daniil Kvyat,AlphaTauri,14,0
15,Nico Hülkenberg,Racing Point,10,0
16,Antonio Giovinazzi,Alfa Romeo,3,0
17,Kimi Räikkönen,Alfa Romeo,2,0
18,Romain Grosjean,Haas F1 Team,2,0
19,Kevin Magnussen,Haas F1 Team,1,0
20,Nicholas Latifi,Williams,0,0
21,George Russell,Williams,0,0
