lap,position,driver,time
1,1,bottas,1:33.510
1,2,hamilton,1:35.032
1,3,max_verstappen,1:35.799
1,4,leclerc,1:37.473
1,5,ricciardo,1:38.224
1,6,albon,1:39.301
1,7,norris,1:40.311
1,8,perez,1:40.884
1,9,ocon,1:41.472
1,10,sainz,1:41.860
1,11,giovinazzi,1:42.829
1,12,vettel,1:43.478
1,13,gasly,1:43.776
1,14,kevin_magnussen,1:44.391
1,15,kvyat,1:44.911
1,16,russell,1:45.296
1,17,hulkenberg,1:46.054
1,18,latifi,1:46.420
1,19,raikkonen,1:46.800
1,20,grosjean,1:47.376
2,1,bottas,1:32.480
2,2,hamilton,1:32.410
2,3,max_verstappen,1:32.647
2,4,leclerc,1:35.048
2,5,ricciardo,1:34.973
2,6,albon,1:34.815
2,7,norris,1:34.983
2,8,perez,1:35.329
2,9,ocon,1:35.440
2,10,sainz,1:35.666
2,11,giovinazzi,1:36.200
2,12,vettel,1:36.519
2,13,kevin_magnussen,1:36.509
2,14,gasly,1:37.911
2,15,kvyat,1:37.394
2,16,russell,1:37.697
2,17,hulkenberg,1:37.734
2,18,latifi,1:37.865
2,19,raikkonen,1:37.937
2,20,grosjean,1:37.975
3,1,bottas,1:32.211
3,2,hamilton,1:32.165
3,3,max_verstappen,1:32.588
3,4,leclerc,1:34.182
3,5,ricciardo,1:34.134
3,6,albon,1:34.299
3,7,norris,1:34.416
3,8,perez,1:34.201
3,9,ocon,1:34.611
3,10,sainz,1:34.708
3,11,giovinazzi,1:35.082
3,12,vettel,1:35.150
3,13,kevin_magnussen,1:35.129
3,14,gasly,1:35.490
3,15,kvyat,1:35.433
3,16,russell,1:35.484
3,17,hulkenberg,1:35.456
3,18,latifi,1:35.515
3,19,raikkonen,1:35.941
3,20,grosjean,1:36.013
4,1,bottas,1:32.242
4,2,hamilton,1:32.543
4,3,max_verstappen,1:32.525
4,4,leclerc,1:34.062
4,5,ricciardo,1:34.123
4,6,albon,1:34.331
4,7,norris,1:34.419
4,8,perez,1:34.559
4,9,ocon,1:34.531
4,10,sainz,1:34.421
4,11,giovinazzi,1:34.460
4,12,vettel,1:34.475
4,13,kevin_magnussen,1:34.714
4,14,gasly,1:34.495
4,15,kvyat,1:34.794
4,16,russell,1:35.346
4,17,hulkenberg,1:35.372
4,18,latifi,1:35.425
4,19,raikkonen,1:35.305
4,20,grosjean,1:35.525
5,1,bottas,1:32.063
5,2,hamilton,1:32.153
5,3,max_verstappen,1:32.335
5,4,leclerc,1:34.072
5,5,ricciardo,1:33.912
5,6,albon,1:34.194
5,7,norris,1:33.941
5,8,perez,1:33.973
5,9,ocon,1:34.339
5,10,sainz,1:34.438
5,11,giovinazzi,1:34.619
5,12,vettel,1:34.130
5,13,kevin_magnussen,1:34.413
5,14,gasly,1:34.167
5,15,kvyat,1:34.246
5,16,russell,1:34.710
5,17,hulkenberg,1:34.850
5,18,latifi,1:35.146
5,19,raikkonen,1:34.833
5,20,grosjean,1:34.634
6,1,bottas,1:31.980
6,2,hamilton,1:31.951
6,3,max_verstappen,1:32.108
6,4,leclerc,1:34.520
6,5,ricciardo,1:34.611
6,6,albon,1:34.119
6,7,norris,1:34.028
6,8,perez,1:34.565
6,9,ocon,1:34.363
6,10,sainz,1:34.479
6,11,giovinazzi,1:34.576
6,12,vettel,1:34.674
6,13,kevin_magnussen,1:34.658
6,14,gasly,1:34.393
6,15,kvyat,1:34.812
6,16,russell,1:34.526
6,17,hulkenberg,1:34.436
6,18,latifi,1:34.955
6,19,raikkonen,1:35.194
6,20,grosjean,1:34.942
7,1,bottas,1:32.019
7,2,hamilton,1:32.101
7,3,max_verstappen,1:31.938
7,4,leclerc,1:33.989
7,5,ricciardo,1:33.956
7,6,norris,1:34.072
7,7,perez,1:33.606
7,8,albon,1:37.230
7,9,ocon,1:34.191
7,10,sainz,1:34.853
7,11,giovinazzi,1:34.664
7,12,vettel,1:34.556
