position,number,driver,constructor,Q1,Q2,Q3
1,77,Valtteri Bottas,Mercedes,1:26.573,1:25.971,1:25.269
2,44,Lewis Hamilton,Mercedes,1:26.620,1:25.390,1:25.525
3,33,Max Verstappen,Red Bull,1:26.319,1:25.467,1:25.562
4,16,Charles Leclerc,Ferrari,1:26.857,1:26.240,1:26.035
5,23,Alexander Albon,Red Bull,1:27.126,1:26.285,1:26.047
6,3,Daniel Ricciardo,Renault,1:26.836,1:26.096,1:26.223
7,31,Esteban Ocon,Renault,1:27.086,1:26.364,1:26.242
8,4,Lando Norris,McLaren,1:26.829,1:26.316,1:26.458
9,11,Sergio Pérez,Racing Point,1:27.120,1:26.330,1:26.704
10,55,Carlos Sainz,McLaren,1:27.378,1:26.361,1:26.709
11,5,Sebastian Vettel,Ferrari,1:27.107,1:26.738,
12,10,Pierre Gasly,AlphaTauri,1:27.072,1:26.776,
13,26,Daniil Kvyat,AlphaTauri,1:27.285,1:26.848,
14,99,Antonio Giovinazzi,Alfa Romeo,1:27.532,1:26.936,
15,20,Kevin Magnussen,Haas F1 Team,1:27.231,1:27.125,
16,8,Romain Grosjean,Haas F1 Team,1:27.552,,
17,63,George Russell,Williams,1:27.564,,
18,6,Nicholas Latifi,Williams,1:27.812,,
19,7,Kimi Räikkönen,Alfa Romeo,1:27.817,,
20,27,Nico Hülkenberg,Racing Point,1:28.021,,
