position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:16.828,1:16.824,1:16.652
2,77,Valtteri Bottas,Mercedes,1:16.945,1:16.466,1:16.754
3,33,Max Verstappen,Red Bull,1:16.879,1:17.038,1:16.904
4,16,Charles Leclerc,Ferrari,1:17.421,1:17.367,1:17.090
5,11,Sergio Pérez,Racing Point,1:17.370,1:17.129,1:17.223
6,23,Alexander Albon,Red Bull,1:17.435,1:17.411,1:17.437
7,55,Carlos Sainz,McLaren,1:17.627,1:17.183,1:17.520
8,4,Lando Norris,McLaren,1:17.547,1:17.321,1:17.525
9,10,Pierre Gasly,AlphaTauri,1:17.209,1:17.367,1:17.803
10,3,Daniel Ricciardo,Renault,1:17.621,1:17.481,
11,31,Esteban Ocon,Renault,1:17.775,1:17.614,
12,18,Lance Stroll,Racing Point,1:17.667,1:17.626,
13,26,Daniil Kvyat,AlphaTauri,1:17.841,1:17.728,
14,63,George Russell,Williams,1:17.931,1:17.788,
15,5,Sebastian Vettel,Ferrari,1:17.446,1:17.919,
16,7,Kimi Räikkönen,Alfa Romeo,1:18.201,,
17,99,Antonio Giovinazzi,Alfa Romeo,1:18.323,,
18,8,Romain Grosjean,Haas F1 Team,1:18.364,,
19,20,Kevin Magnussen,Haas F1 Team,1:18.508,,
20,6,Nicholas Latifi,Williams,1:18.777,,
