position,number,driver,constructor,Q1,Q2,Q3
1,18,Lance Stroll,Racing Point,2:07.467,1:53.372,1:47.765
2,33,Max Verstappen,Red Bull,1:57.485,1:50.293,1:48.055
3,11,Sergio Pérez,Racing Point,2:07.614,1:54.097,1:49.321
4,23,Alexander Albon,Red Bull,1:59.431,1:52.282,1:50.448
5,3,Daniel Ricciardo,Renault,2:05.598,1:54.278,1:51.595
6,44,Lewis Hamilton,Mercedes,2:07.599,1:52.709,1:52.560
7,31,Esteban Ocon,Renault,2:06.115,1:53.657,1:52.622
8,7,Kimi Räikkönen,Alfa Romeo,2:01.249,1:53.793,1:52.745
9,77,Valtteri Bottas,Mercedes,2:07.001,1:53.767,1:53.258
10,99,Antonio Giovinazzi,Alfa Romeo,2:07.341,1:53.431,1:57.226
11,4,Lando Norris,McLaren,2:07.167,1:54.945,
12,5,Sebastian Vettel,Ferrari,2:03.356,1:55.169,
13,55,Carlos Sainz,McLaren,2:07.489,1:55.410,
14,16,Charles Leclerc,Ferrari,2:04.464,1:56.696,
15,10,Pierre Gasly,AlphaTauri,2:05.579,1:58.556,
16,20,Kevin Magnussen,Haas F1 Team,2:08.007,,
17,26,Daniil Kvyat,AlphaTauri,2:09.070,,
18,63,George Russell,Williams,2:10.017,,
19,8,Romain Grosjean,Haas F1 Team,2:12.909,,
20,6,Nicholas Latifi,Williams,2:21.611,,
