Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,332,11
2,Valtteri Bottas,Mercedes,205,2
3,Max Verstappen,Red Bull,189,1
4,Sergio Pérez,Racing Point,125,1
5,Daniel Ricciardo,Renault,112,0
6,Charles Leclerc,Ferrari,98,0
7,Carlos Sainz,McLaren,97,0
8,Alexander Albon,Red Bull,93,0
9,Lando Norris,McLaren,87,0
10,Lance Stroll,Racing Point,74,0
11,Pierre Gasly,AlphaTauri,71,1
12,Esteban Ocon,Renault,60,0
13,Sebastian Vettel,Ferrari,33,0
14,Daniil Kvyat,AlphaTauri,32,0
15,Nico Hülkenberg,Racing Point,10,0
16,Kimi Räikkönen,Alfa Romeo,4,0
17,Antonio Giovinazzi,Alfa Romeo,4,0
18,George Russell,Williams,3,0
19,Romain Grosjean,Haas F1 Team,2,0
20,Kevin Magnussen,Haas F1 Team,1,0
21,Nicholas Latifi,Williams,0,0
22,Jack Aitken,Williams,0,0
23,Pietro Fittipaldi,Haas F1 Team,0,0
