lap,position,driver,time
1,1,russell,1:08.922
1,2,bottas,1:12.014
1,3,sainz,1:14.191
1,4,ricciardo,1:18.025
1,5,kvyat,1:19.601
1,6,stroll,1:20.518
1,7,gasly,1:22.823
1,8,ocon,1:24.225
1,9,vettel,1:26.790
1,10,norris,1:29.104
1,11,kevin_magnussen,1:30.611
1,12,albon,1:32.043
1,13,giovinazzi,1:32.831
1,14,latifi,1:33.729
1,15,aitken,1:35.051
1,16,pietro_fittipaldi,1:36.641
1,17,raikkonen,1:38.030
1,18,perez,1:40.485
2,1,russell,1:38.421
2,2,bottas,1:36.914
2,3,sainz,1:35.563
2,4,ricciardo,1:33.786
2,5,kvyat,1:34.319
2,6,stroll,1:34.619
2,7,gasly,1:33.553
2,8,ocon,1:33.924
2,9,vettel,1:32.827
2,10,norris,1:33.198
2,11,kevin_magnussen,1:33.259
2,12,albon,1:33.111
2,13,giovinazzi,1:33.445
2,14,latifi,1:33.989
2,15,aitken,1:34.286
2,16,pietro_fittipaldi,1:33.180
2,17,raikkonen,1:34.001
2,18,perez,1:32.531
3,1,russell,1:29.830
3,2,bottas,1:29.641
3,3,sainz,1:29.628
3,4,ricciardo,1:30.443
3,5,kvyat,1:30.678
3,6,stroll,1:30.389
3,7,gasly,1:31.409
3,8,ocon,1:30.797
3,9,vettel,1:31.236
3,10,norris,1:31.167
3,11,kevin_magnussen,1:30.789
3,12,albon,1:30.929
3,13,latifi,1:29.389
3,14,giovinazzi,1:31.983
3,15,aitken,1:30.745
3,16,pietro_fittipaldi,1:31.123
3,17,raikkonen,1:30.648
3,18,perez,1:32.331
4,1,russell,1:32.256
4,2,bottas,1:31.822
4,3,sainz,1:32.053
4,4,ricciardo,1:30.233
4,5,kvyat,1:29.735
4,6,stroll,1:30.509
4,7,gasly,1:29.513
4,8,ocon,1:29.625
4,9,vettel,1:30.514
4,10,norris,1:29.521
4,11,kevin_magnussen,1:29.707
4,12,albon,1:29.894
4,13,latifi,1:29.909
4,14,giovinazzi,1:29.852
4,15,aitken,1:30.538
4,16,pietro_fittipaldi,1:31.219
4,17,raikkonen,1:31.412
4,18,perez,1:29.676
5,1,russell,1:30.133
5,2,bottas,1:30.462
5,3,sainz,1:30.161
5,4,ricciardo,1:31.533
5,5,kvyat,1:31.994
5,6,stroll,1:31.719
5,7,gasly,1:32.311
5,8,ocon,1:32.817
5,9,vettel,1:33.130
5,10,norris,1:33.888
5,11,albon,1:32.214
5,12,kevin_magnussen,1:35.575
5,13,latifi,1:33.586
5,14,giovinazzi,1:33.552
5,15,aitken,1:32.414
5,16,pietro_fittipaldi,1:31.944
5,17,raikkonen,1:31.130
5,18,perez,1:31.635
6,1,russell,1:28.698
6,2,bottas,1:28.014
6,3,sainz,1:27.502
6,4,ricciardo,1:25.655
6,5,kvyat,1:23.865
6,6,stroll,1:22.843
6,7,gasly,1:21.472
6,8,ocon,1:20.122
6,9,vettel,1:17.607
6,10,norris,1:15.339
6,11,albon,1:14.614
6,12,kevin_magnussen,1:13.441
6,13,latifi,1:12.926
6,14,giovinazzi,1:12.671
6,15,aitken,1:11.998
6,16,pietro_fittipaldi,1:11.799
6,17,raikkonen,1:11.179
6,18,perez,1:10.061
7,1,russell,0:58.160
7,2,bottas,0:58.679
7,3,sainz,0:59.252
7,4,ricciardo,0:59.429
7,5,kvyat,0:59.528
7,6,stroll,0:59.626
7,7,gasly,0:59.592
7,8,ocon,0:59.717
7,9,vettel,1:00.094
7,10,norris,1:00.390
7,11,albon,1:00.507
7,12,kevin_magnussen,1:00.991
7,13,latifi,1:01.408
7,14,giovinazzi,1:00.959
7,15,aitken,1:00.720
7,16,perez,0:59.233
7,17,pietro_fittipaldi,1:00.520
7,18,raikkonen,1:00.593
8,1,russell,0:58.236
8,2,bottas,0:58.692
8,3,sainz,0:58.824
8,4,ricciardo,0:59.060
8,5,kvyat,0:59.136
8,6,stroll,0:59.239
8,7,gasly,0:59.323
8,8,ocon,0:59.450
8,9,norris,0:59.242
8,10,albon,0:59.490
8,11,vettel,1:00.729
8,12,kevin_magnussen,0:59.709
8,13,latifi,1:00.136
8,14,perez,0:59.698
8,15,giovinazzi,1:00.648
8,16,aitken,1:00.981
8,17,raikkonen,1:00.346
8,18,pietro_fittipaldi,1:01.593
9,1,russell,0:58.059
9,2,bottas,0:58.284
9,3,sainz,0:58.789
9,4,ricciardo,0:58.716
9,5,kvyat,0:58.667
9,6,stroll,0:58.710
9,7,gasly,0:58.997
9,8,ocon,0:59.452
9,9,norris,0:58.936
9,10,vettel,0:59.187
9,11,albon,1:00.000
9,12,kevin_magnussen,0:59.875
9,13,perez,0:58.746
9,14,latifi,1:00.554
9,15,giovinazzi,1:00.178
9,16,aitken,1:00.011
9,17,raikkonen,1:00.162
9,18,pietro_fittipaldi,1:00.054
10,1,russell,0:58.329
10,2,bottas,0:58.458
10,3,sainz,0:58.779
10,4,ricciardo,0:58.856
10,5,kvyat,0:58.888
10,6,stroll,0:58.894
10,7,gasly,0:58.558
10,8,ocon,0:58.794
10,9,norris,0:59.055
10,10,vettel,0:59.114
10,11,albon,0:58.940
10,12,perez,0:58.095
10,13,kevin_magnussen,1:00.093
10,14,latifi,1:00.107
10,15,giovinazzi,1:00.796
10,16,raikkonen,1:00.419
10,17,aitken,1:01.550
10,18,pietro_fittipaldi,1:00.674
11,1,russell,0:58.252
11,2,bottas,0:58.091
11,3,sainz,0:58.637
11,4,ricciardo,0:58.546
11,5,kvyat,0:58.587
11,6,stroll,0:58.730
11,7,gasly,0:58.884
11,8,ocon,0:58.848
11,9,norris,0:59.046
11,10,albon,0:59.384
11,11,perez,0:59.438
11,12,vettel,1:01.424
11,13,kevin_magnussen,0:59.805
11,14,latifi,0:59.644
11,15,giovinazzi,0:59.474
11,16,aitken,1:00.576
11,17,raikkonen,1:02.009
11,18,pietro_fittipaldi,1:01.830
12,1,russell,0:58.223
12,2,bottas,0:58.258
12,3,sainz,0:58.741
12,4,ricciardo,0:58.774
12,5,kvyat,0:58.809
12,6,stroll,0:58.630
12,7,gasly,0:58.749
12,8,ocon,0:58.986
12,9,norris,0:59.342
12,10,albon,0:58.923
12,11,perez,0:59.026
12,12,vettel,0:59.519
12,13,kevin_magnussen,1:00.033
12,14,latifi,0:59.647
12,15,giovinazzi,0:59.543
12,16,aitken,0:59.699
12,17,raikkonen,0:59.934
12,18,pietro_fittipaldi,1:00.158
13,1,russell,0:58.210
13,2,bottas,0:58.528
13,3,sainz,0:58.980
13,4,ricciardo,0:59.070
13,5,kvyat,0:58.955
13,6,stroll,0:59.008
13,7,gasly,0:58.815
13,8,ocon,0:58.910
13,9,norris,0:59.230
13,10,albon,0:58.760
13,11,perez,0:58.651
13,12,vettel,0:59.457
13,13,kevin_magnussen,0:59.956
13,14,latifi,0:59.733
13,15,giovinazzi,0:59.661
13,16,aitken,0:59.737
13,17,raikkonen,1:00.015
13,18,pietro_fittipaldi,0:59.978
14,1,russell,0:58.258
14,2,bottas,0:58.412
14,3,sainz,0:58.920
14,4,ricciardo,0:58.891
14,5,kvyat,0:59.074
14,6,stroll,0:58.889
14,7,gasly,0:58.950
14,8,ocon,0:59.209
14,9,norris,0:59.144
14,10,albon,0:58.852
14,11,perez,0:58.719
14,12,vettel,0:59.444
14,13,kevin_magnussen,0:59.709
14,14,latifi,0:59.581
14,15,giovinazzi,0:59.547
14,16,aitken,0:59.837
14,17,raikkonen,1:00.152
14,18,pietro_fittipaldi,0:59.997
15,1,russell,0:58.351
15,2,bottas,0:58.323
15,3,sainz,0:58.844
15,4,ricciardo,0:59.036
15,5,kvyat,0:58.916
15,6,stroll,0:58.943
15,7,gasly,0:59.014
15,8,ocon,0:59.048
15,9,norris,0:58.974
15,10,albon,0:58.920
15,11,perez,0:58.878
15,12,vettel,0:59.488
15,13,kevin_magnussen,0:59.750
15,14,latifi,0:59.475
15,15,giovinazzi,0:59.385
15,16,aitken,0:59.679
15,17,raikkonen,0:59.905
15,18,pietro_fittipaldi,1:00.167
16,1,russell,0:58.008
16,2,bottas,0:58.245
16,3,sainz,0:58.824
16,4,ricciardo,0:58.800
16,5,kvyat,0:58.972
16,6,stroll,0:59.103
16,7,gasly,0:59.078
16,8,ocon,0:59.102
16,9,norris,0:59.019
16,10,albon,0:58.745
16,11,perez,0:58.710
16,12,vettel,0:59.455
16,13,latifi,1:00.025
16,14,giovinazzi,1:00.155
16,15,kevin_magnussen,1:02.312
16,16,aitken,0:59.608
16,17,raikkonen,0:59.961
16,18,pietro_fittipaldi,0:59.951
17,1,russell,0:58.169
17,2,bottas,0:57.978
17,3,sainz,0:58.924
17,4,ricciardo,0:58.821
17,5,kvyat,0:58.775
17,6,stroll,0:58.794
17,7,gasly,0:58.741
17,8,ocon,0:58.811
17,9,norris,0:58.992
