Position,Driver,Constructor,Points,Wins
1,Valtteri Bottas,Mercedes,43,1
2,Lewis Hamilton,Mercedes,37,1
3,Lando Norris,McLaren,26,0
4,Charles Leclerc,Ferrari,18,0
5,Sergio Pérez,Racing Point,16,0
6,Max Verstappen,Red Bull,15,0
7,Carlos Sainz,McLaren,13,0
8,Alexander Albon,Red Bull,12,0
9,Pierre Gasly,AlphaTauri,6,0
10,Lance Stroll,Racing Point,6,0
11,Esteban Ocon,Renault,4,0
12,Daniel Ricciardo,Renault,4,0
13,Antonio Giovinazzi,Alfa Romeo,2,0
14,Daniil Kvyat,AlphaTauri,1,0
15,Sebastian Vettel,Ferrari,1,0
16,Nicholas Latifi,Williams,0,0
17,Kimi Räikkönen,Alfa Romeo,0,0
18,Kevin Magnussen,Haas F1 Team,0,0
19,Romain Grosjean,Haas F1 Team,0,0
20,George Russell,Williams,0,0
