lap,position,driver,time
1,1,hamilton,1:18.184
1,2,max_verstappen,1:21.063
1,3,sainz,1:23.726
1,4,bottas,1:25.391
1,5,albon,1:27.279
1,6,ocon,1:28.095
1,7,ricciardo,1:29.615
1,8,gasly,1:32.014
1,9,leclerc,1:33.572
1,10,norris,1:34.458
1,11,stroll,1:35.274
1,12,russell,1:36.361
1,13,kevin_magnussen,1:37.594
1,14,kvyat,1:38.763
1,15,giovinazzi,1:40.400
1,16,vettel,1:41.037
1,17,perez,1:41.190
1,18,latifi,1:42.190
1,19,grosjean,1:43.860
1,20,raikkonen,1:45.821
2,1,hamilton,2:05.472
2,2,max_verstappen,2:03.866
2,3,sainz,2:02.268
2,4,bottas,2:01.395
2,5,albon,2:00.714
2,6,ocon,2:00.919
2,7,ricciardo,2:00.654
2,8,gasly,1:59.258
2,9,norris,1:58.343
2,10,stroll,1:58.807
2,11,russell,1:59.302
2,12,kevin_magnussen,1:59.065
2,13,kvyat,1:59.748
2,14,giovinazzi,1:59.120
2,15,perez,1:59.148
2,16,latifi,2:00.019
2,17,grosjean,1:59.726
2,18,raikkonen,1:59.637
2,19,leclerc,2:15.603
3,1,hamilton,1:47.600
3,2,max_verstappen,1:46.919
3,3,sainz,1:46.578
3,4,bottas,1:46.190
3,5,albon,1:45.619
3,6,ocon,1:44.955
3,7,ricciardo,1:43.998
3,8,gasly,1:43.394
3,9,norris,1:42.241
3,10,stroll,1:41.123
3,11,russell,1:39.880
3,12,kevin_magnussen,1:39.234
3,13,kvyat,1:38.006
3,14,giovinazzi,1:37.711
3,15,perez,1:37.229
3,16,latifi,1:35.889
3,17,grosjean,1:34.898
3,18,raikkonen,1:33.413
3,19,leclerc,1:35.379
4,1,hamilton,1:08.631
4,2,max_verstappen,1:09.382
4,3,sainz,1:10.657
4,4,bottas,1:10.776
4,5,albon,1:11.008
4,6,ocon,1:11.365
4,7,ricciardo,1:11.631
4,8,gasly,1:11.853
4,9,norris,1:12.229
4,10,stroll,1:12.360
4,11,kevin_magnussen,1:12.405
4,12,kvyat,1:12.250
4,13,perez,1:11.533
4,14,giovinazzi,1:12.706
4,15,latifi,1:12.803
4,16,grosjean,1:12.967
4,17,raikkonen,1:13.037
4,18,russell,1:19.394
4,19,leclerc,1:32.548
5,1,hamilton,1:08.968
5,2,max_verstappen,1:09.086
5,3,sainz,1:10.382
5,4,bottas,1:10.607
5,5,albon,1:10.745
5,6,ocon,1:11.043
5,7,ricciardo,1:11.328
5,8,gasly,1:11.277
5,9,stroll,1:10.658
5,10,norris,1:11.819
5,11,kevin_magnussen,1:11.695
5,12,perez,1:11.241
5,13,kvyat,1:12.162
5,14,giovinazzi,1:11.780
5,15,latifi,1:11.741
5,16,grosjean,1:11.939
5,17,raikkonen,1:11.912
5,18,russell,1:11.908
6,1,hamilton,1:08.897
6,2,max_verstappen,1:08.993
6,3,bottas,1:09.311
6,4,sainz,1:11.393
6,5,albon,1:10.549
6,6,ocon,1:10.457
6,7,ricciardo,1:10.311
6,8,gasly,1:10.616
6,9,stroll,1:10.808
6,10,norris,1:10.560
6,11,perez,1:09.872
6,12,kevin_magnussen,1:11.401
6,13,kvyat,1:11.161
6,14,giovinazzi,1:11.028
6,15,latifi,1:10.998
6,16,grosjean,1:11.073
6,17,raikkonen,1:11.194
6,18,russell,1:10.766
7,1,hamilton,1:08.610
7,2,max_verstappen,1:09.084
7,3,bottas,1:09.189
7,4,sainz,1:10.678
7,5,albon,1:10.405
7,6,ocon,1:10.373
7,7,ricciardo,1:10.299
7,8,gasly,1:10.356
7,9,stroll,1:10.268
7,10,norris,1:10.321
7,11,perez,1:10.541
7,12,kvyat,1:10.276
7,13,kevin_magnussen,1:12.003
7,14,giovinazzi,1:11.171
7,15,grosjean,1:10.554
7,16,latifi,1:12.441
