position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:18.188,1:17.825,1:19.273
2,33,Max Verstappen,Red Bull,1:18.297,1:17.938,1:20.489
3,55,Carlos Sainz,McLaren,1:18.590,1:18.836,1:20.671
4,77,Valtteri Bottas,Mercedes,1:18.791,1:18.657,1:20.701
5,31,Esteban Ocon,Renault,1:19.687,1:18.764,1:20.922
6,4,Lando Norris,McLaren,1:18.504,1:18.448,1:20.925
7,23,Alexander Albon,Red Bull,1:20.882,1:19.014,1:21.011
8,10,Pierre Gasly,AlphaTauri,1:20.192,1:18.744,1:21.028
9,3,Daniel Ricciardo,Renault,1:19.662,1:19.229,1:21.192
10,5,Sebastian Vettel,Ferrari,1:20.243,1:19.545,1:21.651
11,16,Charles Leclerc,Ferrari,1:20.871,1:19.628,
12,63,George Russell,Williams,1:20.382,1:19.636,
13,18,Lance Stroll,Racing Point,1:19.697,1:19.645,
14,26,Daniil Kvyat,AlphaTauri,1:19.824,1:19.717,
15,20,Kevin Magnussen,Haas F1 Team,1:21.140,1:20.211,
16,7,Kimi Räikkönen,Alfa Romeo,1:21.140,,
17,11,Sergio Pérez,Racing Point,1:21.607,,
18,6,Nicholas Latifi,Williams,1:21.759,,
19,99,Antonio Giovinazzi,Alfa Romeo,1:21.831,,
20,8,Romain Grosjean,Haas F1 Team,,,
