Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,63,2
2,Valtteri Bottas,Mercedes,58,1
3,Max Verstappen,Red Bull,33,0
4,Lando Norris,McLaren,26,0
5,Alexander Albon,Red Bull,22,0
6,Sergio Pérez,Racing Point,22,0
7,Charles Leclerc,Ferrari,18,0
8,Lance Stroll,Racing Point,18,0
9,Carlos Sainz,McLaren,15,0
10,Sebastian Vettel,Ferrari,9,0
11,Daniel Ricciardo,Renault,8,0
12,Pierre Gasly,AlphaTauri,6,0
13,Esteban Ocon,Renault,4,0
14,Antonio Giovinazzi,Alfa Romeo,2,0
15,Daniil Kvyat,AlphaTauri,1,0
16,Kevin Magnussen,Haas F1 Team,1,0
17,Kimi Räikkönen,Alfa Romeo,0,0
18,Nicholas Latifi,Williams,0,0
19,Romain Grosjean,Haas F1 Team,0,0
20,George Russell,Williams,0,0
