lap,position,driver,time
1,1,bottas,1:32.846
1,2,hamilton,1:33.847
1,3,max_verstappen,1:35.298
1,4,hulkenberg,1:36.138
1,5,stroll,1:36.874
1,6,ricciardo,1:37.686
1,7,gasly,1:38.443
1,8,norris,1:39.451
1,9,albon,1:39.919
1,10,leclerc,1:40.456
1,11,sainz,1:40.996
1,12,ocon,1:41.495
1,13,kevin_magnussen,1:41.958
1,14,kvyat,1:42.608
1,15,giovinazzi,1:43.606
1,16,grosjean,1:43.776
1,17,russell,1:44.029
1,18,latifi,1:44.999
1,19,raikkonen,1:45.241
1,20,vettel,1:45.844
2,1,bottas,1:31.384
2,2,hamilton,1:31.440
2,3,max_verstappen,1:31.968
2,4,hulkenberg,1:32.833
2,5,stroll,1:33.220
2,6,ricciardo,1:33.776
2,7,gasly,1:33.873
2,8,norris,1:33.816
2,9,albon,1:34.083
2,10,leclerc,1:34.324
2,11,sainz,1:34.759
2,12,ocon,1:35.198
2,13,kevin_magnussen,1:35.587
2,14,kvyat,1:35.284
2,15,giovinazzi,1:35.129
2,16,grosjean,1:35.593
2,17,russell,1:35.891
2,18,raikkonen,1:35.215
2,19,vettel,1:35.237
2,20,latifi,1:37.405
3,1,bottas,1:31.656
3,2,hamilton,1:31.448
3,3,max_verstappen,1:31.972
3,4,hulkenberg,1:32.482
3,5,stroll,1:32.868
3,6,ricciardo,1:33.179
3,7,gasly,1:33.235
3,8,norris,1:33.862
3,9,albon,1:33.802
3,10,leclerc,1:33.930
3,11,sainz,1:34.115
3,12,ocon,1:34.245
3,13,kvyat,1:35.300
3,14,kevin_magnussen,1:36.360
3,15,giovinazzi,1:35.541
3,16,grosjean,1:35.375
3,17,russell,1:35.156
3,18,raikkonen,1:35.089
3,19,vettel,1:35.024
3,20,latifi,1:34.869
4,1,bottas,1:31.562
4,2,hamilton,1:31.859
4,3,max_verstappen,1:32.125
4,4,hulkenberg,1:33.226
4,5,stroll,1:33.207
4,6,ricciardo,1:33.440
4,7,gasly,1:33.557
4,8,norris,1:33.357
4,9,albon,1:33.617
4,10,leclerc,1:33.672
4,11,sainz,1:34.083
4,12,ocon,1:34.268
4,13,kvyat,1:33.918
4,14,kevin_magnussen,1:34.897
4,15,giovinazzi,1:35.236
4,16,grosjean,1:35.218
4,17,russell,1:35.938
4,18,vettel,1:35.343
4,19,raikkonen,1:36.911
4,20,latifi,1:36.001
5,1,bottas,1:32.275
5,2,hamilton,1:32.698
5,3,max_verstappen,1:32.251
5,4,hulkenberg,1:32.868
5,5,stroll,1:33.187
5,6,ricciardo,1:33.418
5,7,gasly,1:33.683
5,8,norris,1:33.901
5,9,albon,1:33.703
5,10,leclerc,1:33.703
5,11,sainz,1:34.135
5,12,ocon,1:34.234
5,13,kvyat,1:34.293
5,14,kevin_magnussen,1:34.648
5,15,giovinazzi,1:34.694
5,16,grosjean,1:34.982
5,17,russell,1:34.546
5,18,vettel,1:34.811
5,19,raikkonen,1:34.655
5,20,latifi,1:34.864
6,1,bottas,1:32.752
6,2,hamilton,1:32.401
6,3,max_verstappen,1:32.045
6,4,hulkenberg,1:32.989
6,5,stroll,1:33.881
6,6,ricciardo,1:33.290
6,7,gasly,1:33.544
6,8,norris,1:33.435
6,9,albon,1:33.049
6,10,leclerc,1:33.392
6,11,sainz,1:33.699
6,12,ocon,1:34.355
6,13,kvyat,1:34.254
6,14,kevin_magnussen,1:34.640
6,15,giovinazzi,1:34.612
6,16,grosjean,1:34.547
6,17,russell,1:34.665
6,18,vettel,1:34.296
6,19,raikkonen,1:34.120
6,20,latifi,1:33.900
7,1,bottas,1:32.153
7,2,hamilton,1:32.352
7,3,max_verstappen,1:32.159
7,4,hulkenberg,1:33.492
7,5,stroll,1:33.240
7,6,ricciardo,1:33.365
7,7,gasly,1:32.447
7,8,norris,1:33.758
7,9,leclerc,1:33.191
7,10,sainz,1:34.015
7,11,ocon,1:34.129
7,12,kvyat,1:34.048
