position,number,driver,constructor,Q1,Q2,Q3
1,77,Valtteri Bottas,Mercedes,1:26.738,1:25.785,1:25.154
2,44,Lewis Hamilton,Mercedes,1:26.818,1:26.266,1:25.217
3,27,Nico Hülkenberg,Racing Point,1:27.279,1:26.261,1:26.082
4,33,Max Verstappen,Red Bull,1:27.154,1:26.779,1:26.176
5,3,Daniel Ricciardo,Renault,1:27.442,1:26.636,1:26.297
6,18,Lance Stroll,Racing Point,1:27.187,1:26.674,1:26.428
7,10,Pierre Gasly,AlphaTauri,1:27.154,1:26.523,1:26.534
8,16,Charles Leclerc,Ferrari,1:27.427,1:26.709,1:26.614
9,23,Alexander Albon,Red Bull,1:27.153,1:26.642,1:26.669
10,4,Lando Norris,McLaren,1:27.217,1:26.885,1:26.778
11,31,Esteban Ocon,Renault,1:27.278,1:27.011,
12,5,Sebastian Vettel,Ferrari,1:27.612,1:27.078,
13,55,Carlos Sainz,McLaren,1:27.450,1:27.083,
14,8,Romain Grosjean,Haas F1 Team,1:27.519,1:27.254,
15,63,George Russell,Williams,1:27.757,1:27.455,
16,26,Daniil Kvyat,AlphaTauri,1:27.882,,
17,20,Kevin Magnussen,Haas F1 Team,1:28.236,,
18,6,Nicholas Latifi,Williams,1:28.430,,
19,99,Antonio Giovinazzi,Alfa Romeo,1:28.433,,
20,7,Kimi Räikkönen,Alfa Romeo,1:28.493,,
