position,number,driver,constructor,laps,grid,status,points
1,33,Max Verstappen,Red Bull,52,4,Finished,25
2,44,Lewis Hamilton,Mercedes,52,2,Finished,19
3,77,Valtteri Bottas,Mercedes,52,1,Finished,15
4,16,Charles Leclerc,Ferrari,52,8,Finished,12
5,23,Alexander Albon,Red Bull,52,9,Finished,10
6,18,Lance Stroll,Racing Point,52,6,Finished,8
7,27,Nico Hülkenberg,Racing Point,52,3,Finished,6
8,31,Esteban Ocon,Renault,52,14,Finished,4
9,4,Lando Norris,McLaren,52,10,Finished,2
10,26,Daniil Kvyat,AlphaTauri,52,16,Finished,1
11,10,Pierre Gasly,AlphaTauri,52,7,Finished,0
12,5,Sebastian Vettel,Ferrari,52,11,Finished,0
13,55,Carlos Sainz,McLaren,52,12,Finished,0
14,3,Daniel Ricciardo,Renault,51,5,+1 Lap,0
15,7,Kimi Räikkönen,Alfa Romeo,51,20,+1 Lap,0
16,8,Romain Grosjean,Haas F1 Team,51,13,+1 Lap,0
17,99,Antonio Giovinazzi,Alfa Romeo,51,19,+1 Lap,0
18,63,George Russell,Williams,51,15,+1 Lap,0
19,6,Nicholas Latifi,Williams,51,18,+1 Lap,0
20,20,Kevin Magnussen,Haas F1 Team,43,17,Retired,0
