Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,107,3
2,Max Verstappen,Red Bull,77,1
3,Valtteri Bottas,Mercedes,73,1
4,Charles Leclerc,Ferrari,45,0
5,Lando Norris,McLaren,38,0
6,Alexander Albon,Red Bull,36,0
7,Lance Stroll,Racing Point,28,0
8,Sergio Pérez,Racing Point,22,0
9,Daniel Ricciardo,Renault,20,0
10,Esteban Ocon,Renault,16,0
11,Carlos Sainz,McLaren,15,0
12,Pierre Gasly,AlphaTauri,12,0
13,Sebastian Vettel,Ferrari,10,0
14,Nico Hülkenberg,Racing Point,6,0
15,Antonio Giovinazzi,Alfa Romeo,2,0
16,Daniil Kvyat,AlphaTauri,2,0
17,Kevin Magnussen,Haas F1 Team,1,0
18,Kimi Räikkönen,Alfa Romeo,0,0
19,Nicholas Latifi,Williams,0,0
20,George Russell,Williams,0,0
21,Romain Grosjean,Haas F1 Team,0,0
