lap,position,driver,time
1,1,bottas,1:46.834
1,2,hamilton,1:50.341
1,3,leclerc,1:51.398
1,4,albon,1:52.724
1,5,stroll,1:53.996
1,6,ricciardo,1:56.335
1,7,perez,1:57.098
1,8,norris,1:59.936
1,9,kvyat,2:02.355
1,10,ocon,2:03.478
1,11,russell,2:04.620
1,12,kevin_magnussen,2:08.433
1,13,latifi,2:09.418
1,14,giovinazzi,2:10.612
1,15,sainz,2:18.942
1,16,raikkonen,2:35.829
1,17,grosjean,2:38.359
1,18,vettel,2:46.818
2,1,bottas,2:28.572
2,2,hamilton,2:26.653
2,3,leclerc,2:26.424
2,4,albon,2:25.960
2,5,stroll,2:25.696
2,6,ricciardo,2:24.786
2,7,perez,2:25.389
2,8,norris,2:24.371
2,9,kvyat,2:24.130
2,10,ocon,2:23.856
2,11,russell,2:24.480
2,12,kevin_magnussen,2:22.262
2,13,latifi,2:22.833
2,14,giovinazzi,2:23.099
2,15,sainz,2:15.826
2,16,grosjean,1:57.221
2,17,raikkonen,2:00.769
2,18,vettel,1:52.400
3,1,bottas,2:17.078
3,2,hamilton,2:16.551
3,3,leclerc,2:16.385
3,4,albon,2:16.967
3,5,stroll,2:17.382
3,6,ricciardo,2:17.351
3,7,perez,2:17.193
3,8,norris,2:17.331
3,9,kvyat,2:17.237
3,10,ocon,2:17.987
3,11,russell,2:17.132
3,12,kevin_magnussen,2:17.241
3,13,latifi,2:17.245
3,14,giovinazzi,2:16.806
3,15,sainz,2:16.430
3,16,grosjean,2:17.211
3,17,raikkonen,2:17.105
3,18,vettel,2:15.684
4,1,bottas,2:13.468
4,2,hamilton,2:14.621
4,3,leclerc,2:15.131
4,4,albon,2:14.650
4,5,stroll,2:14.242
4,6,ricciardo,2:15.385
4,7,perez,2:14.942
4,8,norris,2:14.602
4,9,kvyat,2:14.702
4,10,ocon,2:14.439
4,11,russell,2:14.898
4,12,kevin_magnussen,2:13.812
4,13,latifi,2:13.727
4,14,giovinazzi,2:13.809
4,15,sainz,2:14.153
4,16,grosjean,2:14.294
4,17,raikkonen,2:15.592
4,18,vettel,2:16.774
5,1,bottas,2:14.247
5,2,hamilton,2:13.693
5,3,leclerc,2:13.400
5,4,albon,2:13.442
5,5,stroll,2:13.467
5,6,ricciardo,2:12.873
5,7,perez,2:12.602
5,8,norris,2:12.713
5,9,kvyat,2:12.980
5,10,ocon,2:13.705
5,11,russell,2:13.501
5,12,kevin_magnussen,2:14.825
5,13,latifi,2:14.383
5,14,giovinazzi,2:14.220
5,15,sainz,2:14.103
5,16,grosjean,2:14.068
5,17,raikkonen,2:13.244
5,18,vettel,2:12.292
6,1,bottas,2:22.886
6,2,hamilton,2:21.511
6,3,leclerc,2:20.751
6,4,albon,2:19.882
6,5,stroll,2:18.951
6,6,ricciardo,2:17.585
6,7,perez,2:17.360
6,8,norris,2:15.809
6,9,kvyat,2:13.715
6,10,ocon,2:11.793
6,11,russell,2:10.896
6,12,latifi,2:11.365
6,13,raikkonen,2:08.229
6,14,vettel,2:07.016
6,15,grosjean,2:10.396
7,1,bottas,2:01.252
7,2,hamilton,2:03.336
7,3,leclerc,2:04.466
7,4,albon,2:06.021
7,5,stroll,2:07.138
7,6,ricciardo,2:07.885
7,7,perez,2:09.425
7,8,norris,2:10.596
7,9,kvyat,2:12.074
7,10,ocon,2:13.823
7,11,russell,2:14.695
7,12,raikkonen,2:10.389
7,13,vettel,2:11.088
7,14,grosjean,2:19.256
8,1,bottas,2:48.101
8,2,hamilton,26:14.948
8,3,leclerc,26:16.166
8,4,albon,26:18.108
8,5,stroll,26:18.767
8,6,ricciardo,26:20.159
8,7,perez,26:20.731
8,8,norris,26:23.521
8,9,kvyat,26:24.295
8,10,russell,26:26.384
8,11,raikkonen,26:30.310
8,12,vettel,26:31.459
8,13,grosjean,26:26.417
9,1,bottas,26:57.695
9,2,hamilton,3:28.791
9,3,leclerc,3:26.509
9,4,stroll,3:21.318
9,5,albon,3:23.245
9,6,ricciardo,3:18.819
9,7,perez,3:16.716
9,8,norris,3:12.654
9,9,kvyat,3:10.172
9,10,russell,3:05.201
9,11,raikkonen,3:00.469
9,12,vettel,2:58.583
9,13,grosjean,2:55.082
10,1,hamilton,1:23.370
10,2,bottas,1:24.937
10,3,leclerc,1:26.608
10,4,stroll,1:26.695
10,5,perez,1:27.526
10,6,ricciardo,1:28.423
10,7,albon,1:29.369
10,8,norris,1:29.731
10,9,kvyat,1:30.149
10,10,raikkonen,1:30.841
10,11,russell,1:31.259
10,12,grosjean,1:31.999
10,13,vettel,1:32.463
11,1,hamilton,1:22.549
11,2,bottas,1:22.435
11,3,leclerc,1:23.692
11,4,stroll,1:24.052
11,5,perez,1:23.762
11,6,ricciardo,1:24.163
11,7,albon,1:24.054
11,8,norris,1:24.739
11,9,kvyat,1:25.065
11,10,russell,1:25.350
11,11,raikkonen,1:25.652
11,12,vettel,1:25.273
11,13,grosjean,1:26.648
12,1,hamilton,1:22.376
12,2,bottas,1:23.268
12,3,leclerc,1:23.631
12,4,stroll,1:23.888
12,5,perez,1:24.230
12,6,ricciardo,1:23.778
12,7,albon,1:24.049
12,8,norris,1:23.851
12,9,kvyat,1:24.182
12,10,russell,1:24.867
12,11,raikkonen,1:25.945
12,12,vettel,1:25.268
12,13,grosjean,1:25.495
13,1,hamilton,1:23.064
13,2,bottas,1:22.798
13,3,leclerc,1:23.491
13,4,stroll,1:23.332
13,5,perez,1:23.875
13,6,ricciardo,1:24.037
13,7,albon,1:23.966
13,8,norris,1:24.469
13,9,kvyat,1:24.505
13,10,russell,1:24.800
13,11,raikkonen,1:25.371
13,12,vettel,1:25.211
13,13,grosjean,1:25.447
14,1,hamilton,1:23.293
14,2,bottas,1:23.064
14,3,leclerc,1:24.153
14,4,stroll,1:24.125
14,5,perez,1:23.793
14,6,ricciardo,1:23.356
14,7,albon,1:23.793
14,8,norris,1:24.415
14,9,kvyat,1:24.835
14,10,russell,1:25.007
14,11,raikkonen,1:25.255
14,12,vettel,1:25.304
14,13,grosjean,1:25.559
15,1,hamilton,1:23.231
15,2,bottas,1:23.201
15,3,leclerc,1:24.096
15,4,stroll,1:23.885
15,5,ricciardo,1:23.508
15,6,perez,1:25.014
15,7,albon,1:23.917
15,8,norris,1:24.197
15,9,kvyat,1:24.220
15,10,russell,1:24.890
15,11,raikkonen,1:25.260
15,12,vettel,1:25.063
15,13,grosjean,1:25.560
16,1,hamilton,1:22.997
16,2,bottas,1:22.896
16,3,leclerc,1:24.390
16,4,stroll,1:24.507
16,5,ricciardo,1:23.999
16,6,perez,1:24.279
16,7,albon,1:24.336
16,8,norris,1:24.285
16,9,kvyat,1:24.222
16,10,russell,1:24.851
16,11,vettel,1:24.538
16,12,raikkonen,1:26.576
16,13,grosjean,1:25.537
17,1,hamilton,1:23.013
17,2,bottas,1:23.450
17,3,leclerc,1:24.457
17,4,stroll,1:24.194
17,5,ricciardo,1:24.128
17,6,perez,1:24.202
17,7,albon,1:24.072
17,8,norris,1:24.314
17,9,kvyat,1:24.695
17,10,russell,1:25.358
17,11,vettel,1:24.611
17,12,raikkonen,1:25.159
17,13,grosjean,1:25.864
18,1,hamilton,1:23.683
18,2,bottas,1:23.282
18,3,stroll,1:23.259
18,4,leclerc,1:25.338
18,5,ricciardo,1:24.270
18,6,albon,1:23.390
18,7,perez,1:25.413
18,8,norris,1:24.438
18,9,kvyat,1:24.453
18,10,russell,1:25.030
18,11,vettel,1:24.820
18,12,raikkonen,1:24.885
18,13,grosjean,1:26.083
19,1,hamilton,1:22.919
19,2,bottas,1:23.136
19,3,stroll,1:23.637
19,4,ricciardo,1:23.372
19,5,leclerc,1:25.738
19,6,albon,1:24.621
19,7,perez,1:24.282
19,8,norris,1:24.554
19,9,kvyat,1:24.285
19,10,russell,1:24.710
19,11,vettel,1:24.983
19,12,raikkonen,1:25.205
19,13,grosjean,1:25.681
20,1,hamilton,1:23.200
20,2,bottas,1:23.205
20,3,stroll,1:23.623
20,4,ricciardo,1:23.710
20,5,albon,1:23.206
20,6,leclerc,1:26.026
20,7,perez,1:24.837
20,8,norris,1:24.548
20,9,kvyat,1:24.311
20,10,russell,1:24.773
20,11,vettel,1:24.908
20,12,raikkonen,1:25.060
20,13,grosjean,1:25.733
21,1,hamilton,1:22.818
21,2,bottas,1:23.162
21,3,stroll,1:23.821
21,4,ricciardo,1:23.744
21,5,albon,1:23.787
21,6,perez,1:24.373
21,7,norris,1:24.704
21,8,kvyat,1:25.001
21,9,russell,1:25.200
21,10,vettel,1:25.064
21,11,raikkonen,1:25.372
21,12,leclerc,1:44.937
21,13,grosjean,1:25.627
22,1,hamilton,1:23.668
22,2,bottas,1:23.331
22,3,stroll,1:23.815
22,4,ricciardo,1:23.464
22,5,albon,1:23.628
22,6,perez,1:24.546
22,7,norris,1:24.042
22,8,kvyat,1:24.437
22,9,russell,1:25.252
22,10,vettel,1:25.511
22,11,raikkonen,1:25.106
22,12,grosjean,1:25.676
22,13,leclerc,1:30.690
23,1,hamilton,1:23.243
23,2,bottas,1:23.231
23,3,stroll,1:23.760
23,4,ricciardo,1:23.614
23,5,albon,1:23.899
23,6,perez,1:25.151
23,7,norris,1:24.437
23,8,kvyat,1:24.765
23,9,russell,1:25.511
23,10,vettel,1:25.679
23,11,raikkonen,1:25.345
23,12,grosjean,1:25.930
23,13,leclerc,1:24.083
24,1,hamilton,1:22.994
24,2,bottas,1:23.229
24,3,stroll,1:23.919
24,4,ricciardo,1:23.590
24,5,albon,1:23.732
24,6,perez,1:24.699
24,7,norris,1:24.636
24,8,kvyat,1:25.354
24,9,russell,1:25.099
24,10,vettel,1:25.683
24,11,raikkonen,1:25.561
24,12,grosjean,1:25.613
24,13,leclerc,1:24.285
25,1,hamilton,1:23.283
25,2,bottas,1:23.172
25,3,stroll,1:24.078
25,4,ricciardo,1:24.374
25,5,albon,1:23.779
25,6,perez,1:25.114
25,7,norris,1:24.958
25,8,kvyat,1:25.223
25,9,russell,1:25.406
25,10,vettel,1:25.626
25,11,raikkonen,1:25.409
25,12,grosjean,1:26.012
25,13,leclerc,1:25.001
26,1,hamilton,1:23.425
26,2,bottas,1:23.752
26,3,stroll,1:24.070
26,4,ricciardo,1:24.049
26,5,albon,1:24.076
26,6,perez,1:25.305
26,7,norris,1:25.119
26,8,kvyat,1:24.951
26,9,russell,1:25.895
26,10,vettel,1:25.756
26,11,raikkonen,1:25.562
26,12,leclerc,1:23.698
26,13,grosjean,1:27.007
27,1,hamilton,1:23.316
27,2,bottas,1:23.380
27,3,stroll,1:24.301
27,4,albon,1:23.927
27,5,perez,1:25.559
27,6,norris,1:24.868
27,7,kvyat,1:25.205
27,8,ricciardo,1:41.016
27,9,russell,1:25.396
27,10,vettel,1:25.863
27,11,leclerc,1:24.165
27,12,grosjean,1:26.063
27,13,raikkonen,1:53.875
28,1,hamilton,1:23.112
28,2,bottas,1:23.535
28,3,stroll,1:24.222
28,4,albon,1:23.675
28,5,norris,1:24.258
28,6,kvyat,1:25.689
28,7,ricciardo,1:26.729
28,8,russell,1:25.932
28,9,perez,1:44.649
28,10,leclerc,1:24.718
28,11,vettel,1:44.436
28,12,grosjean,1:44.416
28,13,raikkonen,1:35.110
29,1,hamilton,1:23.137
29,2,bottas,1:24.805
29,3,stroll,1:24.649
29,4,albon,1:24.459
29,5,ricciardo,1:24.891
29,6,norris,1:44.423
29,7,leclerc,1:24.574
29,8,perez,1:26.963
29,9,kvyat,1:43.589
29,10,russell,1:43.575
29,11,vettel,1:30.303
29,12,grosjean,1:32.229
29,13,raikkonen,1:24.055
30,1,hamilton,1:23.074
30,2,bottas,1:24.521
30,3,albon,1:24.313
30,4,stroll,1:41.836
30,5,ricciardo,1:23.257
30,6,perez,1:22.111
30,7,leclerc,1:25.442
30,8,norris,1:29.431
30,9,kvyat,1:30.827
30,10,russell,1:28.429
30,11,vettel,1:24.194
30,12,grosjean,1:24.662
30,13,raikkonen,1:25.179
31,1,hamilton,1:22.914
31,2,albon,1:25.240
31,3,bottas,1:43.260
31,4,ricciardo,1:23.555
31,5,stroll,1:28.311
31,6,perez,1:23.150
31,7,leclerc,1:24.327
31,8,norris,1:23.202
31,9,kvyat,1:23.516
31,10,russell,1:23.235
31,11,vettel,1:24.017
31,12,grosjean,1:24.652
31,13,raikkonen,1:23.618
32,1,hamilton,1:40.016
32,2,bottas,1:27.993
32,3,ricciardo,1:23.662
32,4,albon,1:40.967
32,5,stroll,1:23.117
32,6,perez,1:23.284
32,7,leclerc,1:23.930
32,8,norris,1:23.407
32,9,kvyat,1:23.016
32,10,russell,1:24.114
32,11,vettel,1:24.076
32,12,grosjean,1:24.532
32,13,raikkonen,1:24.133
33,1,hamilton,1:28.882
33,2,bottas,1:21.874
33,3,ricciardo,1:23.211
33,4,stroll,1:23.153
33,5,albon,1:28.884
33,6,perez,1:23.271
33,7,norris,1:23.067
33,8,leclerc,1:26.030
33,9,kvyat,1:23.047
33,10,russell,1:24.200
33,11,vettel,1:24.235
33,12,grosjean,1:24.558
33,13,raikkonen,1:23.955
34,1,hamilton,1:22.104
34,2,bottas,1:21.799
34,3,ricciardo,1:23.264
34,4,stroll,1:23.238
34,5,albon,1:22.119
34,6,perez,1:22.922
34,7,norris,1:23.021
34,8,leclerc,1:23.973
34,9,kvyat,1:23.226
34,10,russell,1:24.368
34,11,vettel,1:23.708
34,12,raikkonen,1:23.797
34,13,grosjean,1:26.389
35,1,hamilton,1:22.261
35,2,bottas,1:21.916
35,3,ricciardo,1:23.213
35,4,stroll,1:23.021
35,5,albon,1:22.684
35,6,perez,1:22.814
35,7,norris,1:23.299
35,8,leclerc,1:23.862
35,9,kvyat,1:23.086
35,10,russell,1:24.312
35,11,vettel,1:24.224
35,12,raikkonen,1:23.985
35,13,grosjean,1:24.717
36,1,hamilton,1:22.453
36,2,bottas,1:22.393
36,3,ricciardo,1:23.137
36,4,stroll,1:23.034
36,5,albon,1:22.314
36,6,perez,1:23.623
36,7,norris,1:22.784
36,8,leclerc,1:23.488
36,9,kvyat,1:22.589
36,10,russell,1:23.773
36,11,vettel,1:23.942
36,12,raikkonen,1:23.673
36,13,grosjean,1:24.678
37,1,hamilton,1:22.015
37,2,bottas,1:22.076
37,3,ricciardo,1:22.952
37,4,stroll,1:22.739
37,5,albon,1:21.917
37,6,perez,1:22.988
37,7,norris,1:22.583
37,8,kvyat,1:24.531
37,9,russell,1:23.795
37,10,vettel,1:23.998
37,11,leclerc,1:42.659
37,12,raikkonen,1:23.361
37,13,grosjean,1:26.816
38,1,hamilton,1:22.099
38,2,bottas,1:22.208
38,3,ricciardo,1:22.503
38,4,stroll,1:22.323
38,5,albon,1:22.562
38,6,perez,1:22.873
38,7,norris,1:22.978
38,8,kvyat,1:23.553
38,9,russell,1:23.924
38,10,vettel,1:23.755
38,11,leclerc,1:28.418
38,12,raikkonen,1:23.285
38,13,grosjean,1:24.483
39,1,hamilton,1:22.305
39,2,bottas,1:22.278
39,3,ricciardo,1:22.213
39,4,stroll,1:22.399
39,5,albon,1:21.756
39,6,perez,1:22.657
39,7,norris,1:22.886
39,8,kvyat,1:23.890
39,9,russell,1:24.308
39,10,vettel,1:24.103
39,11,leclerc,1:22.506
39,12,raikkonen,1:23.761
39,13,grosjean,1:26.907
40,1,hamilton,1:22.499
40,2,bottas,1:22.448
40,3,ricciardo,1:22.591
40,4,stroll,1:22.544
40,5,albon,1:22.154
40,6,perez,1:23.133
40,7,norris,1:22.641
40,8,kvyat,1:23.538
40,9,russell,1:24.512
40,10,vettel,1:24.271
40,11,leclerc,1:22.695
40,12,raikkonen,1:24.353
40,13,grosjean,1:24.951
41,1,hamilton,1:22.301
41,2,bottas,1:22.147
41,3,ricciardo,1:22.483
41,4,stroll,1:22.176
41,5,albon,1:22.242
41,6,perez,1:22.670
41,7,norris,1:22.878
41,8,kvyat,1:23.354
41,9,russell,1:24.022
41,10,vettel,1:24.048
41,11,leclerc,1:22.827
41,12,raikkonen,1:25.590
41,13,grosjean,1:24.346
42,1,hamilton,1:22.354
42,2,bottas,1:21.915
42,3,ricciardo,1:22.152
42,4,stroll,1:22.068
42,5,albon,1:22.038
42,6,perez,1:22.618
42,7,norris,1:22.698
42,8,kvyat,1:23.405
42,9,russell,1:24.215
42,10,vettel,1:24.308
42,11,leclerc,1:23.342
42,12,raikkonen,1:48.127
42,13,grosjean,1:47.445
43,1,hamilton,1:21.965
43,2,bottas,1:42.623
43,3,ricciardo,1:47.997
43,4,albon,1:50.967
43,5,perez,1:53.975
43,6,norris,1:57.116
43,7,kvyat,1:59.157
43,8,leclerc,1:47.675
43,9,russell,2:03.974
43,10,vettel,2:02.831
43,11,raikkonen,1:51.500
43,12,grosjean,1:51.092
44,1,hamilton,2:06.887
44,2,bottas,1:52.694
44,3,ricciardo,1:50.108
44,4,albon,1:50.321
44,5,perez,1:50.473
44,6,norris,1:52.604
44,7,kvyat,1:51.464
44,8,leclerc,1:49.406
44,9,russell,1:51.740
44,10,vettel,1:51.197
44,11,grosjean,15:51.805
44,12,raikkonen,16:52.470
45,1,hamilton,2:48.966
45,2,bottas,2:41.220
45,3,ricciardo,23:35.545
45,4,albon,23:34.865
45,5,perez,23:20.069
45,6,norris,23:15.827
45,7,kvyat,23:06.474
45,8,raikkonen,7:18.507
45,9,grosjean,8:10.852
45,10,leclerc,23:04.706
45,11,russell,22:54.687
45,12,vettel,22:55.100
46,1,hamilton,24:41.868
46,2,ricciardo,3:23.348
46,3,bottas,24:37.833
