position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:15.778,1:15.309,1:15.144
2,77,Valtteri Bottas,Mercedes,1:15.749,1:15.322,1:15.203
3,33,Max Verstappen,Red Bull,1:16.335,1:15.471,1:15.509
4,23,Alexander Albon,Red Bull,1:16.527,1:15.914,1:15.954
5,16,Charles Leclerc,Ferrari,1:16.698,1:16.324,1:16.270
6,11,Sergio Pérez,Racing Point,1:16.596,1:16.489,1:16.311
7,18,Lance Stroll,Racing Point,1:16.701,1:16.271,1:16.356
8,3,Daniel Ricciardo,Renault,1:16.981,1:16.243,1:16.543
9,55,Carlos Sainz,McLaren,1:16.993,1:16.522,1:17.870
10,31,Esteban Ocon,Renault,1:16.825,1:16.297,
11,4,Lando Norris,McLaren,1:16.895,1:16.640,
12,26,Daniil Kvyat,AlphaTauri,1:16.928,1:16.854,
13,7,Kimi Räikkönen,Alfa Romeo,1:17.059,1:16.854,
14,5,Sebastian Vettel,Ferrari,1:17.072,1:16.858,
15,8,Romain Grosjean,Haas F1 Team,1:17.069,1:17.254,
16,10,Pierre Gasly,AlphaTauri,1:17.125,,
17,99,Antonio Giovinazzi,Alfa Romeo,1:17.220,,
18,63,George Russell,Williams,1:17.232,,
19,6,Nicholas Latifi,Williams,1:17.320,,
20,20,Kevin Magnussen,Haas F1 Team,1:17.348,,
