position,number,driver,constructor,Q1,Q2,Q3
1,33,Max Verstappen,Red Bull,1:10.036,1:09.071,1:08.885
2,44,Lewis Hamilton,Mercedes,1:10.114,1:09.726,1:08.923
3,77,Valtteri Bottas,Mercedes,1:10.219,1:09.769,1:09.222
4,10,Pierre Gasly,AlphaTauri,1:10.274,1:09.541,1:09.478
5,16,Charles Leclerc,Ferrari,1:09.829,1:09.437,1:09.527
6,55,Carlos Sainz,Ferrari,1:10.022,1:09.870,1:09.537
7,99,Antonio Giovinazzi,Alfa Romeo,1:10.050,1:10.033,1:09.590
8,31,Esteban Ocon,Alpine F1 Team,1:10.179,1:09.919,1:09.933
9,14,Fernando Alonso,Alpine F1 Team,1:10.435,1:10.020,1:09.956
10,3,Daniel Ricciardo,McLaren,1:10.255,1:09.865,1:10.166
11,63,George Russell,Williams,1:10.382,1:10.332,
12,18,Lance Stroll,Aston Martin,1:10.438,1:10.367,
13,4,Lando Norris,McLaren,1:10.489,1:10.406,
14,6,Nicholas Latifi,Williams,1:10.093,1:11.161,
15,22,Yuki Tsunoda,AlphaTauri,1:10.462,1:11.314,
16,11,Sergio Pérez,Red Bull,1:10.530,,
17,5,Sebastian Vettel,Aston Martin,1:10.731,,
18,88,Robert Kubica,Alfa Romeo,1:11.301,,
19,47,Mick Schumacher,Haas F1 Team,1:11.387,,
20,9,Nikita Mazepin,Haas F1 Team,1:11.875,,
