position,number,driver,constructor,Q1,Q2,Q3
1,77,Valtteri Bottas,Mercedes,1:16.727,1:16.864,1:15.875
2,44,Lewis Hamilton,Mercedes,1:17.207,1:16.474,1:16.020
3,33,Max Verstappen,Red Bull,1:16.788,1:16.483,1:16.225
4,11,Sergio Pérez,Red Bull,1:17.003,1:17.055,1:16.342
5,10,Pierre Gasly,AlphaTauri,1:16.908,1:16.955,1:16.456
6,55,Carlos Sainz,Ferrari,1:17.517,1:17.248,1:16.761
7,3,Daniel Ricciardo,McLaren,1:17.719,1:17.092,1:16.763
8,16,Charles Leclerc,Ferrari,1:16.748,1:17.034,1:16.837
9,22,Yuki Tsunoda,AlphaTauri,1:17.330,1:16.701,1:17.158
10,4,Lando Norris,McLaren,1:17.569,1:17.473,1:36.830
11,5,Sebastian Vettel,Aston Martin,1:17.502,1:17.746,
12,7,Kimi Räikkönen,Alfa Romeo,1:17.606,1:17.958,
13,63,George Russell,Williams,1:17.958,1:18.172,
14,99,Antonio Giovinazzi,Alfa Romeo,1:17.897,1:18.290,
15,31,Esteban Ocon,Alpine F1 Team,1:18.126,1:18.405,
16,14,Fernando Alonso,Alpine F1 Team,1:18.452,,
17,6,Nicholas Latifi,Williams,1:18.756,,
18,47,Mick Schumacher,Haas F1 Team,1:18.858,,
19,9,Nikita Mazepin,Haas F1 Team,1:19.303,,
20,18,Lance Stroll,Aston Martin,1:20.873,,
