position,number,driver,constructor,grid,laps,status,points
1,77,Valtteri Bottas,Mercedes,2,24,Finished,3
2,33,Max Verstappen,Red Bull,1,24,Finished,2
3,55,Carlos Sainz,Ferrari,5,24,Finished,1
4,11,Sergio Pérez,Red Bull,3,24,Finished,0
5,44,Lewis Hamilton,Mercedes,20,24,Finished,0
6,4,Lando Norris,McLaren,7,24,Finished,0
7,16,Charles Leclerc,Ferrari,6,24,Finished,0
8,10,Pierre Gasly,AlphaTauri,4,24,Finished,0
9,31,Esteban Ocon,Alpine F1 Team,10,24,Finished,0
10,5,Sebastian Vettel,Aston Martin,11,24,Finished,0
11,3,Daniel Ricciardo,McLaren,8,24,Finished,0
12,14,Fernando Alonso,Alpine F1 Team,9,24,Finished,0
13,99,Antonio Giovinazzi,Alfa Romeo,14,24,Finished,0
14,18,Lance Stroll,Aston Martin,15,24,Finished,0
15,22,Yuki Tsunoda,AlphaTauri,12,24,Finished,0
16,6,Nicholas Latifi,Williams,16,24,Finished,0
17,63,George Russell,Williams,17,24,Finished,0
18,7,Kimi Räikkönen,Alfa Romeo,13,24,Finished,0
19,47,Mick Schumacher,Haas F1 Team,18,24,Finished,0
20,9,Nikita Mazepin,Haas F1 Team,19,24,Finished,0
