lap,position,driver,time
1,1,bottas,1:24.937
1,2,hamilton,1:25.806
1,3,max_verstappen,1:26.704
1,4,sainz,1:28.400
1,5,perez,1:29.236
1,6,norris,1:29.671
1,7,ocon,1:30.419
1,8,leclerc,1:30.736
1,9,gasly,1:31.557
1,10,vettel,1:31.907
1,11,russell,1:32.993
1,12,giovinazzi,1:33.594
1,13,raikkonen,1:33.673
1,14,ricciardo,1:34.197
1,15,alonso,1:34.254
1,16,tsunoda,1:34.845
1,17,stroll,1:35.093
1,18,latifi,1:35.546
1,19,mick_schumacher,1:36.319
1,20,mazepin,1:36.628
2,1,bottas,1:46.875
2,2,hamilton,1:48.207
2,3,max_verstappen,1:48.275
2,4,sainz,1:48.928
2,5,perez,1:49.102
2,6,norris,1:50.559
2,7,ocon,1:51.644
2,8,leclerc,1:52.693
2,9,gasly,1:53.555
2,10,vettel,1:55.328
2,11,russell,1:55.043
2,12,giovinazzi,1:56.382
2,13,ricciardo,1:57.399
2,14,alonso,2:01.115
2,15,tsunoda,2:02.598
2,16,stroll,2:03.386
2,17,latifi,2:04.268
2,18,mick_schumacher,2:04.418
2,19,mazepin,2:05.966
3,1,bottas,2:22.684
3,2,hamilton,2:22.624
3,3,max_verstappen,2:22.886
3,4,sainz,2:21.456
3,5,perez,2:21.727
3,6,norris,2:20.721
3,7,ocon,2:20.679
3,8,leclerc,2:21.183
3,9,gasly,2:21.094
3,10,vettel,2:21.344
3,11,russell,2:21.091
3,12,giovinazzi,2:20.500
3,13,ricciardo,2:20.615
3,14,alonso,2:18.877
3,15,tsunoda,2:18.773
3,16,stroll,2:19.146
3,17,latifi,2:19.257
3,18,mick_schumacher,2:19.654
3,19,mazepin,2:19.735
4,1,bottas,2:15.331
4,2,hamilton,2:15.225
4,3,max_verstappen,2:15.089
4,4,sainz,2:15.694
4,5,perez,2:15.249
4,6,norris,2:16.431
4,7,ocon,2:15.969
4,8,leclerc,2:15.461
4,9,gasly,2:15.417
4,10,vettel,2:14.734
4,11,russell,2:16.210
4,12,giovinazzi,2:16.084
4,13,ricciardo,2:15.357
4,14,alonso,2:14.695
4,15,tsunoda,2:14.118
4,16,stroll,2:14.788
4,17,latifi,2:14.617
4,18,mick_schumacher,2:14.524
4,19,mazepin,2:14.713
5,1,bottas,2:01.394
5,2,hamilton,2:00.710
5,3,max_verstappen,2:00.539
5,4,sainz,2:00.239
5,5,perez,2:00.471
5,6,norris,1:59.045
5,7,ocon,1:59.763
5,8,leclerc,1:59.844
5,9,gasly,1:59.657
5,10,vettel,1:59.153
5,11,russell,1:58.410
5,12,giovinazzi,1:59.148
5,13,ricciardo,2:00.170
5,14,alonso,1:59.449
5,15,tsunoda,1:59.327
5,16,stroll,1:59.384
5,17,latifi,1:59.142
5,18,mick_schumacher,1:59.120
5,19,mazepin,1:59.345
6,1,bottas,2:10.372
6,2,hamilton,2:09.497
6,3,max_verstappen,2:08.636
6,4,sainz,2:07.910
6,5,perez,2:07.092
6,6,norris,2:06.693
6,7,ocon,2:04.853
6,8,leclerc,2:03.588
6,9,gasly,2:02.385
6,10,vettel,2:01.334
6,11,russell,2:00.333
6,12,giovinazzi,1:58.593
6,13,ricciardo,1:57.052
6,14,alonso,1:56.696
6,15,tsunoda,1:55.641
6,16,stroll,1:53.738
6,17,latifi,1:52.859
6,18,mick_schumacher,1:52.051
6,19,mazepin,1:49.925
7,1,bottas,1:23.550
7,2,max_verstappen,1:24.011
7,3,hamilton,1:24.750
7,4,norris,1:25.872
7,5,perez,1:27.113
7,6,sainz,1:28.275
7,7,leclerc,1:28.143
7,8,ocon,1:28.838
7,9,gasly,1:29.412
7,10,vettel,1:29.776
7,11,ricciardo,1:29.179
7,12,giovinazzi,1:30.183
7,13,alonso,1:29.727
7,14,russell,1:30.785
7,15,stroll,1:29.630
7,16,tsunoda,1:30.408
7,17,latifi,1:30.495
7,18,mazepin,1:30.713
