lap,position,driver,time
1,1,max_verstappen,1:26.190
1,2,hamilton,1:27.702
1,3,leclerc,1:29.442
1,4,bottas,1:30.174
1,5,ricciardo,1:31.083
1,6,perez,1:31.943
1,7,ocon,1:32.775
1,8,sainz,1:33.500
1,9,norris,1:33.959
1,10,alonso,1:34.655
1,11,stroll,1:35.051
1,12,vettel,1:35.498
1,13,gasly,1:36.030
1,14,raikkonen,1:36.748
1,15,giovinazzi,1:37.299
1,16,mick_schumacher,1:37.640
1,17,russell,1:38.084
1,18,tsunoda,1:38.543
1,19,latifi,1:39.177
1,20,mazepin,1:39.826
2,1,max_verstappen,1:23.561
2,2,hamilton,1:23.798
2,3,leclerc,1:24.948
2,4,bottas,1:25.251
2,5,ricciardo,1:25.429
2,6,perez,1:25.241
2,7,ocon,1:25.631
2,8,sainz,1:25.970
2,9,norris,1:26.500
2,10,alonso,1:26.882
2,11,stroll,1:27.001
2,12,vettel,1:27.277
2,13,gasly,1:27.333
2,14,raikkonen,1:27.611
2,15,giovinazzi,1:27.724
2,16,mick_schumacher,1:28.135
2,17,tsunoda,1:27.714
2,18,russell,1:28.774
2,19,latifi,1:28.361
2,20,mazepin,1:28.311
3,1,max_verstappen,1:23.250
3,2,hamilton,1:23.425
3,3,leclerc,1:24.403
3,4,bottas,1:24.121
3,5,ricciardo,1:24.680
3,6,perez,1:24.792
3,7,ocon,1:25.236
3,8,sainz,1:25.249
3,9,norris,1:25.746
3,10,alonso,1:25.698
3,11,stroll,1:26.054
3,12,vettel,1:26.125
3,13,gasly,1:26.014
3,14,raikkonen,1:26.177
3,15,giovinazzi,1:26.328
3,16,mick_schumacher,1:26.736
3,17,tsunoda,1:26.760
3,18,russell,1:27.083
3,19,latifi,1:27.194
3,20,mazepin,1:27.309
4,1,max_verstappen,1:23.209
4,2,hamilton,1:22.938
4,3,leclerc,1:24.198
4,4,bottas,1:24.192
4,5,ricciardo,1:24.436
4,6,perez,1:24.723
4,7,ocon,1:24.858
4,8,sainz,1:24.828
4,9,norris,1:24.945
4,10,alonso,1:25.097
4,11,stroll,1:25.293
4,12,vettel,1:25.312
4,13,gasly,1:25.503
4,14,raikkonen,1:25.585
4,15,giovinazzi,1:25.723
4,16,mick_schumacher,1:26.209
4,17,tsunoda,1:26.189
4,18,russell,1:26.223
4,19,latifi,1:26.338
4,20,mazepin,1:26.368
5,1,max_verstappen,1:23.206
5,2,hamilton,1:23.118
5,3,leclerc,1:24.269
5,4,bottas,1:24.784
5,5,ricciardo,1:24.411
5,6,perez,1:24.067
5,7,ocon,1:24.449
5,8,sainz,1:24.759
5,9,norris,1:24.950
5,10,alonso,1:25.177
5,11,stroll,1:25.044
5,12,vettel,1:25.201
5,13,gasly,1:25.250
5,14,raikkonen,1:25.363
5,15,giovinazzi,1:25.571
5,16,tsunoda,1:24.825
5,17,mick_schumacher,1:27.216
5,18,russell,1:26.348
5,19,latifi,1:26.276
5,20,mazepin,1:26.945
6,1,max_verstappen,1:23.227
6,2,hamilton,1:23.062
6,3,leclerc,1:24.195
6,4,bottas,1:23.802
6,5,ricciardo,1:24.468
6,6,perez,1:24.544
6,7,ocon,1:24.906
6,8,sainz,1:24.896
6,9,norris,1:25.130
6,10,alonso,1:25.115
6,11,stroll,1:25.139
6,12,vettel,1:25.152
6,13,gasly,1:25.194
6,14,raikkonen,1:25.421
6,15,giovinazzi,1:25.437
6,16,tsunoda,1:25.148
6,17,mick_schumacher,1:26.032
6,18,russell,1:26.158
6,19,latifi,1:26.574
6,20,mazepin,1:26.904
7,1,max_verstappen,1:23.090
7,2,hamilton,1:23.261
7,3,leclerc,1:24.062
7,4,bottas,1:23.896
7,5,ricciardo,1:24.212
7,6,perez,1:24.305
7,7,ocon,1:24.617
7,8,sainz,1:24.460
7,9,norris,1:24.853
7,10,alonso,1:24.966
7,11,stroll,1:25.112
7,12,vettel,1:25.047
7,13,gasly,1:25.027
7,14,raikkonen,1:25.434
7,15,giovinazzi,1:25.294
7,16,mick_schumacher,1:26.324
7,17,russell,1:26.109
7,18,latifi,1:26.037
7,19,mazepin,1:26.460
8,1,max_verstappen,1:25.483
8,2,hamilton,1:29.253
8,3,leclerc,1:31.332
8,4,bottas,1:32.075
8,5,ricciardo,1:32.522
8,6,perez,1:33.466
8,7,ocon,1:33.985
8,8,sainz,1:34.859
8,9,norris,1:34.755
8,10,alonso,1:34.310
8,11,stroll,1:35.339
8,12,vettel,1:34.995
8,13,gasly,1:34.747
8,14,raikkonen,1:35.413
8,15,giovinazzi,1:38.019
8,16,russell,1:38.318
8,17,mick_schumacher,1:40.855
8,18,latifi,1:40.465
8,19,mazepin,1:41.651
9,1,max_verstappen,2:14.880
9,2,hamilton,2:11.611
9,3,leclerc,2:02.691
9,4,bottas,2:02.218
9,5,ricciardo,2:00.615
9,6,perez,1:59.695
9,7,ocon,1:57.570
9,8,sainz,1:57.331
9,9,norris,1:57.441
9,10,alonso,1:57.266
9,11,stroll,1:56.562
9,12,vettel,1:56.652
9,13,gasly,1:57.318
9,14,raikkonen,1:56.450
9,15,russell,1:54.735
9,16,mick_schumacher,1:52.822
9,17,mazepin,1:51.289
9,18,latifi,1:54.725
9,19,giovinazzi,2:40.997
10,1,max_verstappen,2:19.896
10,2,hamilton,2:18.416
10,3,leclerc,2:17.414
10,4,bottas,2:16.909
10,5,ricciardo,2:16.222
10,6,perez,2:16.144
10,7,ocon,2:15.246
10,8,sainz,2:13.662
10,9,norris,2:11.688
10,10,alonso,2:11.431
10,11,stroll,2:10.488
10,12,vettel,2:10.428
10,13,gasly,2:09.701
10,14,raikkonen,2:08.604
10,15,mick_schumacher,2:01.225
10,16,mazepin,1:58.697
10,17,russell,2:02.194
10,18,latifi,1:59.384
10,19,giovinazzi,1:34.073
11,1,max_verstappen,1:23.251
11,2,hamilton,1:23.608
11,3,leclerc,1:24.637
11,4,bottas,1:25.078
11,5,ricciardo,1:25.621
11,6,perez,1:25.649
11,7,ocon,1:26.308
11,8,sainz,1:26.753
