lap,position,driver,time
1,1,leclerc,1:52.162
1,2,hamilton,1:52.533
1,3,max_verstappen,1:53.236
1,4,perez,1:54.523
1,5,gasly,1:55.240
1,6,sainz,1:55.799
1,7,alonso,1:57.109
1,8,tsunoda,1:57.578
1,9,vettel,1:58.358
1,10,bottas,1:59.467
1,11,ocon,2:00.049
1,12,norris,2:00.202
1,13,ricciardo,2:00.631
1,14,raikkonen,2:01.534
1,15,giovinazzi,2:02.391
1,16,stroll,2:04.253
1,17,latifi,2:04.905
1,18,mick_schumacher,2:05.671
1,19,mazepin,2:06.029
1,20,russell,2:08.197
2,1,hamilton,1:49.236
2,2,leclerc,1:49.672
2,3,max_verstappen,1:49.550
2,4,perez,1:49.180
2,5,gasly,1:49.031
2,6,sainz,1:49.542
2,7,alonso,1:50.062
2,8,tsunoda,1:50.071
2,9,vettel,1:50.157
2,10,bottas,1:50.418
2,11,ocon,1:50.850
2,12,norris,1:51.296
2,13,ricciardo,1:50.972
2,14,raikkonen,1:51.655
2,15,stroll,1:51.395
2,16,latifi,1:52.208
2,17,mick_schumacher,1:52.393
2,18,giovinazzi,1:55.997
2,19,mazepin,1:53.144
2,20,russell,2:07.330
3,1,hamilton,1:48.060
3,2,leclerc,1:48.746
3,3,max_verstappen,1:48.040
3,4,perez,1:48.644
3,5,gasly,1:49.207
3,6,sainz,1:49.300
3,7,alonso,1:48.760
3,8,tsunoda,1:48.534
3,9,vettel,1:49.020
3,10,bottas,1:49.315
3,11,norris,1:49.911
3,12,ricciardo,1:50.246
3,13,raikkonen,1:51.973
3,14,stroll,1:49.532
3,15,latifi,1:50.685
3,16,mick_schumacher,1:50.490
3,17,mazepin,1:51.220
3,18,ocon,2:10.806
3,19,giovinazzi,2:06.274
3,20,russell,1:50.787
4,1,hamilton,1:47.462
4,2,leclerc,1:47.600
4,3,max_verstappen,1:47.826
4,4,perez,1:47.842
4,5,gasly,1:47.938
4,6,sainz,1:48.563
4,7,alonso,1:48.662
4,8,tsunoda,1:48.998
4,9,vettel,1:48.427
4,10,bottas,1:49.208
4,11,norris,1:47.490
4,12,ricciardo,1:48.635
4,13,stroll,1:48.911
4,14,raikkonen,1:50.255
4,15,latifi,1:49.947
4,16,mick_schumacher,1:50.588
4,17,mazepin,1:49.955
4,18,giovinazzi,1:48.836
4,19,russell,1:49.894
5,1,hamilton,1:47.642
5,2,leclerc,1:47.260
5,3,max_verstappen,1:47.107
5,4,perez,1:47.157
5,5,gasly,1:47.643
5,6,sainz,1:47.796
5,7,alonso,1:48.448
5,8,tsunoda,1:48.142
5,9,vettel,1:48.787
5,10,bottas,1:48.222
5,11,norris,1:49.001
5,12,ricciardo,1:48.401
5,13,stroll,1:48.862
5,14,raikkonen,1:48.865
5,15,latifi,1:49.472
5,16,mick_schumacher,1:50.103
5,17,mazepin,1:49.871
5,18,giovinazzi,1:48.592
5,19,russell,1:49.098
6,1,hamilton,1:47.394
6,2,max_verstappen,1:47.548
6,3,leclerc,1:47.963
6,4,perez,1:47.513
6,5,gasly,1:47.915
6,6,sainz,1:47.894
6,7,alonso,1:48.932
6,8,tsunoda,1:48.695
6,9,vettel,1:48.717
6,10,bottas,1:48.335
6,11,norris,1:48.772
6,12,ricciardo,1:48.255
6,13,stroll,1:48.509
6,14,raikkonen,1:49.024
6,15,latifi,1:49.469
6,16,mick_schumacher,1:49.707
6,17,mazepin,1:50.279
6,18,giovinazzi,1:48.784
6,19,russell,1:49.339
7,1,hamilton,1:47.056
7,2,max_verstappen,1:47.218
7,3,perez,1:47.046
7,4,leclerc,1:48.611
7,5,gasly,1:47.705
7,6,sainz,1:48.084
7,7,tsunoda,1:48.910
7,8,vettel,1:48.430
7,9,bottas,1:48.877
7,10,ricciardo,1:48.938
7,11,alonso,1:54.515
7,12,norris,1:52.031
7,13,stroll,1:48.233
7,14,raikkonen,1:48.785
7,15,latifi,1:49.322
7,16,mick_schumacher,1:49.824
7,17,mazepin,1:50.664
7,18,giovinazzi,1:48.703
7,19,russell,1:49.446
8,1,hamilton,1:47.084
8,2,max_verstappen,1:47.149
8,3,perez,1:47.273
8,4,leclerc,1:48.721
8,5,gasly,1:47.396
8,6,sainz,1:47.762
8,7,tsunoda,1:48.338
8,8,vettel,1:48.189
8,9,bottas,1:48.418
8,10,ricciardo,1:48.211
8,11,stroll,1:48.315
8,12,raikkonen,1:48.567
8,13,latifi,1:49.254
8,14,alonso,2:05.508
8,15,mazepin,1:50.991
8,16,mick_schumacher,1:53.586
8,17,norris,2:04.045
8,18,giovinazzi,1:48.640
8,19,russell,1:48.919
9,1,hamilton,1:47.399
9,2,max_verstappen,1:47.125
9,3,perez,1:47.415
9,4,gasly,1:47.410
9,5,sainz,1:47.295
9,6,leclerc,1:51.823
9,7,vettel,1:49.127
9,8,bottas,1:48.134
9,9,tsunoda,1:51.376
9,10,ricciardo,1:48.407
9,11,stroll,1:48.007
9,12,raikkonen,1:48.499
9,13,latifi,1:54.357
9,14,alonso,1:48.046
9,15,norris,1:47.474
9,16,giovinazzi,1:48.238
9,17,mazepin,1:57.044
9,18,russell,1:48.821
9,19,mick_schumacher,2:08.615
10,1,hamilton,1:47.441
10,2,max_verstappen,1:47.295
10,3,perez,1:46.881
10,4,gasly,1:47.098
10,5,sainz,1:51.542
10,6,vettel,1:47.658
10,7,bottas,1:48.326
10,8,ricciardo,1:48.715
10,9,stroll,1:48.182
10,10,leclerc,2:03.438
10,11,raikkonen,1:49.285
10,12,tsunoda,2:05.319
10,13,norris,1:46.978
10,14,alonso,1:49.436
10,15,giovinazzi,1:48.307
10,16,russell,1:49.020
10,17,latifi,2:08.706
10,18,mick_schumacher,1:47.915
10,19,mazepin,2:10.548
11,1,max_verstappen,1:47.327
11,2,perez,1:47.497
11,3,hamilton,1:51.218
11,4,gasly,1:51.282
11,5,vettel,1:47.274
