position,number,driver,constructor,Q1,Q2,Q3
1,20,Kevin Magnussen,Haas F1 Team,1:13.954,1:11.410,1:11.674
2,1,Max Verstappen,Red Bull,1:13.625,1:10.881,1:11.877
3,63,George Russell,Mercedes,1:14.427,1:11.318,1:12.059
4,4,Lando Norris,McLaren,1:13.106,1:11.377,1:12.263
5,55,Carlos Sainz,Ferrari,1:14.680,1:10.890,1:12.357
6,31,Esteban Ocon,Alpine F1 Team,1:14.663,1:11.587,1:12.425
7,14,Fernando Alonso,Alpine F1 Team,1:13.542,1:11.394,1:12.504
8,44,Lewis Hamilton,Mercedes,1:13.403,1:11.539,1:12.611
9,11,Sergio Pérez,Red Bull,1:13.613,1:11.456,1:15.601
10,16,Charles Leclerc,Ferrari,1:14.486,1:10.950,
11,23,Alexander Albon,Williams,1:14.324,1:11.631,
12,10,Pierre Gasly,AlphaTauri,1:14.371,1:11.675,
13,5,Sebastian Vettel,Aston Martin,1:13.597,1:11.678,
14,3,Daniel Ricciardo,McLaren,1:14.931,1:12.140,
15,18,Lance Stroll,Aston Martin,1:14.398,1:12.210,
16,6,Nicholas Latifi,Williams,1:15.095,,
17,24,Guanyu Zhou,Alfa Romeo,1:15.197,,
18,77,Valtteri Bottas,Alfa Romeo,1:15.486,,
19,22,Yuki Tsunoda,AlphaTauri,1:16.264,,
20,47,Mick Schumacher,Haas F1 Team,1:16.361,,
