lap,position,driver,time
1,1,perez,1:35.991
1,2,leclerc,1:37.088
1,3,max_verstappen,1:38.082
1,4,sainz,1:38.635
1,5,ocon,1:39.900
1,6,russell,1:40.421
1,7,alonso,1:41.458
1,8,bottas,1:42.123
1,9,kevin_magnussen,1:42.705
1,10,gasly,1:43.106
1,11,norris,1:43.333
1,12,stroll,1:43.828
1,13,ricciardo,1:44.274
1,14,hamilton,1:44.788
1,15,albon,1:45.023
1,16,hulkenberg,1:45.803
1,17,latifi,1:46.377
1,18,zhou,1:46.520
2,1,perez,1:34.722
2,2,leclerc,1:34.943
2,3,max_verstappen,1:35.275
2,4,sainz,1:35.499
2,5,ocon,1:36.476
2,6,russell,1:36.466
2,7,alonso,1:37.232
2,8,bottas,1:37.201
2,9,kevin_magnussen,1:37.501
2,10,norris,1:38.030
2,11,gasly,1:38.899
2,12,stroll,1:38.731
2,13,ricciardo,1:38.749
2,14,hamilton,1:38.649
2,15,albon,1:39.129
2,16,hulkenberg,1:39.035
2,17,zhou,1:38.663
2,18,latifi,1:40.289
3,1,perez,1:34.596
3,2,leclerc,1:34.794
3,3,max_verstappen,1:34.890
3,4,sainz,1:35.460
3,5,russell,1:36.513
3,6,ocon,1:37.306
3,7,alonso,1:36.574
3,8,bottas,1:36.290
3,9,kevin_magnussen,1:36.830
3,10,norris,1:37.080
3,11,gasly,1:36.881
3,12,stroll,1:37.586
3,13,ricciardo,1:37.376
3,14,hamilton,1:37.618
3,15,albon,1:37.860
3,16,zhou,1:37.564
3,17,hulkenberg,1:38.064
3,18,latifi,1:38.121
4,1,perez,1:34.440
4,2,leclerc,1:34.651
4,3,max_verstappen,1:34.700
4,4,sainz,1:35.321
4,5,russell,1:36.341
4,6,ocon,1:37.375
4,7,alonso,1:36.113
4,8,bottas,1:36.674
4,9,kevin_magnussen,1:36.837
4,10,gasly,1:37.746
4,11,norris,1:38.326
4,12,stroll,1:37.575
4,13,ricciardo,1:37.675
4,14,hamilton,1:37.706
4,15,albon,1:38.264
4,16,zhou,1:37.639
4,17,hulkenberg,1:38.357
4,18,latifi,1:38.161
5,1,perez,1:34.496
5,2,leclerc,1:35.156
5,3,max_verstappen,1:34.809
5,4,sainz,1:35.124
5,5,russell,1:36.096
5,6,ocon,1:36.156
5,7,alonso,1:36.191
5,8,bottas,1:37.613
5,9,kevin_magnussen,1:36.968
