lap,position,driver,time
1,1,max_verstappen,1:31.585
1,2,norris,1:32.227
1,3,alonso,1:32.766
1,4,russell,1:33.241
1,5,albon,1:34.276
1,6,sainz,1:34.694
1,7,piastri,1:35.554
1,8,stroll,1:37.074
1,9,bottas,1:37.804
1,10,hulkenberg,1:38.096
1,11,hamilton,1:38.801
1,12,ocon,1:39.075
1,13,perez,1:39.743
1,14,sargeant,1:39.822
1,15,leclerc,1:42.801
1,16,gasly,1:43.893
1,17,zhou,1:45.469
1,18,tsunoda,1:46.869
1,19,lawson,1:50.452
1,20,kevin_magnussen,1:51.944
2,1,norris,1:47.848
2,2,russell,1:47.161
2,3,max_verstappen,1:49.972
2,4,albon,1:48.180
2,5,alonso,1:50.145
2,6,piastri,1:49.109
2,7,stroll,1:50.241
2,8,sainz,1:53.117
2,9,bottas,1:50.912
2,10,hulkenberg,1:51.204
2,11,perez,1:49.613
2,12,hamilton,1:54.350
2,13,sargeant,1:53.444
2,14,ocon,1:56.975
2,15,zhou,1:52.606
2,16,gasly,1:54.457
2,17,leclerc,1:58.969
2,18,tsunoda,1:58.845
2,19,kevin_magnussen,1:58.312
2,20,lawson,2:09.963
3,1,perez,1:27.522
3,2,russell,1:46.910
3,3,zhou,1:29.926
3,4,gasly,1:31.466
3,5,max_verstappen,1:48.658
3,6,leclerc,1:30.281
3,7,alonso,1:49.357
3,8,albon,1:50.236
3,9,piastri,1:49.476
3,10,norris,1:55.144
3,11,tsunoda,1:29.747
3,12,sainz,1:48.225
3,13,kevin_magnussen,1:28.198
3,14,stroll,1:52.030
3,15,bottas,1:52.324
3,16,hulkenberg,1:52.192
3,17,ocon,1:50.095
3,18,lawson,1:26.818
3,19,sargeant,1:56.188
3,20,hamilton,1:59.015
4,1,perez,1:24.342
4,2,zhou,1:25.286
4,3,gasly,1:25.008
4,4,max_verstappen,1:25.251
4,5,leclerc,1:25.852
4,6,alonso,1:26.225
4,7,sainz,1:25.734
4,8,tsunoda,1:29.073
4,9,kevin_magnussen,1:27.297
4,10,ocon,1:26.929
4,11,lawson,1:28.443
4,12,russell,1:49.781
4,13,albon,1:48.341
4,14,piastri,1:47.669
4,15,norris,1:47.537
4,16,bottas,1:48.246
4,17,hulkenberg,1:48.453
4,18,stroll,1:54.041
4,19,hamilton,1:43.298
4,20,sargeant,1:48.687
5,1,perez,1:24.100
5,2,zhou,1:23.977
5,3,gasly,1:23.834
5,4,max_verstappen,1:23.461
5,5,leclerc,1:24.975
5,6,alonso,1:24.932
5,7,sainz,1:23.956
5,8,tsunoda,1:24.820
5,9,kevin_magnussen,1:24.267
5,10,ocon,1:23.380
5,11,lawson,1:25.079
5,12,norris,1:23.686
5,13,hamilton,1:26.048
5,14,albon,1:41.277
5,15,piastri,1:40.899
5,16,russell,1:47.148
5,17,bottas,1:38.860
5,18,hulkenberg,1:39.606
5,19,stroll,1:43.905
5,20,sargeant,1:43.016
6,1,perez,1:24.392
6,2,zhou,1:23.522
6,3,max_verstappen,1:22.503
6,4,gasly,1:24.920
6,5,alonso,1:23.975
6,6,leclerc,1:25.657
6,7,sainz,1:24.297
6,8,tsunoda,1:24.838
6,9,kevin_magnussen,1:25.666
6,10,ocon,1:24.049
6,11,lawson,1:24.796
6,12,norris,1:22.403
6,13,hamilton,1:24.326
6,14,russell,1:24.370
6,15,albon,1:34.451
6,16,piastri,1:35.164
6,17,bottas,1:32.468
6,18,stroll,1:24.554
