lap,position,driver,time
1,1,sainz,1:27.117
1,2,max_verstappen,1:27.905
1,3,leclerc,1:28.755
1,4,russell,1:29.339
1,5,perez,1:29.806
1,6,piastri,1:30.315
1,7,albon,1:30.785
1,8,norris,1:31.513
1,9,hamilton,1:32.011
1,10,hulkenberg,1:32.720
1,11,alonso,1:33.340
1,12,lawson,1:33.893
1,13,sargeant,1:34.407
1,14,bottas,1:34.811
1,15,zhou,1:35.194
1,16,ocon,1:35.655
1,17,gasly,1:35.974
1,18,kevin_magnussen,1:36.466
1,19,stroll,1:36.787
2,1,sainz,1:26.006
2,2,max_verstappen,1:26.163
2,3,leclerc,1:26.312
2,4,russell,1:26.686
2,5,perez,1:26.881
2,6,albon,1:27.067
2,7,piastri,1:28.053
2,8,norris,1:27.575
2,9,hamilton,1:27.837
2,10,hulkenberg,1:27.920
2,11,alonso,1:28.012
2,12,lawson,1:28.018
2,13,sargeant,1:28.080
2,14,bottas,1:28.032
2,15,zhou,1:28.167
2,16,ocon,1:28.667
2,17,gasly,1:28.696
2,18,kevin_magnussen,1:28.923
2,19,stroll,1:28.953
3,1,sainz,1:25.976
3,2,max_verstappen,1:25.702
3,3,leclerc,1:25.719
3,4,russell,1:26.176
3,5,perez,1:26.143
3,6,albon,1:26.578
3,7,piastri,1:26.982
3,8,norris,1:27.105
3,9,hamilton,1:27.289
3,10,hulkenberg,1:27.360
3,11,alonso,1:27.546
3,12,lawson,1:27.657
3,13,sargeant,1:27.647
3,14,bottas,1:27.950
3,15,zhou,1:27.871
3,16,ocon,1:27.822
3,17,gasly,1:27.916
3,18,kevin_magnussen,1:28.538
3,19,stroll,1:28.614
4,1,sainz,1:26.067
4,2,max_verstappen,1:26.050
4,3,leclerc,1:26.025
4,4,russell,1:26.178
4,5,perez,1:26.019
4,6,albon,1:26.684
4,7,piastri,1:27.004
4,8,norris,1:27.069
4,9,hamilton,1:27.233
4,10,hulkenberg,1:27.200
4,11,alonso,1:27.221
4,12,lawson,1:27.130
4,13,sargeant,1:27.389
4,14,bottas,1:27.119
4,15,zhou,1:27.615
4,16,ocon,1:27.582
4,17,gasly,1:27.472
4,18,stroll,1:27.725
4,19,kevin_magnussen,1:29.252
5,1,sainz,1:26.423
5,2,max_verstappen,1:26.176
5,3,leclerc,1:26.266
5,4,russell,1:26.249
5,5,perez,1:26.354
5,6,albon,1:26.868
5,7,piastri,1:26.909
5,8,norris,1:27.142
5,9,hamilton,1:27.015
5,10,hulkenberg,1:27.035
5,11,alonso,1:27.033
5,12,lawson,1:27.205
5,13,sargeant,1:27.170
5,14,bottas,1:27.575
5,15,zhou,1:27.535
5,16,ocon,1:27.385
5,17,gasly,1:27.694
5,18,stroll,1:27.574
5,19,kevin_magnussen,1:28.276
6,1,sainz,1:26.615
6,2,max_verstappen,1:26.837
6,3,leclerc,1:26.483
6,4,russell,1:26.515
6,5,perez,1:26.465
6,6,albon,1:26.661
6,7,piastri,1:26.878
6,8,norris,1:26.796
6,9,hamilton,1:26.711
6,10,hulkenberg,1:27.169
6,11,alonso,1:27.175
6,12,lawson,1:27.263
