lap,position,driver,time
1,1,max_verstappen,1:48.811
1,2,piastri,1:51.659
1,3,alonso,1:53.076
1,4,leclerc,1:55.203
1,5,ocon,1:56.609
1,6,norris,1:58.297
1,7,gasly,1:59.728
1,8,tsunoda,2:00.627
1,9,bottas,2:01.644
1,10,hulkenberg,2:02.980
1,11,albon,2:04.413
1,12,sargeant,2:05.189
1,13,stroll,2:07.271
1,14,kevin_magnussen,2:08.724
1,15,lawson,2:10.307
1,16,zhou,2:11.955
1,17,perez,2:14.418
1,18,russell,2:16.894
2,1,max_verstappen,2:25.603
2,2,piastri,2:23.629
2,3,alonso,2:23.156
2,4,leclerc,2:22.066
2,5,ocon,2:21.537
2,6,norris,2:21.989
2,7,gasly,2:22.670
2,8,tsunoda,2:23.214
2,9,bottas,2:23.530
2,10,hulkenberg,2:24.208
2,11,albon,2:24.139
2,12,sargeant,2:24.779
2,13,stroll,2:24.388
2,14,kevin_magnussen,2:24.703
2,15,lawson,2:24.568
2,16,zhou,2:23.964
2,17,perez,2:22.978
2,18,russell,2:24.817
3,1,max_verstappen,2:25.963
3,2,piastri,2:25.896
3,3,alonso,2:26.267
3,4,leclerc,2:27.138
3,5,ocon,2:27.307
3,6,norris,2:26.755
3,7,gasly,2:26.279
3,8,tsunoda,2:26.588
3,9,hulkenberg,2:24.087
3,10,albon,2:23.550
3,11,sargeant,2:23.162
3,12,bottas,2:28.157
3,13,zhou,2:19.696
3,14,perez,2:19.667
3,15,kevin_magnussen,2:23.995
3,16,stroll,2:26.047
3,17,lawson,2:23.644
3,18,russell,2:17.163
4,1,max_verstappen,2:33.159
4,2,piastri,2:33.406
4,3,alonso,2:32.593
4,4,leclerc,2:31.175
4,5,ocon,2:30.509
4,6,norris,2:29.326
4,7,gasly,2:28.160
4,8,tsunoda,2:26.536
4,9,hulkenberg,2:26.222
4,10,albon,2:25.619
4,11,sargeant,2:25.067
4,12,zhou,2:23.012
4,13,perez,2:22.202
4,14,russell,2:20.576
4,15,bottas,2:26.382
4,16,kevin_magnussen,2:22.907
4,17,stroll,2:22.823
4,18,lawson,2:22.693
5,1,max_verstappen,1:30.273
5,2,piastri,1:30.471
5,3,alonso,1:30.881
5,4,leclerc,1:31.447
5,5,ocon,1:31.865
5,6,norris,1:32.229
5,7,gasly,1:32.599
5,8,tsunoda,1:33.077
5,9,hulkenberg,1:32.794
5,10,albon,1:33.057
5,11,sargeant,1:33.163
5,12,zhou,1:33.411
5,13,perez,1:33.391
5,14,russell,1:33.658
5,15,bottas,1:34.030
5,16,kevin_magnussen,1:33.919
5,17,stroll,1:34.323
5,18,lawson,1:34.626
6,1,max_verstappen,1:29.409
6,2,piastri,1:29.328
6,3,alonso,1:29.585
6,4,leclerc,1:29.949
6,5,ocon,1:30.547
6,6,norris,1:31.099
6,7,gasly,1:30.928
6,8,hulkenberg,1:31.008
6,9,tsunoda,1:32.306
6,10,albon,1:32.710
6,11,sargeant,1:32.728
6,12,zhou,1:32.609
6,13,russell,1:31.899
6,14,perez,1:33.150
6,15,bottas,1:32.573
6,16,kevin_magnussen,1:32.570
6,17,stroll,1:32.814
6,18,lawson,1:33.104
7,1,max_verstappen,1:29.083
7,2,piastri,1:29.556
7,3,alonso,1:30.540
7,4,leclerc,1:30.125
7,5,ocon,1:30.422
7,6,norris,1:30.384
7,7,gasly,1:30.594
7,8,hulkenberg,1:31.238
7,9,tsunoda,1:31.223
7,10,albon,1:30.726
7,11,sargeant,1:31.137
7,12,zhou,1:31.243
7,13,russell,1:31.415
7,14,perez,1:31.267
7,15,bottas,1:31.648
7,16,kevin_magnussen,1:32.376
7,17,stroll,1:32.026
7,18,lawson,1:32.180
8,1,max_verstappen,1:29.362
8,2,piastri,1:29.847
8,3,alonso,1:30.053
8,4,leclerc,1:30.037
8,5,ocon,1:30.304
