lap,position,driver,time
1,1,max_verstappen,1:25.653
1,2,leclerc,1:27.230
1,3,sainz,1:27.958
1,4,ricciardo,1:28.847
1,5,hamilton,1:29.425
1,6,piastri,1:30.740
1,7,russell,1:31.098
1,8,hulkenberg,1:31.561
1,9,gasly,1:31.942
1,10,zhou,1:32.482
1,11,albon,1:33.136
1,12,bottas,1:33.640
1,13,kevin_magnussen,1:34.366
1,14,alonso,1:34.720
1,15,tsunoda,1:35.096
1,16,norris,1:35.404
1,17,sargeant,1:35.924
1,18,ocon,1:36.270
1,19,stroll,1:36.812
1,20,perez,1:43.446
2,1,max_verstappen,1:23.859
2,2,leclerc,1:23.980
2,3,sainz,1:24.300
2,4,ricciardo,1:24.178
2,5,hamilton,1:24.314
2,6,piastri,1:24.416
2,7,russell,1:24.500
2,8,hulkenberg,1:25.057
2,9,gasly,1:25.443
2,10,zhou,1:25.512
2,11,albon,1:25.552
2,12,bottas,1:25.666
2,13,kevin_magnussen,1:25.699
2,14,tsunoda,1:25.411
2,15,alonso,1:26.688
2,16,norris,1:26.297
2,17,sargeant,1:26.470
2,18,ocon,1:26.563
2,19,stroll,1:26.402
3,1,max_verstappen,1:23.573
3,2,leclerc,1:23.957
3,3,sainz,1:24.153
3,4,ricciardo,1:24.166
3,5,hamilton,1:24.162
3,6,piastri,1:24.096
3,7,russell,1:24.270
3,8,hulkenberg,1:24.735
3,9,gasly,1:24.804
3,10,zhou,1:24.860
3,11,albon,1:24.801
3,12,bottas,1:25.036
3,13,kevin_magnussen,1:25.057
3,14,tsunoda,1:25.060
3,15,norris,1:24.635
3,16,alonso,1:25.829
3,17,sargeant,1:25.693
3,18,stroll,1:26.305
3,19,ocon,1:27.456
4,1,max_verstappen,1:23.708
4,2,leclerc,1:23.815
4,3,sainz,1:23.916
4,4,ricciardo,1:23.916
4,5,hamilton,1:23.887
4,6,piastri,1:23.649
4,7,russell,1:24.136
4,8,hulkenberg,1:24.337
4,9,gasly,1:24.249
4,10,zhou,1:24.161
4,11,albon,1:24.370
4,12,bottas,1:24.543
4,13,kevin_magnussen,1:24.395
4,14,tsunoda,1:24.905
4,15,norris,1:24.467
4,16,alonso,1:29.120
4,17,sargeant,1:29.415
4,18,stroll,1:30.303
4,19,ocon,1:30.735
5,1,max_verstappen,1:44.819
5,2,leclerc,1:44.739
5,3,sainz,1:44.772
5,4,ricciardo,1:44.973
5,5,hamilton,1:45.164
5,6,piastri,1:45.259
5,7,russell,1:45.102
5,8,hulkenberg,1:45.744
5,9,gasly,1:45.637
5,10,zhou,1:45.974
5,11,albon,1:45.821
5,12,bottas,1:46.058
5,13,kevin_magnussen,1:46.238
5,14,tsunoda,1:45.875
5,15,norris,1:46.139
5,16,alonso,1:41.773
5,17,sargeant,1:41.215
5,18,stroll,1:39.882
5,19,ocon,1:39.890
6,1,max_verstappen,1:23.339
6,2,leclerc,1:23.383
6,3,sainz,1:23.478
6,4,ricciardo,1:23.426
6,5,hamilton,1:23.300
6,6,piastri,1:23.407
6,7,russell,1:23.453
6,8,hulkenberg,1:23.756
6,9,gasly,1:23.989
6,10,zhou,1:24.088
6,11,albon,1:24.193
6,12,bottas,1:23.903
6,13,kevin_magnussen,1:24.040
6,14,tsunoda,1:24.030
6,15,norris,1:24.197
6,16,alonso,1:24.716
6,17,sargeant,1:24.692
6,18,stroll,1:24.583
6,19,ocon,1:24.322
7,1,max_verstappen,1:23.453
7,2,leclerc,1:23.489
7,3,sainz,1:23.669
7,4,ricciardo,1:23.817
7,5,hamilton,1:23.707
7,6,piastri,1:24.111
7,7,russell,1:24.207
7,8,hulkenberg,1:24.549
7,9,gasly,1:24.292
7,10,zhou,1:24.269
7,11,albon,1:24.402
7,12,bottas,1:24.343
7,13,kevin_magnussen,1:24.469
7,14,tsunoda,1:24.269
7,15,norris,1:24.270
7,16,sargeant,1:24.280
7,17,alonso,1:25.748
7,18,stroll,1:24.862
7,19,ocon,1:24.643
8,1,max_verstappen,1:23.357
8,2,leclerc,1:23.324
8,3,sainz,1:23.709
8,4,ricciardo,1:24.030
8,5,hamilton,1:24.296
8,6,piastri,1:23.998
8,7,russell,1:24.201
8,8,hulkenberg,1:24.923
8,9,gasly,1:24.829
8,10,zhou,1:24.652
8,11,albon,1:24.662
8,12,bottas,1:24.673
8,13,kevin_magnussen,1:24.904
8,14,tsunoda,1:25.565
8,15,norris,1:25.543
8,16,sargeant,1:25.087
8,17,alonso,1:25.068
8,18,stroll,1:25.079
8,19,ocon,1:25.088
9,1,max_verstappen,1:23.218
9,2,leclerc,1:23.673
9,3,sainz,1:23.807
9,4,ricciardo,1:23.938
9,5,hamilton,1:23.964
9,6,piastri,1:24.422
9,7,russell,1:24.100
9,8,hulkenberg,1:24.856
9,9,gasly,1:24.958
9,10,zhou,1:24.890
9,11,albon,1:24.906
9,12,bottas,1:24.825
9,13,kevin_magnussen,1:24.523
9,14,norris,1:25.601
9,15,sargeant,1:24.834
9,16,alonso,1:24.985
9,17,tsunoda,1:28.908
9,18,stroll,1:25.134
9,19,ocon,1:25.135
10,1,max_verstappen,1:23.276
10,2,leclerc,1:23.722
10,3,sainz,1:23.947
10,4,ricciardo,1:24.133
10,5,hamilton,1:23.785
10,6,piastri,1:24.181
10,7,russell,1:23.842
10,8,hulkenberg,1:24.772
10,9,gasly,1:24.880
10,10,zhou,1:25.091
10,11,albon,1:25.000
10,12,bottas,1:25.099
10,13,kevin_magnussen,1:24.965
10,14,norris,1:23.800
10,15,sargeant,1:24.508
10,16,alonso,1:24.759
10,17,stroll,1:24.877
10,18,ocon,1:24.888
10,19,tsunoda,1:49.360
11,1,max_verstappen,1:23.626
11,2,leclerc,1:23.868
11,3,sainz,1:23.864
11,4,hamilton,1:23.951
11,5,ricciardo,1:25.563
11,6,piastri,1:24.534
11,7,russell,1:24.641
11,8,hulkenberg,1:25.025
11,9,gasly,1:24.900
11,10,zhou,1:24.814
11,11,albon,1:24.924
11,12,bottas,1:24.831
11,13,kevin_magnussen,1:24.984
11,14,sargeant,1:24.710
11,15,norris,1:27.653
11,16,stroll,1:24.375
11,17,alonso,1:26.309
11,18,ocon,1:25.260
11,19,tsunoda,1:22.501
12,1,max_verstappen,1:23.644
12,2,leclerc,1:23.709
12,3,sainz,1:24.148
12,4,hamilton,1:23.632
12,5,ricciardo,1:24.129
12,6,piastri,1:24.123
12,7,russell,1:24.223
12,8,hulkenberg,1:25.040
12,9,gasly,1:25.189
12,10,zhou,1:25.070
12,11,albon,1:24.901
12,12,bottas,1:24.996
12,13,kevin_magnussen,1:25.139
12,14,sargeant,1:24.636
12,15,stroll,1:24.635
12,16,alonso,1:24.912
12,17,ocon,1:25.116
12,18,norris,1:43.864
12,19,tsunoda,1:23.000
13,1,max_verstappen,1:23.792
13,2,leclerc,1:24.090
13,3,sainz,1:24.277
13,4,hamilton,1:24.072
13,5,ricciardo,1:24.347
13,6,piastri,1:24.266
13,7,russell,1:24.512
13,8,hulkenberg,1:25.004
13,9,gasly,1:25.153
13,10,zhou,1:25.447
13,11,albon,1:25.442
13,12,bottas,1:25.444
13,13,kevin_magnussen,1:25.255
13,14,sargeant,1:25.043
13,15,stroll,1:24.984
13,16,alonso,1:25.464
13,17,ocon,1:25.395
13,18,norris,1:23.481
13,19,tsunoda,1:23.224
14,1,max_verstappen,1:23.695
14,2,leclerc,1:24.320
14,3,sainz,1:24.071
14,4,hamilton,1:23.839
14,5,ricciardo,1:24.028
14,6,piastri,1:24.140
14,7,russell,1:24.648
14,8,hulkenberg,1:25.263
14,9,gasly,1:25.003
14,10,zhou,1:25.602
14,11,albon,1:25.448
14,12,bottas,1:25.362
14,13,kevin_magnussen,1:25.200
14,14,sargeant,1:25.037
14,15,stroll,1:25.029
14,16,alonso,1:25.179
