Position,Driver,Constructor,Points,Wins
1,Max Verstappen,Red Bull,524,17
2,Sergio Pérez,Red Bull,258,2
3,Lewis Hamilton,Mercedes,226,0
4,Fernando Alonso,Aston Martin,198,0
5,Lando Norris,McLaren,195,0
6,Carlos Sainz,Ferrari,192,1
7,Charles Leclerc,Ferrari,170,0
8,George Russell,Mercedes,156,0
9,Oscar Piastri,McLaren,87,0
10,Lance Stroll,Aston Martin,63,0
11,Pierre Gasly,Alpine F1 Team,62,0
12,Esteban Ocon,Alpine F1 Team,46,0
13,Alexander Albon,Williams,27,0
14,Yuki Tsunoda,AlphaTauri,13,0
15,Valtteri Bottas,Alfa Romeo,10,0
16,Nico Hülkenberg,Haas F1 Team,9,0
17,Daniel Ricciardo,AlphaTauri,6,0
18,Guanyu Zhou,Alfa Romeo,6,0
19,Kevin Magnussen,Haas F1 Team,3,0
20,Liam Lawson,AlphaTauri,2,0
21,Logan Sargeant,Williams,1,0
22,Nyck de Vries,AlphaTauri,0,0
