lap,position,driver,time
1,1,max_verstappen,1:59.857
1,2,norris,2:01.881
1,3,hamilton,2:04.866
1,4,alonso,2:07.301
1,5,stroll,2:08.727
1,6,russell,2:11.238
1,7,perez,2:13.140
1,8,sainz,2:14.431
1,9,ocon,2:15.909
1,10,piastri,2:17.108
1,11,tsunoda,2:19.969
1,12,gasly,2:21.630
1,13,bottas,2:22.202
1,14,zhou,2:26.873
1,15,sargeant,2:27.935
1,16,ricciardo,2:29.416
1,17,hulkenberg,2:31.032
2,1,max_verstappen,2:23.356
2,2,norris,2:22.520
2,3,hamilton,2:21.894
2,4,alonso,2:21.143
2,5,stroll,2:22.163
2,6,russell,2:23.590
2,7,perez,2:24.049
2,8,sainz,2:24.671
2,9,ocon,2:24.717
2,10,tsunoda,2:24.126
2,11,gasly,2:24.561
2,12,bottas,2:26.231
2,13,zhou,2:24.885
2,14,sargeant,2:25.350
2,15,hulkenberg,2:26.238
2,16,piastri,28:04.821
2,17,ricciardo,27:59.112
3,1,max_verstappen,25:25.170
3,2,norris,25:26.443
3,3,hamilton,25:30.867
3,4,alonso,25:31.026
3,5,stroll,25:30.484
3,6,russell,25:32.979
3,7,perez,25:31.246
3,8,sainz,25:33.403
3,9,ocon,26:02.851
3,10,tsunoda,25:59.944
3,11,gasly,25:57.997
3,12,bottas,25:56.130
3,13,zhou,25:53.188
3,14,sargeant,25:51.944
3,15,hulkenberg,25:48.052
3,16,piastri,1:49.154
3,17,ricciardo,1:43.821
4,1,max_verstappen,2:12.670
4,2,norris,2:10.857
4,3,alonso,2:03.054
4,4,hamilton,2:05.489
4,5,russell,1:55.704
4,6,perez,1:55.677
4,7,stroll,2:03.170
4,8,sainz,1:52.248
4,9,gasly,1:20.965
4,10,ocon,1:22.275
4,11,tsunoda,1:21.840
4,12,hulkenberg,1:20.643
4,13,bottas,1:21.758
4,14,zhou,1:21.539
4,15,sargeant,1:21.801
4,16,piastri,1:17.084
4,17,ricciardo,1:16.780
5,1,max_verstappen,1:15.745
5,2,norris,1:16.231
5,3,alonso,1:16.483
5,4,hamilton,1:16.838
5,5,russell,1:16.921
5,6,perez,1:17.043
5,7,stroll,1:16.959
5,8,sainz,1:17.240
5,9,gasly,1:17.261
5,10,ocon,1:17.111
5,11,tsunoda,1:17.524
5,12,hulkenberg,1:18.040
5,13,bottas,1:17.774
5,14,zhou,1:18.239
5,15,sargeant,1:18.262
5,16,piastri,1:16.932
5,17,ricciardo,1:16.723
6,1,max_verstappen,1:15.547
6,2,norris,1:14.940
6,3,alonso,1:15.925
6,4,hamilton,1:16.481
6,5,russell,1:16.431
6,6,perez,1:16.294
6,7,stroll,1:16.443
6,8,sainz,1:16.543
6,9,gasly,1:16.677
6,10,ocon,1:16.927
6,11,tsunoda,1:16.953
6,12,hulkenberg,1:17.201
6,13,bottas,1:17.239
6,14,zhou,1:17.289
6,15,sargeant,1:17.247
6,16,piastri,1:16.738
6,17,ricciardo,1:16.401
7,1,max_verstappen,1:15.591
7,2,norris,1:15.428
7,3,alonso,1:15.972
7,4,hamilton,1:16.474
7,5,russell,1:16.483
7,6,perez,1:16.365
7,7,stroll,1:16.455
7,8,sainz,1:16.465
7,9,gasly,1:16.437
7,10,ocon,1:16.597
7,11,tsunoda,1:16.656
7,12,hulkenberg,1:16.791
7,13,bottas,1:17.161
7,14,zhou,1:17.106
7,15,sargeant,1:17.182
7,16,piastri,1:16.713
7,17,ricciardo,1:16.608
8,1,max_verstappen,1:15.864
8,2,norris,1:16.737
8,3,alonso,1:16.111
8,4,hamilton,1:16.570
8,5,russell,1:16.659
8,6,perez,1:16.762
8,7,stroll,1:16.467
8,8,sainz,1:16.539
8,9,gasly,1:16.558
8,10,ocon,1:16.626
8,11,tsunoda,1:16.679
8,12,hulkenberg,1:16.784
8,13,bottas,1:16.640
8,14,zhou,1:16.881
8,15,sargeant,1:16.798
8,16,piastri,1:16.641
8,17,ricciardo,1:16.491
9,1,max_verstappen,1:16.169
9,2,norris,1:16.576
9,3,alonso,1:16.277
9,4,hamilton,1:16.543
9,5,russell,1:16.663
9,6,perez,1:16.540
9,7,stroll,1:16.700
9,8,sainz,1:16.623
9,9,gasly,1:16.531
9,10,ocon,1:16.818
9,11,tsunoda,1:16.792
9,12,hulkenberg,1:16.675
9,13,bottas,1:16.902
9,14,zhou,1:16.977
9,15,sargeant,1:16.854
9,16,ricciardo,1:17.118
9,17,piastri,1:17.289
10,1,max_verstappen,1:15.989
10,2,norris,1:16.671
10,3,alonso,1:16.250
10,4,hamilton,1:16.739
10,5,russell,1:16.721
10,6,perez,1:16.541
10,7,stroll,1:16.915
10,8,sainz,1:16.844
10,9,gasly,1:16.971
10,10,ocon,1:17.076
10,11,tsunoda,1:17.038
10,12,bottas,1:16.759
10,13,hulkenberg,1:17.366
10,14,zhou,1:16.752
10,15,sargeant,1:16.934
10,16,ricciardo,1:16.836
10,17,piastri,1:18.311
11,1,max_verstappen,1:16.272
11,2,norris,1:16.043
11,3,alonso,1:16.412
11,4,hamilton,1:16.599
11,5,russell,1:16.933
11,6,perez,1:17.152
11,7,stroll,1:16.932
11,8,sainz,1:16.897
11,9,gasly,1:16.882
11,10,ocon,1:17.131
11,11,tsunoda,1:16.956
11,12,bottas,1:17.131
11,13,hulkenberg,1:17.757
11,14,zhou,1:17.043
11,15,sargeant,1:17.295
11,16,ricciardo,1:16.864
11,17,piastri,1:17.211
12,1,max_verstappen,1:15.879
12,2,norris,1:16.015
12,3,alonso,1:16.484
12,4,hamilton,1:16.951
12,5,russell,1:16.977
12,6,perez,1:16.878
12,7,stroll,1:17.048
12,8,sainz,1:17.190
12,9,gasly,1:17.203
12,10,ocon,1:17.312
12,11,tsunoda,1:17.146
12,12,bottas,1:16.837
12,13,hulkenberg,1:17.567
12,14,zhou,1:17.567
12,15,sargeant,1:17.660
12,16,ricciardo,1:17.500
12,17,piastri,1:17.478
13,1,max_verstappen,1:16.299
13,2,norris,1:16.365
13,3,alonso,1:16.336
13,4,hamilton,1:16.996
13,5,russell,1:17.056
13,6,perez,1:16.966
13,7,stroll,1:17.079
13,8,sainz,1:16.895
13,9,gasly,1:17.076
13,10,tsunoda,1:17.042
13,11,ocon,1:18.248
13,12,bottas,1:17.559
13,13,zhou,1:17.642
13,14,sargeant,1:17.921
13,15,hulkenberg,1:19.149
13,16,ricciardo,1:18.340
