lap,position,driver,time
1,1,max_verstappen,1:45.670
1,2,leclerc,1:47.347
1,3,russell,1:48.990
1,4,gasly,1:50.543
1,5,albon,1:52.364
1,6,sargeant,1:55.541
1,7,kevin_magnussen,1:56.721
1,8,ocon,1:58.932
1,9,stroll,1:59.754
1,10,hulkenberg,2:02.459
1,11,perez,2:04.700
1,12,tsunoda,2:05.227
1,13,piastri,2:06.811
1,14,norris,2:10.362
1,15,hamilton,2:14.661
1,16,ricciardo,2:16.633
1,17,zhou,2:18.054
1,18,sainz,2:20.523
1,19,alonso,2:24.948
1,20,bottas,2:28.494
2,1,max_verstappen,2:13.011
2,2,leclerc,2:12.973
2,3,russell,2:12.282
2,4,gasly,2:11.689
2,5,albon,2:10.827
2,6,sargeant,2:08.217
2,7,kevin_magnussen,2:08.237
2,8,ocon,2:06.961
2,9,stroll,2:07.021
2,10,hulkenberg,2:04.852
2,11,tsunoda,2:02.828
2,12,piastri,2:01.844
2,13,norris,1:59.327
2,14,hamilton,1:56.372
2,15,ricciardo,1:56.345
2,16,zhou,1:56.106
2,17,sainz,1:53.950
2,18,perez,2:25.089
2,19,alonso,2:16.058
2,20,bottas,2:27.981
3,1,max_verstappen,1:49.988
3,2,leclerc,1:49.263
3,3,russell,1:49.742
3,4,gasly,1:50.381
3,5,albon,1:50.764
3,6,sargeant,1:52.771
3,7,ocon,1:52.693
3,8,kevin_magnussen,1:55.236
3,9,hulkenberg,1:55.664
3,10,stroll,1:57.862
3,11,tsunoda,1:58.278
3,12,piastri,1:58.487
3,13,hamilton,1:57.474
3,14,ricciardo,1:58.551
3,15,zhou,1:59.075
3,16,sainz,2:03.387
3,17,perez,1:59.273
3,18,alonso,2:00.953
3,19,bottas,2:08.339
4,1,max_verstappen,3:05.831
4,2,leclerc,3:06.061
4,3,russell,3:05.324
4,4,gasly,3:04.755
4,5,albon,3:04.680
4,6,sargeant,3:03.454
4,7,ocon,3:02.727
4,8,kevin_magnussen,3:02.660
4,9,hulkenberg,3:00.727
4,10,tsunoda,2:58.606
4,11,piastri,2:59.293
4,12,hamilton,2:58.961
4,13,ricciardo,2:57.177
4,14,zhou,2:57.289
4,15,stroll,3:07.579
4,16,perez,2:45.405
4,17,sainz,2:58.000
4,18,alonso,2:35.867
4,19,bottas,2:17.003
5,1,max_verstappen,2:47.558
5,2,leclerc,2:47.522
5,3,russell,2:47.906
5,4,gasly,2:48.466
5,5,albon,2:48.292
5,6,sargeant,2:47.955
5,7,ocon,2:47.840
5,8,kevin_magnussen,2:48.283
5,9,hulkenberg,2:48.289
5,10,tsunoda,2:48.309
5,11,piastri,2:47.885
5,12,hamilton,2:49.684
5,13,ricciardo,2:49.963
5,14,zhou,2:50.387
5,15,stroll,2:50.466
5,16,perez,2:50.935
5,17,sainz,2:50.374
5,18,alonso,2:50.264
5,19,bottas,2:48.735
6,1,max_verstappen,2:41.514
6,2,leclerc,2:41.519
6,3,russell,2:40.954
6,4,gasly,2:39.875
6,5,albon,2:39.222
6,6,sargeant,2:38.847
6,7,kevin_magnussen,2:36.267
6,8,ocon,2:38.685
6,9,hulkenberg,2:36.499
6,10,tsunoda,2:35.813
6,11,piastri,2:34.859
6,12,hamilton,2:32.514
6,13,ricciardo,2:32.108
6,14,zhou,2:30.215
6,15,stroll,2:29.373
6,16,perez,2:27.131
6,17,sainz,2:26.652
6,18,alonso,2:24.971
6,19,bottas,2:23.855
7,1,max_verstappen,1:40.785
7,2,leclerc,1:41.488
7,3,russell,1:42.057
7,4,gasly,1:42.346
7,5,albon,1:42.484
7,6,sargeant,1:42.737
7,7,kevin_magnussen,1:43.315
7,8,ocon,1:43.395
7,9,hulkenberg,1:43.232
7,10,piastri,1:42.831
7,11,tsunoda,1:43.863
7,12,hamilton,1:43.391
7,13,zhou,1:43.063
7,14,ricciardo,1:44.744
7,15,stroll,1:43.790
7,16,perez,1:44.233
7,17,alonso,1:44.117
7,18,sainz,1:44.550
7,19,bottas,1:44.451
8,1,max_verstappen,1:40.142
8,2,leclerc,1:40.393
8,3,russell,1:40.687
8,4,gasly,1:40.560
8,5,albon,1:40.682
8,6,sargeant,1:40.817
8,7,kevin_magnussen,1:41.379
8,8,ocon,1:41.013
8,9,piastri,1:40.924
8,10,hulkenberg,1:42.010
8,11,hamilton,1:41.204
8,12,tsunoda,1:42.303
8,13,zhou,1:41.996
