lap,position,driver,time
1,1,perez,1:36.191
1,2,alonso,1:37.248
1,3,sainz,1:38.078
1,4,gasly,1:38.764
1,5,russell,1:39.467
1,6,leclerc,1:40.402
1,7,kevin_magnussen,1:40.860
1,8,bottas,1:41.314
1,9,max_verstappen,1:41.724
1,10,ocon,1:42.184
1,11,hulkenberg,1:42.723
1,12,albon,1:43.346
1,13,hamilton,1:44.363
1,14,piastri,1:44.758
1,15,tsunoda,1:45.736
1,16,zhou,1:45.906
1,17,stroll,1:46.289
1,18,sargeant,1:46.841
1,19,norris,1:47.753
1,20,de_vries,1:48.179
2,1,perez,1:33.963
2,2,alonso,1:34.175
2,3,sainz,1:34.215
2,4,gasly,1:34.166
2,5,russell,1:34.155
2,6,leclerc,1:34.620
2,7,kevin_magnussen,1:34.557
2,8,max_verstappen,1:34.260
2,9,bottas,1:35.623
2,10,ocon,1:35.207
2,11,hulkenberg,1:35.313
2,12,albon,1:35.177
2,13,hamilton,1:34.915
2,14,piastri,1:35.574
2,15,tsunoda,1:35.313
2,16,zhou,1:35.597
2,17,stroll,1:35.750
2,18,norris,1:35.682
2,19,de_vries,1:35.729
2,20,sargeant,1:41.093
3,1,perez,1:33.516
3,2,alonso,1:33.258
3,3,sainz,1:33.482
3,4,gasly,1:33.530
3,5,russell,1:33.695
3,6,leclerc,1:34.906
3,7,kevin_magnussen,1:34.580
3,8,max_verstappen,1:34.127
3,9,bottas,1:33.933
3,10,ocon,1:33.948
3,11,hulkenberg,1:33.858
3,12,albon,1:34.158
3,13,hamilton,1:34.057
3,14,piastri,1:33.952
3,15,tsunoda,1:34.278
3,16,zhou,1:34.369
3,17,stroll,1:34.327
3,18,norris,1:33.869
3,19,de_vries,1:34.670
3,20,sargeant,2:15.625
4,1,perez,1:33.079
4,2,alonso,1:33.472
4,3,sainz,1:33.567
4,4,gasly,1:33.531
4,5,russell,1:33.640
4,6,max_verstappen,1:32.935
4,7,kevin_magnussen,1:34.079
4,8,leclerc,1:34.830
4,9,bottas,1:34.493
4,10,ocon,1:34.344
4,11,hulkenberg,1:34.463
4,12,albon,1:34.269
4,13,hamilton,1:34.115
4,14,piastri,1:33.959
4,15,tsunoda,1:33.804
4,16,zhou,1:33.834
4,17,stroll,1:33.947
4,18,de_vries,1:34.126
4,19,norris,1:38.826
4,20,sargeant,1:33.587
5,1,perez,1:33.258
5,2,alonso,1:33.756
5,3,sainz,1:33.249
5,4,gasly,1:33.372
5,5,russell,1:33.748
5,6,max_verstappen,1:32.875
5,7,kevin_magnussen,1:33.281
5,8,leclerc,1:33.426
5,9,ocon,1:33.355
5,10,bottas,1:34.177
5,11,hulkenberg,1:33.708
5,12,albon,1:33.842
5,13,hamilton,1:33.803
5,14,tsunoda,1:33.698
5,15,zhou,1:33.613
5,16,stroll,1:33.637
5,17,de_vries,1:34.314
5,18,piastri,1:38.967
5,19,norris,1:50.478
