lap,position,driver,time
1,1,max_verstappen,1:41.528
1,2,alonso,1:43.173
1,3,perez,1:43.970
1,4,norris,1:44.524
1,5,piastri,1:45.121
1,6,russell,1:45.746
1,7,leclerc,1:46.488
1,8,hulkenberg,1:47.041
1,9,sainz,1:47.147
1,10,stroll,1:47.730
1,11,bottas,1:48.149
1,12,ocon,1:48.897
1,13,albon,1:49.364
1,14,gasly,1:49.907
1,15,ricciardo,1:50.255
1,16,tsunoda,1:50.625
1,17,zhou,1:50.671
1,18,kevin_magnussen,1:51.086
1,19,hamilton,1:51.502
1,20,sargeant,1:52.130
2,1,max_verstappen,1:40.103
2,2,alonso,1:41.128
2,3,perez,1:40.881
2,4,norris,1:41.267
2,5,piastri,1:41.607
2,6,russell,1:41.696
2,7,leclerc,1:41.812
2,8,sainz,1:42.115
2,9,stroll,1:42.326
2,10,hulkenberg,1:43.687
2,11,bottas,1:43.041
2,12,ocon,1:43.022
2,13,albon,1:43.157
2,14,gasly,1:43.179
2,15,ricciardo,1:43.470
2,16,tsunoda,1:43.674
2,17,kevin_magnussen,1:43.907
2,18,zhou,1:44.398
2,19,hamilton,1:44.135
2,20,sargeant,1:44.088
3,1,max_verstappen,1:40.494
3,2,alonso,1:40.988
3,3,perez,1:40.973
3,4,norris,1:41.282
3,5,piastri,1:41.754
3,6,russell,1:41.771
3,7,leclerc,1:42.090
3,8,sainz,1:41.979
3,9,stroll,1:42.305
3,10,hulkenberg,1:42.347
3,11,bottas,1:42.548
3,12,ocon,1:42.807
3,13,albon,1:43.014
3,14,gasly,1:43.012
3,15,ricciardo,1:43.073
3,16,tsunoda,1:43.136
3,17,kevin_magnussen,1:43.179
3,18,hamilton,1:42.906
3,19,zhou,1:43.991
3,20,sargeant,1:43.644
4,1,max_verstappen,1:40.573
4,2,alonso,1:41.579
4,3,perez,1:41.604
4,4,norris,1:41.929
4,5,piastri,1:42.247
4,6,russell,1:42.413
4,7,leclerc,1:42.220
4,8,sainz,1:42.145
4,9,stroll,1:42.556
4,10,hulkenberg,1:42.824
4,11,bottas,1:43.032
4,12,ocon,1:43.002
4,13,albon,1:42.975
4,14,gasly,1:42.847
4,15,ricciardo,1:42.976
4,16,tsunoda,1:43.095
4,17,hamilton,1:43.013
4,18,kevin_magnussen,1:44.116
4,19,zhou,1:43.484
4,20,sargeant,1:44.226
5,1,max_verstappen,1:40.919
5,2,perez,1:41.625
5,3,alonso,1:43.060
5,4,norris,1:41.940
5,5,piastri,1:42.227
5,6,russell,1:42.185
5,7,leclerc,1:42.095
5,8,sainz,1:42.210
5,9,stroll,1:42.984
5,10,hulkenberg,1:43.331
5,11,bottas,1:43.192
5,12,ocon,1:43.105
5,13,albon,1:43.392
5,14,gasly,1:43.552
5,15,ricciardo,1:43.449
5,16,tsunoda,1:43.657
5,17,hamilton,1:43.499
5,18,kevin_magnussen,1:43.797
5,19,zhou,1:44.018
5,20,sargeant,1:43.516
6,1,max_verstappen,1:41.147
6,2,perez,1:41.656
6,3,alonso,1:42.363
6,4,norris,1:42.009
6,5,piastri,1:42.608
6,6,russell,1:42.597
6,7,leclerc,1:42.322
6,8,sainz,1:42.409
6,9,stroll,1:43.277
6,10,hulkenberg,1:43.384
6,11,bottas,1:43.151
6,12,ocon,1:43.212
6,13,albon,1:43.353
6,14,gasly,1:43.494
6,15,ricciardo,1:43.613
6,16,tsunoda,1:43.669
6,17,hamilton,1:43.467
6,18,kevin_magnussen,1:43.899
6,19,zhou,1:44.212
6,20,sargeant,1:43.726
7,1,max_verstappen,1:41.118
7,2,perez,1:41.583
7,3,norris,1:42.403
7,4,alonso,1:43.817
7,5,piastri,1:42.376
7,6,russell,1:42.589
7,7,leclerc,1:42.417
7,8,sainz,1:42.783
7,9,stroll,1:43.261
7,10,bottas,1:42.959
7,11,hulkenberg,1:44.061
7,12,ocon,1:43.549
7,13,albon,1:43.361
7,14,gasly,1:43.352
7,15,ricciardo,1:43.798
7,16,tsunoda,1:43.951
7,17,hamilton,1:44.056
7,18,kevin_magnussen,1:43.930
7,19,zhou,1:44.073
7,20,sargeant,1:44.084
8,1,max_verstappen,1:41.110
8,2,perez,1:41.713
8,3,norris,1:41.756
8,4,alonso,1:43.132
8,5,piastri,1:42.627
8,6,russell,1:43.114
8,7,leclerc,1:42.969
8,8,sainz,1:42.951
8,9,stroll,1:43.068
8,10,bottas,1:43.450
8,11,ocon,1:44.045
8,12,albon,1:43.991
8,13,gasly,1:43.871
8,14,ricciardo,1:43.843
8,15,hulkenberg,1:49.064
8,16,hamilton,1:43.769
8,17,kevin_magnussen,1:44.239
8,18,sargeant,1:44.213
8,19,tsunoda,1:48.430
8,20,zhou,1:49.478
9,1,max_verstappen,1:41.155
9,2,perez,1:41.768
9,3,norris,1:41.688
9,4,alonso,1:42.946
9,5,piastri,1:42.976
9,6,leclerc,1:42.189
9,7,russell,1:43.985
9,8,sainz,1:42.800
9,9,stroll,1:47.714
9,10,gasly,1:43.691
9,11,bottas,1:47.977
9,12,ricciardo,1:43.605
9,13,ocon,1:48.290
9,14,albon,1:48.371
9,15,kevin_magnussen,1:43.461
9,16,sargeant,1:43.236
9,17,hamilton,1:47.942
9,18,hulkenberg,1:59.939
9,19,tsunoda,1:59.845
9,20,zhou,2:01.214
10,1,max_verstappen,1:41.424
10,2,perez,1:41.840
10,3,norris,1:41.695
10,4,alonso,1:43.083
10,5,piastri,1:42.658
10,6,leclerc,1:42.324
10,7,russell,1:43.227
10,8,sainz,1:43.238
10,9,gasly,1:43.435
10,10,ricciardo,1:43.309
10,11,kevin_magnussen,1:43.280
10,12,sargeant,1:43.684
10,13,stroll,1:59.726
10,14,hulkenberg,1:41.429
10,15,bottas,2:01.016
10,16,ocon,2:00.652
10,17,tsunoda,1:42.171
10,18,albon,2:01.494
10,19,hamilton,1:58.909
10,20,zhou,1:41.765
11,1,max_verstappen,1:41.401
11,2,perez,1:41.767
11,3,norris,1:41.828
11,4,leclerc,1:42.128
11,5,piastri,1:43.456
11,6,sainz,1:43.299
11,7,alonso,1:48.048
11,8,russell,1:48.016
11,9,ricciardo,1:43.487
11,10,kevin_magnussen,1:43.549
11,11,gasly,1:48.722
11,12,sargeant,1:43.575
11,13,stroll,1:41.281
11,14,hulkenberg,1:41.420
11,15,bottas,1:41.276
11,16,ocon,1:41.472
11,17,tsunoda,1:41.593
11,18,hamilton,1:41.409
