lap,position,driver,time
1,1,max_verstappen,1:22.881
1,2,norris,1:23.764
1,3,leclerc,1:24.580
1,4,sainz,1:25.149
1,5,piastri,1:25.726
1,6,russell,1:26.498
1,7,hamilton,1:27.111
1,8,hulkenberg,1:27.748
1,9,tsunoda,1:28.256
1,10,perez,1:28.775
1,11,ricciardo,1:29.351
1,12,ocon,1:29.949
1,13,stroll,1:30.475
1,14,albon,1:31.012
1,15,gasly,1:31.369
1,16,kevin_magnussen,1:31.891
1,17,bottas,1:32.273
1,18,zhou,1:32.781
1,19,sargeant,1:33.076
1,20,alonso,1:33.648
2,1,max_verstappen,1:20.596
2,2,norris,1:20.673
2,3,leclerc,1:20.926
2,4,sainz,1:21.102
2,5,piastri,1:21.311
2,6,russell,1:21.562
2,7,hamilton,1:21.841
2,8,hulkenberg,1:22.111
2,9,tsunoda,1:22.366
2,10,perez,1:22.599
2,11,ricciardo,1:22.795
2,12,ocon,1:22.923
2,13,stroll,1:23.115
2,14,albon,1:23.115
2,15,gasly,1:23.214
2,16,kevin_magnussen,1:23.313
2,17,bottas,1:23.624
2,18,zhou,1:23.939
2,19,sargeant,1:24.242
2,20,alonso,1:24.186
3,1,max_verstappen,1:20.872
3,2,norris,1:20.884
3,3,leclerc,1:20.931
3,4,sainz,1:20.966
3,5,piastri,1:20.808
3,6,russell,1:21.135
3,7,hamilton,1:21.222
3,8,hulkenberg,1:21.700
3,9,tsunoda,1:21.758
3,10,perez,1:21.913
3,11,ricciardo,1:22.083
3,12,ocon,1:22.290
3,13,stroll,1:22.356
3,14,albon,1:22.652
3,15,gasly,1:22.752
3,16,kevin_magnussen,1:22.737
3,17,bottas,1:22.762
3,18,zhou,1:22.718
3,19,sargeant,1:22.784
3,20,alonso,1:23.009
4,1,max_verstappen,1:20.671
4,2,norris,1:21.205
4,3,leclerc,1:21.279
4,4,sainz,1:21.341
4,5,piastri,1:21.377
4,6,russell,1:21.628
4,7,hamilton,1:21.715
4,8,hulkenberg,1:22.157
4,9,tsunoda,1:22.070
4,10,perez,1:22.182
4,11,ricciardo,1:22.227
4,12,ocon,1:22.229
4,13,stroll,1:22.349
4,14,albon,1:22.578
4,15,gasly,1:22.706
4,16,kevin_magnussen,1:22.517
4,17,bottas,1:22.786
4,18,zhou,1:23.046
4,19,sargeant,1:22.990
4,20,alonso,1:23.071
5,1,max_verstappen,1:20.734
5,2,norris,1:21.046
5,3,leclerc,1:21.122
5,4,sainz,1:21.276
5,5,piastri,1:21.269
5,6,russell,1:21.475
5,7,hamilton,1:21.544
5,8,hulkenberg,1:22.184
5,9,tsunoda,1:22.167
5,10,perez,1:22.153
5,11,ricciardo,1:22.211
5,12,ocon,1:22.267
5,13,stroll,1:22.252
5,14,albon,1:22.357
5,15,gasly,1:22.483
5,16,kevin_magnussen,1:22.682
5,17,bottas,1:22.794
5,18,zhou,1:22.565
5,19,sargeant,1:22.702
5,20,alonso,1:22.698
6,1,max_verstappen,1:20.868
6,2,norris,1:20.909
6,3,leclerc,1:21.043
6,4,sainz,1:21.160
6,5,piastri,1:21.307
6,6,russell,1:21.492
6,7,hamilton,1:21.569
6,8,hulkenberg,1:22.361
6,9,tsunoda,1:22.240
6,10,perez,1:22.200
6,11,ricciardo,1:22.412
6,12,ocon,1:22.436
6,13,stroll,1:22.339
6,14,albon,1:22.472
6,15,gasly,1:22.399
6,16,kevin_magnussen,1:22.237
6,17,bottas,1:22.415
6,18,zhou,1:22.647
6,19,sargeant,1:22.755
6,20,alonso,1:22.762
7,1,max_verstappen,1:20.868
7,2,norris,1:20.923
7,3,leclerc,1:21.025
7,4,sainz,1:21.236
7,5,piastri,1:21.080
7,6,russell,1:21.267
7,7,hamilton,1:21.446
7,8,hulkenberg,1:22.360
7,9,tsunoda,1:22.672
7,10,perez,1:22.641
7,11,ricciardo,1:22.428
7,12,ocon,1:22.562
7,13,stroll,1:22.535
7,14,albon,1:22.495
7,15,gasly,1:22.439
7,16,kevin_magnussen,1:22.520
7,17,bottas,1:22.568
7,18,zhou,1:22.971
7,19,sargeant,1:22.978
7,20,alonso,1:27.448
8,1,max_verstappen,1:20.762
8,2,norris,1:20.997
8,3,leclerc,1:21.116
8,4,sainz,1:21.431
8,5,piastri,1:21.523
8,6,russell,1:21.375
8,7,hamilton,1:21.593
8,8,hulkenberg,1:22.148
8,9,tsunoda,1:22.138
8,10,perez,1:22.338
8,11,ricciardo,1:22.374
8,12,ocon,1:22.424
8,13,stroll,1:22.392
8,14,kevin_magnussen,1:22.411
8,15,albon,1:26.643
8,16,zhou,1:22.798
8,17,sargeant,1:22.776
8,18,gasly,1:26.945
8,19,bottas,1:27.265
8,20,alonso,1:45.880
9,1,max_verstappen,1:20.543
9,2,norris,1:21.052
9,3,leclerc,1:21.215
9,4,sainz,1:21.493
9,5,piastri,1:21.508
9,6,russell,1:21.591
9,7,hamilton,1:21.510
9,8,hulkenberg,1:22.175
9,9,tsunoda,1:22.216
9,10,perez,1:22.591
9,11,ricciardo,1:22.453
9,12,ocon,1:22.715
9,13,stroll,1:22.569
9,14,kevin_magnussen,1:22.320
9,15,zhou,1:23.153
9,16,sargeant,1:23.268
9,17,gasly,1:45.303
9,18,bottas,1:45.836
9,19,alonso,1:21.716
9,20,albon,2:43.048
10,1,max_verstappen,1:21.093
10,2,norris,1:21.272
10,3,leclerc,1:21.387
10,4,sainz,1:21.586
10,5,piastri,1:21.586
10,6,russell,1:21.596
10,7,hamilton,1:21.544
10,8,hulkenberg,1:22.538
10,9,tsunoda,1:22.513
10,10,perez,1:22.545
10,11,ricciardo,1:22.494
10,12,stroll,1:22.233
10,13,ocon,1:23.802
10,14,kevin_magnussen,1:23.013
10,15,zhou,1:23.131
10,16,sargeant,1:23.239
10,17,gasly,1:21.371
10,18,bottas,1:21.529
10,19,alonso,1:21.492
10,20,albon,1:53.376
11,1,max_verstappen,1:20.885
11,2,norris,1:21.201
11,3,leclerc,1:21.147
11,4,sainz,1:21.316
11,5,piastri,1:21.191
11,6,russell,1:21.466
11,7,hamilton,1:21.472
11,8,hulkenberg,1:22.516
11,9,tsunoda,1:22.447
11,10,perez,1:22.128
11,11,stroll,1:22.367
11,12,ocon,1:22.745
11,13,ricciardo,1:27.088
11,14,kevin_magnussen,1:22.858
11,15,zhou,1:22.874
11,16,sargeant,1:23.211
11,17,gasly,1:21.502
11,18,bottas,1:21.455
11,19,alonso,1:21.680
11,20,albon,1:21.718
12,1,max_verstappen,1:21.287
12,2,norris,1:21.438
12,3,leclerc,1:21.349
12,4,sainz,1:21.900
12,5,piastri,1:22.110
12,6,russell,1:21.820
12,7,hamilton,1:21.756
12,8,hulkenberg,1:22.571
12,9,perez,1:22.447
12,10,stroll,1:22.415
12,11,tsunoda,1:26.755
12,12,ocon,1:23.042
12,13,kevin_magnussen,1:22.927
12,14,zhou,1:23.192
12,15,sargeant,1:23.349
12,16,ricciardo,1:44.778
12,17,gasly,1:21.906
12,18,bottas,1:21.971
12,19,alonso,1:21.728
12,20,albon,1:21.558
13,1,max_verstappen,1:21.073
13,2,norris,1:21.735
13,3,leclerc,1:21.442
13,4,sainz,1:21.747
13,5,piastri,1:21.888
13,6,russell,1:21.867
13,7,hamilton,1:21.767
13,8,perez,1:22.359
13,9,hulkenberg,1:26.982
13,10,stroll,1:22.577
13,11,ocon,1:22.907
13,12,kevin_magnussen,1:22.955
13,13,zhou,1:23.067
13,14,sargeant,1:23.581
13,15,tsunoda,1:43.607
13,16,ricciardo,1:21.569
13,17,gasly,1:22.007
13,18,bottas,1:21.605
13,19,alonso,1:21.644
13,20,albon,1:21.491
14,1,max_verstappen,1:20.982
14,2,norris,1:21.716
14,3,leclerc,1:21.661
14,4,sainz,1:21.638
14,5,piastri,1:21.653
14,6,russell,1:21.818
14,7,hamilton,1:22.080
14,8,perez,1:21.828
14,9,stroll,1:22.459
14,10,ocon,1:22.861
14,11,kevin_magnussen,1:23.090
14,12,zhou,1:22.802
14,13,sargeant,1:23.012
14,14,tsunoda,1:20.936
14,15,hulkenberg,1:44.353
14,16,ricciardo,1:22.254
14,17,gasly,1:21.839
14,18,bottas,1:21.732
14,19,alonso,1:21.690
14,20,albon,1:21.839
15,1,max_verstappen,1:21.323
15,2,norris,1:21.666
15,3,leclerc,1:21.464
15,4,sainz,1:21.610
15,5,piastri,1:21.679
15,6,russell,1:21.844
15,7,hamilton,1:21.729
15,8,perez,1:21.682
15,9,stroll,1:22.342
15,10,ocon,1:23.006
15,11,kevin_magnussen,1:23.215
15,12,zhou,1:22.832
15,13,sargeant,1:23.038
15,14,tsunoda,1:21.761
15,15,hulkenberg,1:21.918
15,16,ricciardo,1:22.005
15,17,gasly,1:21.955
15,18,bottas,1:21.982
15,19,alonso,1:21.930
15,20,albon,1:21.773
16,1,max_verstappen,1:21.362
16,2,norris,1:21.523
16,3,leclerc,1:21.964
16,4,sainz,1:21.671
16,5,piastri,1:21.734
16,6,russell,1:21.767
16,7,hamilton,1:22.199
16,8,perez,1:21.837
16,9,stroll,1:22.371
16,10,ocon,1:23.049
16,11,kevin_magnussen,1:23.135
16,12,zhou,1:22.789
16,13,sargeant,1:22.939
16,14,tsunoda,1:21.635
16,15,hulkenberg,1:21.756
16,16,ricciardo,1:22.012
16,17,gasly,1:22.152
16,18,bottas,1:21.896
16,19,alonso,1:21.851
16,20,albon,1:22.144
17,1,max_verstappen,1:21.328
17,2,norris,1:21.565
17,3,leclerc,1:21.714
17,4,sainz,1:22.173
17,5,piastri,1:21.912
17,6,russell,1:21.991
17,7,hamilton,1:21.846
17,8,perez,1:26.800
17,9,stroll,1:22.794
17,10,ocon,1:23.060
17,11,kevin_magnussen,1:23.577
17,12,zhou,1:23.033
17,13,sargeant,1:23.151
17,14,tsunoda,1:21.855
17,15,hulkenberg,1:22.074
17,16,ricciardo,1:22.258
17,17,gasly,1:22.391
17,18,bottas,1:22.468
17,19,alonso,1:22.650
17,20,albon,1:22.410
18,1,max_verstappen,1:21.411
18,2,norris,1:21.617
18,3,leclerc,1:21.719
18,4,sainz,1:21.738
18,5,piastri,1:21.867
18,6,russell,1:22.208
18,7,hamilton,1:22.020
18,8,perez,1:22.435
18,9,stroll,1:23.047
18,10,ocon,1:23.082
18,11,kevin_magnussen,1:23.338
18,12,zhou,1:23.106
18,13,sargeant,1:23.363
18,14,tsunoda,1:21.949
18,15,hulkenberg,1:22.086
18,16,ricciardo,1:22.031
18,17,gasly,1:22.419
18,18,bottas,1:22.360
18,19,alonso,1:22.390
18,20,albon,1:22.247
19,1,max_verstappen,1:21.517
19,2,norris,1:21.793
19,3,leclerc,1:21.672
19,4,sainz,1:22.113
19,5,piastri,1:22.042
19,6,russell,1:22.030
19,7,hamilton,1:21.974
19,8,perez,1:21.854
19,9,stroll,1:22.771
19,10,ocon,1:23.179
19,11,kevin_magnussen,1:23.271
19,12,zhou,1:23.179
19,13,sargeant,1:23.471
19,14,tsunoda,1:22.162
19,15,hulkenberg,1:22.624
19,16,ricciardo,1:22.224
19,17,gasly,1:22.231
19,18,bottas,1:22.283
19,19,alonso,1:22.686
19,20,albon,1:22.579
20,1,max_verstappen,1:21.550
20,2,norris,1:21.883
20,3,leclerc,1:21.757
20,4,sainz,1:22.025
20,5,piastri,1:21.853
20,6,russell,1:22.215
20,7,hamilton,1:22.222
20,8,perez,1:22.268
20,9,stroll,1:22.616
20,10,ocon,1:23.156
20,11,kevin_magnussen,1:22.850
20,12,zhou,1:23.207
20,13,sargeant,1:23.171
20,14,tsunoda,1:22.453
20,15,hulkenberg,1:22.309
20,16,ricciardo,1:22.013
20,17,gasly,1:22.233
20,18,bottas,1:22.239
20,19,alonso,1:22.909
20,20,albon,1:21.725
21,1,max_verstappen,1:21.608
21,2,norris,1:21.855
21,3,leclerc,1:21.669
21,4,sainz,1:22.006
21,5,piastri,1:22.212
21,6,hamilton,1:22.275
21,7,russell,1:26.880
21,8,perez,1:21.940
21,9,stroll,1:22.582
21,10,ocon,1:23.219
21,11,kevin_magnussen,1:22.686
21,12,zhou,1:23.217
21,13,sargeant,1:23.255
21,14,tsunoda,1:22.941
21,15,hulkenberg,1:22.218
21,16,ricciardo,1:22.221
21,17,gasly,1:22.440
21,18,bottas,1:22.231
21,19,alonso,1:24.339
21,20,albon,1:22.335
22,1,max_verstappen,1:21.763
22,2,leclerc,1:22.018
22,3,norris,1:26.107
22,4,sainz,1:21.926
22,5,piastri,1:21.869
22,6,hamilton,1:21.846
22,7,perez,1:21.871
22,8,stroll,1:22.697
22,9,ocon,1:23.376
22,10,russell,1:44.938
22,11,kevin_magnussen,1:23.013
22,12,zhou,1:23.261
22,13,sargeant,1:23.287
22,14,tsunoda,1:23.322
22,15,hulkenberg,1:22.412
22,16,ricciardo,1:22.400
22,17,gasly,1:22.296
22,18,bottas,1:22.436
22,19,alonso,1:23.368
22,20,albon,1:22.270
23,1,max_verstappen,1:21.988
23,2,leclerc,1:21.943
23,3,sainz,1:21.812
23,4,piastri,1:26.220
23,5,hamilton,1:21.561
23,6,perez,1:21.970
23,7,norris,1:44.693
23,8,stroll,1:22.544
23,9,russell,1:20.669
23,10,ocon,1:23.609
23,11,kevin_magnussen,1:22.761
23,12,zhou,1:23.020
23,13,sargeant,1:22.953
23,14,tsunoda,1:23.393
23,15,hulkenberg,1:22.883
23,16,ricciardo,1:22.645
23,17,gasly,1:22.614
23,18,bottas,1:22.334
23,19,alonso,1:22.938
23,20,albon,1:26.978
24,1,max_verstappen,1:26.212
24,2,leclerc,1:21.600
24,3,sainz,1:21.773
24,4,hamilton,1:22.345
24,5,norris,1:20.468
24,6,perez,1:22.684
24,7,stroll,1:22.592
24,8,piastri,1:43.264
24,9,russell,1:20.975
24,10,ocon,1:23.042
24,11,kevin_magnussen,1:22.939
24,12,zhou,1:23.021
24,13,sargeant,1:22.987
24,14,tsunoda,1:22.573
24,15,hulkenberg,1:23.102
24,16,ricciardo,1:22.458
24,17,gasly,1:22.518
24,18,bottas,1:22.589
24,19,alonso,1:22.961
24,20,albon,1:54.335
25,1,sainz,1:21.468
25,2,leclerc,1:26.023
25,3,hamilton,1:21.492
25,4,max_verstappen,1:43.602
25,5,norris,1:20.977
25,6,perez,1:22.228
25,7,piastri,1:19.907
25,8,stroll,1:23.011
25,9,russell,1:20.951
25,10,kevin_magnussen,1:23.296
25,11,ocon,1:27.881
25,12,zhou,1:23.360
25,13,sargeant,1:23.248
25,14,tsunoda,1:23.073
25,15,hulkenberg,1:22.763
25,16,ricciardo,1:22.681
25,17,gasly,1:22.607
25,18,bottas,1:22.605
25,19,alonso,1:22.953
25,20,albon,1:25.644
26,1,sainz,1:21.588
26,2,hamilton,1:26.346
26,3,max_verstappen,1:20.482
26,4,norris,1:20.899
26,5,perez,1:22.376
26,6,leclerc,1:45.006
26,7,piastri,1:20.577
26,8,stroll,1:22.532
26,9,russell,1:21.655
26,10,kevin_magnussen,1:22.862
26,11,zhou,1:23.041
26,12,tsunoda,1:22.175
26,13,hulkenberg,1:22.669
26,14,sargeant,1:25.354
26,15,ricciardo,1:23.245
26,16,gasly,1:22.757
26,17,bottas,1:22.655
26,18,alonso,1:22.911
26,19,ocon,1:45.525
26,20,albon,1:22.204
27,1,sainz,1:26.350
27,2,max_verstappen,1:20.943
27,3,hamilton,1:26.215
27,4,norris,1:21.029
27,5,leclerc,1:19.935
27,6,piastri,1:20.785
27,7,perez,1:23.773
27,8,russell,1:20.736
27,9,stroll,1:23.433
27,10,kevin_magnussen,1:22.938
27,11,zhou,1:22.929
27,12,tsunoda,1:22.391
27,13,hulkenberg,1:22.322
27,14,sargeant,1:23.498
27,15,ricciardo,1:23.506
27,16,gasly,1:22.721
27,17,bottas,1:22.583
27,18,alonso,1:22.757
27,19,ocon,1:21.834
27,20,albon,1:22.127
28,1,max_verstappen,1:20.709
28,2,norris,1:21.077
28,3,leclerc,1:20.928
28,4,piastri,1:20.599
28,5,perez,1:22.231
28,6,sainz,1:44.128
28,7,russell,1:21.628
28,8,stroll,1:22.811
28,9,hamilton,1:43.406
28,10,kevin_magnussen,1:23.133
28,11,zhou,1:22.921
28,12,tsunoda,1:22.523
28,13,hulkenberg,1:22.744
28,14,sargeant,1:23.234
28,15,ricciardo,1:23.291
28,16,gasly,1:23.109
28,17,bottas,1:22.969
28,18,alonso,1:22.927
28,19,ocon,1:22.056
28,20,albon,1:28.256
29,1,max_verstappen,1:20.615
29,2,norris,1:20.933
29,3,leclerc,1:20.502
29,4,piastri,1:20.313
29,5,perez,1:22.347
29,6,sainz,1:21.597
29,7,russell,1:21.444
29,8,stroll,1:22.631
29,9,hamilton,1:20.593
29,10,kevin_magnussen,1:23.157
29,11,zhou,1:23.118
29,12,tsunoda,1:22.593
29,13,hulkenberg,1:22.829
29,14,sargeant,1:23.436
29,15,ricciardo,1:23.321
29,16,gasly,1:23.551
29,17,bottas,1:23.139
29,18,alonso,1:22.913
29,19,ocon,1:22.261
29,20,albon,1:47.016
30,1,max_verstappen,1:20.571
30,2,norris,1:20.720
30,3,leclerc,1:20.426
30,4,piastri,1:20.578
30,5,sainz,1:20.648
30,6,perez,1:23.263
30,7,russell,1:22.098
30,8,stroll,1:22.649
30,9,hamilton,1:20.586
30,10,kevin_magnussen,1:23.061
30,11,zhou,1:23.117
30,12,tsunoda,1:22.892
30,13,hulkenberg,1:22.732
30,14,sargeant,1:24.026
30,15,ricciardo,1:24.070
30,16,bottas,1:23.276
30,17,gasly,1:27.963
30,18,alonso,1:22.896
30,19,ocon,1:22.557
30,20,albon,1:21.354
31,1,max_verstappen,1:20.545
31,2,norris,1:20.628
31,3,leclerc,1:20.944
31,4,piastri,1:20.728
31,5,sainz,1:20.652
31,6,russell,1:21.517
31,7,perez,1:23.694
31,8,hamilton,1:21.737
31,9,stroll,1:23.921
31,10,kevin_magnussen,1:23.284
31,11,zhou,1:23.326
31,12,tsunoda,1:23.137
31,13,hulkenberg,1:23.010
31,14,ricciardo,1:23.689
31,15,bottas,1:22.862
31,16,sargeant,1:28.215
31,17,alonso,1:22.557
31,18,ocon,1:22.589
